faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,1290410.0,9723746.0,8113434.0,8280386.56,304929080.384,2.838405,2832.72802984472
  0          a                4,959754.0,1595233.0,522294.0,609017.21,13164043.721,1.666042,1662.70957723712
  5          a                9,180255.0,1164270.0,864611.0,861600.27,20896745.689,1.869386,1865.64701990741
 10          a              19,89962.0,1186350.0,1014664.0,1019075.32,27642042.697,2.090692,2086.51012831152
 20          a              29,23590.0,560095.0,529116.0,529462.92,15572879.411,2.267042,2262.50744971178
 30          a              49,16414.0,617564.0,600520.0,601046.38,18919434.427,2.426198,2421.34576997075
 50          a              99,10796.0,740570.0,729956.0,732743.3,23756753.77,2.498972,2493.97380732421
100          a             249 ,6123.0,944148.0,939115.0,951736.04,34670111.401,2.807791,2802.17574426494
250          a            499,2037.0,699342.0,697922.0,714750.01,28755604.031,3.100948,3094.74572913424
500          e           mais,1479.0,2216174.0,2215236.0,2260955.11,121551465.237,4.143758,4135.47030154812
