faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,5447946.0,52217587.0,45456277.0,45707415.71,1754586912.824,3.095255,2952.87366320857
  0          a                4,3876715.0,6679627.0,2343430.0,2890772.46,61799413.408,1.723768,1644.47430476234
  5          a                9,840576.0,5450732.0,4139128.0,4144258.94,95875946.458,1.865396,1779.58783735206
 10          a              19,422831.0,5591608.0,4822385.0,4797340.2,125491219.605,2.109216,2012.19224328643
 20          a              29,115068.0,2732254.0,2581647.0,2556639.97,73567730.625,2.320203,2213.47403949218
 30          a              49,83769.0,3156930.0,3062041.0,3001622.11,92933291.562,2.496454,2381.61716350712
 50          a              99,56353.0,3868693.0,3809373.0,3712180.47,126711927.408,2.752306,2625.69975189728
100          a             249 ,31551.0,4847984.0,4821295.0,4742913.03,184171377.992,3.131016,2986.98900584894
250          a            499,11335.0,3921091.0,3913336.0,3896511.73,164692815.118,3.408058,3251.28703924112
500          e           mais,9748.0,15968668.0,15963642.0,15965176.8,829343190.648,4.188599,3995.92380648401
