faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Sociedades de capitalização,74,1252,1218,1206.85,102768.754,6.866194,6550.34906511229
Atividades de sociedades de participação,38158,116512,45252,44849.38,3836484.748,6.897398,6580.1179723023
Fundos de investimento,9918,1371,24,31.56,1958.888,5.004733,4774.51496538949
Atividades de serviços financeiros não especificadas anteriormente,6581,30269,20721,20705.22,1110052.746,4.322869,4124.01668609321
"Seguros, resseguros, previdência complementar e planos de saúde",5105,174744,168815,166489.95,9830039.407,4.760751,4541.75688959927
Seguros de vida e não-vida,2176,48606,47608,47233.17,3574042.315,6.101279,5820.61995676083
Seguros-saúde,133,,,,,,
Resseguros,20,,,,,,
Previdência complementar,534,10070,9907,9921.51,952485.471,7.740854,7384.77440972656
Planos de saúde,2242,110408,105662,103951.49,4842003.074,3.755801,3583.03449929459
"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",45553,190184,122008,118228.12,8296776.517,5.658442,5398.15382525552
Atividades auxiliares dos serviços financeiros,9073,55387,45576,43242.64,4374615.402,8.157103,7781.87633957878
"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde",35301,127269,71531,70256.08,2800833.24,3.214487,3066.6201525794
Atividades de administração de fundos por contrato ou comissão,1179,7528,4901,4729.4,1121327.875,19.117665,18238.252290907
Atividades imobiliárias,100345,329004,155538,154289.7,4952577.102,2.588228,2469.16981097646
Atividades imobiliárias,100345,329004,155538,154289.7,4952577.102,2.588228,2469.16981097646
Atividades imobiliárias de imóveis próprios,55345,154296,48766,48784.8,1926674.753,3.184433,3037.94932501044
Atividades imobiliárias por contrato ou comissão,45000,174708,106772,105504.9,3025902.349,2.312547,2206.16975281571
"Atividades profissionais, científicas e técnicas",330762,1512139,1020755,982904.89,44884123.2,3.682049,3512.67441709285
"Atividades jurídicas, de contabilidade e de auditoria",120558,585369,399507,390843.68,12140023.158,2.504521,2389.31312700456
Atividades jurídicas,56913,195594,104348,101883.11,3954080.771,3.129332,2985.38255563353
"Atividades de contabilidade, consultoria e auditoria contábil e tributária",63645,389775,295159,288960.57,8185942.387,2.284222,2179.14809596021
Atividades de sedes de empresas e de consultoria em gestão empresarial,45114,179733,110239,99377.94,7291402.728,5.916016,5643.87964696266
Sedes de empresas e unidades administrativas locais,19,1628,1595,1346.16,62456.209,3.740996,3568.90991355468
Atividades de consultoria em gestão empresarial,45095,178105,108644,98031.78,7228946.519,5.945884,5672.37286881709
Serviços de arquitetura e engenharia; testes e análises técnicas,70226,336706,229461,220514.68,9821721.309,3.591355,3426.15296074271
Serviços de arquitetura e engenharia e atividades técnicas relacionadas,67215,297410,194352,186173.01,8240501.464,3.568989,3404.81538113392
Testes e análises técnicas,3011,39296,35109,34341.67,1581219.845,3.712608,3541.82821537889
Pesquisa e desenvolvimento científico,2329,50963,48203,49400.16,6452948.905,10.532662,10048.1594594026
Pesquisa e desenvolvimento experimental em ciências físicas e naturais,1729,45623,43653,44134.4,6204979.279,11.336301,10814.8314780447
Pesquisa e desenvolvimento experimental em ciências sociais e humanas,600,5340,4550,5265.76,247969.626,3.797045,3622.38055197818
Publicidade e pesquisa de mercado,43941,167692,109930,104010.33,4334364.7,3.360139,3205.57265062777
Publicidade,42606,157408,101536,95707.13,3817104.383,3.215867,3067.93667386038
Pesquisas de mercado e de opinião pública,1335,10284,8394,8303.2,517260.317,5.023101,4792.03863014815
"Outras atividades profissionais, científicas e técnicas",40839,164790,107757,103872.98,4514735.078,3.504596,3343.38452302329
Design e decoração de interiores,3877,,,,,,
Atividades fotográficas e similares,7978,,,,,,
"Atividades profissionais, científicas e técnicas não especificadas anteriormente",28984,130964,89714,85749.58,4096740.133,3.852252,3675.0483953929
Atividades veterinárias,7755,26886,15658,14885.12,328927.322,1.781787,1699.82517388558
Atividades veterinárias,7755,26886,15658,14885.12,328927.322,1.781787,1699.82517388558
Atividades administrativas e serviços complementares,500205,4998509,4441219,4395238.5,116244291.097,2.132541,2034.44444389607
Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,46270,279325,218373,220414.07,6819401.356,2.494682,2379.92672190538
Locação de meios de transporte sem condutor,12700,76875,61416,61489.44,1933435.642,2.535347,2418.72130589227
Aluguel de objetos pessoais e domésticos,8489,39544,28647,28970.32,580112.992,1.61461,1540.33770796085
Aluguel de máquinas e equipamentos sem operador,22644,150146,119181,121115.5,3659912.972,2.436572,2324.48998746587
Gestão de ativos intangíveis não-financeiros,2437,12760,9129,8838.81,645939.75,5.892594,5621.53424238366
"Seleção, agenciamento e locação de mão-de-obra",6091,608678,600834,569209.23,12909711.818,1.828744,1744.62166615037
Seleção e agenciamento de mão-de-obra,2133,100966,98126,93989.95,2145187.797,1.840315,1755.66053522825
Locação de mão-de-obra temporária,3071,381182,377319,350326.98,7516419.241,1.729998,1650.41840471875
Fornecimento e gestão de recursos humanos para terceiros,887,126530,125389,124892.3,3248104.78,2.09702,2000.55739101733
"Agências de viagens, operadores turísticos e serviços de reservas",21188,97503,68024,68525.31,2625216.226,3.089032,2946.93609838916
Agências de viagens e operadores turísticos,19502,89766,62359,63003.68,2395874.076,3.066241,2925.19430366851
Serviços de reservas e outros serviços de turismo não especificados anteriormente,1686,7737,5665,5521.63,229342.15,3.349075,3195.01738547383
"Atividades de vigilância, segurança e investigação",11271,648502,634790,644042.52,18059693.795,2.261018,2157.01164420014
"Atividades de vigilância, segurança privada e transporte de valores",5977,569055,562349,573857.14,16330583.236,2.294596,2189.0443159103
Atividades de monitoramento de sistemas de segurança,5200,79144,72256,69970.03,1723852.555,1.986535,1895.15486405119
Atividades de investigação particular,94,303,185,215.35,5258.004,1.968722,1878.16041863871
Serviços para edifícios e atividades paisagísticas,220618,1865493,1675966,1667815.07,34757799.938,1.6804,1603.10154668868
Serviços combinados para apoio a edifícios,199775,971642,808837,807361.42,19378599.3,1.935364,1846.33727558518
Atividades de limpeza,16180,859945,839104,833543.05,14886300.812,1.440015,1373.7743509007
Atividades paisagísticas,4663,33906,28025,26910.6,492899.826,1.476874,1408.93815934127
"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",194767,1499008,1243232,1225232.3,41072467.964,2.702966,2578.62987501667
Serviços de escritório e apoio administrativo,102913,512910,383506,372003.09,20273384.722,4.394283,4192.14564175136
Atividades de teleatendimento,2843,448186,445049,444230.99,8101980.523,1.470587,1402.93965308454
"Atividades de organização de eventos, exceto culturais e esportivos",21981,76999,47889,46557.47,1159586.587,2.00827,1915.8895066843
Outras atividades de serviços prestados principalmente às empresas,67030,460913,366788,362440.75,11537516.132,2.56675,2448.67951775035
"Administração pública, defesa e seguridade social",21670,7607514,7607305,7829999.8,424630413.484,4.37278,4171.63202996604
"Administração pública, defesa e seguridade social",21670,7607514,7607305,7829999.8,424630413.484,4.37278,4171.63202996604
Administração do estado e da política econômica e social,17811,6254272,6254074,6488716.24,295500456.282,3.672042,3503.12812097707
Serviços coletivos prestados pela administração pública,2110,1287995,1287985,1276380.92,123897552.268,7.826916,7466.8782605214
Seguridade social obrigatória,1749,65247,65246,64902.64,5232404.934,6.500507,6201.48405720891
Educação,192678,3512807,3315019,3412861.01,160039223.311,3.781082,3607.1523127927
Educação,192678,3512807,3315019,3412861.01,160039223.311,3.781082,3607.1523127927
Educação infantil e ensino fundamental,40930,985424,930755,956282.69,30503935.914,2.572041,2453.72695052049
Ensino médio,5559,1079546,1073991,1136756.26,48414983.226,3.434161,3276.18998898064
Educação superior,5837,757651,752281,757291.76,58119485.915,6.188235,5903.57629900691
Educação profissional de nível técnico e tecnológico,3872,127025,122304,122494.9,9765595.829,6.428195,6132.49759095151
Atividades de apoio à educação,61306,90539,67153,68446.2,1886523.258,2.222394,2120.16406597163
Outras atividades de ensino,75174,472622,368535,371589.2,11348699.169,2.462585,2349.30632847738
Saúde humana e serviços sociais,257294,3400199,2978906,2945540.12,110112043.531,3.014242,2875.58710783824
Atividades de atenção à saúde humana,236255,3049332,2642971,2611560.71,101225014.41,3.125331,2981.56559799064
Atividades de atendimento hospitalar,17520,1892684,1859226,1843122.79,77690725.075,3.398781,3242.43704954343
Serviços móveis de atendimento a urgências e de remoção de pacientes,853,15623,14222,13748.43,392009.269,2.299066,2193.30928359428
Atividades de atenção ambulatorial executadas por médicos e odontólogos,137731,573199,335183,328101.81,9575820.207,2.353291,2245.03959421807
Atividades de serviços de complementação diagnóstica e terapêutica,34172,318353,260988,256697.42,7095370.273,2.228752,2126.22983630958
"Atividades de profissionais da área de saúde, exceto médicos e odontólogos",38946,128953,65599,63840.76,1781804.82,2.250455,2146.93417231827
Atividades de apoio à gestão de saúde,1799,64488,61853,60741.22,2615339.087,3.471785,3312.0824667208
Atividades de atenção à saúde humana não especificadas anteriormente,5234,56032,45900,45308.28,2073945.679,3.690864,3521.08451258799
"Atividades de atenção à saúde humana integradas com assistência social, prestadas em residências coletivas e particulares",12313,151409,140040,139055.19,3270024.517,1.896147,1808.92455334848
"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes, e de infraestrutura e apoio a pacientes prestadas em residências coletivas e particulares",7745,97084,88576,88093.67,1901862.015,1.740775,1660.69909537113
"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química",2032,17022,15345,15025.76,415770.972,2.231136,2128.50348079155
Atividades de assistência social prestadas em residências coletivas e particulares,2536,37303,36119,35935.76,952391.53,2.136963,2038.66251675426
Serviços de assistência social sem alojamento,8726,199458,195895,194924.22,5617004.604,2.323524,2216.64233018744
Serviços de assistência social sem alojamento,8726,199458,195895,194924.22,5617004.604,2.323524,2216.64233018744
"Artes, cultura, esporte e recreação",72395,368831,282569,277557.09,8303059.131,2.412093,2301.13688045501
"Atividades artísticas, criativas e de espetáculos",15868,41707,20055,18621.02,665066.431,2.87985,2747.37668671046
"Atividades artísticas, criativas e de espetáculos",15868,41707,20055,18621.02,665066.431,2.87985,2747.37668671046
Atividades ligadas ao patrimônio cultural e ambiental,956,9163,8358,8496.63,502706.597,4.770635,4551.18537947036
Atividades ligadas ao patrimônio cultural e ambiental,956,9163,8358,8496.63,502706.597,4.770635,4551.18537947036
Atividades de exploração de jogos de azar e apostas,56,105,42,54.99,1081.363,1.585609,1512.67083525676
Atividades de exploração de jogos de azar e apostas,56,105,42,54.99,1081.363,1.585609,1512.67083525676
Atividades esportivas e de recreação e lazer,55515,317856,254114,250384.45,7134204.74,2.297452,2191.76941699055
Atividades esportivas,46891,270002,216489,213697.31,6327569.194,2.387515,2277.68937215987
Atividades de recreação e lazer,8624,47854,37625,36687.14,806635.546,1.772849,1691.2980448693
Outras atividades de serviços,292134,1009432,780090,785852.4,21382396.824,2.193935,2093.01359350981
Atividades de organizações associativas,192147,579181,480043,480281.61,14689017.862,2.466068,2352.62901472134
"Atividades de organizações associativas patronais, empresariais e profissionais",15786,95675,86983,88227.12,4475651.65,4.090369,3902.21165729819
Atividades de organizações sindicais,16917,105631,97023,96651.86,2445423.784,2.040103,1946.25868396277
Atividades de associações de defesa de direitos sociais,48225,147114,113221,111335.65,3028510.975,2.193326,2092.43295110154
Atividades de organizações associativas não especificadas anteriormente,111219,230761,182816,184066.98,4739431.453,2.07615,1980.64666585375
Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,39900,157165,104057,107277.7,2780813.85,2.090118,1993.97225790922
Reparação e manutenção de equipamentos de informática e comunicação,20330,85068,57885,59926.8,1765112.927,2.374978,2265.72948099245
Reparação e manutenção de objetos e equipamentos pessoais e domésticos,19570,72097,46172,47350.9,1015700.923,1.729601,1650.03918047533
Outras atividades de serviços pessoais,60087,273086,195990,198293.09,3912565.112,1.590971,1517.78635895443
Outras atividades de serviços pessoais,60087,273086,195990,198293.09,3912565.112,1.590971,1517.78635895443
Organismos internacionais e outras instituições extraterritoriais,267,2741,2642,2626.54,188586.836,5.789428,5523.1139416524
Organismos internacionais e outras instituições extraterritoriais,267,2741,2642,2626.54,188586.836,5.789428,5523.1139416524
Organismos internacionais e outras instituições extraterritoriais,267,2741,2642,2626.54,188586.836,5.789428,5523.1139416524
