uf,atividades,unidades,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
    Rondônia,"R Artes, cultura, esporte e recreação",343,1332,984,937.72,15784.56,1.297434,1294.83952893926
    Rondônia,S Outras atividades de serviços,2465,6259,4698,4671.51,102696.148,1.694427,1691.03859187023
    Rondônia,U Organismos internacionais e outras instituições extraterritoriais,-,-,-,-,-,-,-
    Acre,Total,9695,140114,130745,130049.81,4805062.891,2.847839,2842.14350166767
    Acre,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",83,564,451,467.32,8299.129,1.368813,1366.07579059646
    Acre,B Indústrias extrativas,20,,,,,,
    Acre,C Indústrias de transformação,580,6190,5543,5577.45,102087.95,1.410798,1407.97662565675
    Acre,D Eletricidade e gás,13,538,536,597.97,30377.118,3.915555,3907.72343865977
    Acre,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",23,1074,1052,1147.68,44136.921,2.964199,2958.27039700158
    Acre,F Construção,396,,,,,,
    Acre,G Comércio; reparação de veículos automotores e motocicletas,4520,29177,24683,25272.59,497403.781,1.516999,1513.96549810258
    Acre,"H Transporte, armazenagem e correio",267,3040,2807,2830.84,81851.193,2.228619,2224.16159704703
    Acre,I Alojamento e alimentação,565,3593,3003,3119.56,49145.823,1.214281,1211.85292896335
    Acre,J Informação e comunicação,147,1009,887,949.04,28392.261,2.305906,2301.29402019206
    Acre,"K Atividades financeiras, de seguros e serviços relacionados",162,1455,1354,1330.78,93103.116,5.392424,5381.63945494083
    Acre,L Atividades imobiliárias,85,330,217,179.05,3161.76,1.361071,1358.3485489657
    Acre,"M Atividades profissionais, científicas e técnicas",453,2879,2304,2109.08,89211.891,3.260287,3253.76617001069
    Acre,N Atividades administrativas e serviços complementares,464,13817,13370,13609.22,212753.994,1.204954,1202.5444401776
    Acre,"O Administração pública, defesa e seguridade social",123,36396,36394,35541.94,1909294.566,4.140549,4132.26775941974
    Acre,P Educação,610,21859,21666,20589.66,980647.216,3.671045,3663.70310295407
    Acre,Q Saúde humana e serviços sociais,483,11104,10469,10373.53,537057.266,3.990434,3982.45316537528
    Acre,"R Artes, cultura, esporte e recreação",103,583,469,492.01,9042.733,1.416615,1413.78192750929
    Acre,S Outras atividades de serviços,597,2129,1783,1920.58,41496.094,1.665332,1662.00170301119
    Acre,U Organismos internacionais e outras instituições extraterritoriais,1,,,,,,
    Amazonas,Total,38589,641442,600619,612755.82,22800932.248,2.86808,2862.34387007661
    Amazonas,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",173,639,423,406.67,6451.045,1.222683,1220.23810649724
    Amazonas,B Indústrias extrativas,59,2015,1973,2025.89,296079.849,11.264686,11242.1567804767
    Amazonas,C Indústrias de transformação,2277,94938,92420,93932.18,3646161.953,2.991904,2985.92022866514
    Amazonas,D Eletricidade e gás,149,2851,2832,3027.3,335693.448,8.546996,8529.9021976933
    Amazonas,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",131,4294,4186,4223.56,120331.389,2.19597,2191.57788507981
    Amazonas,F Construção,1696,20994,18781,18811.46,479587.636,1.965041,1961.11075989767
    Amazonas,G Comércio; reparação de veículos automotores e motocicletas,16557,113869,96740,99250.53,2007751.219,1.559205,1556.08641547343
    Amazonas,"H Transporte, armazenagem e correio",1765,34647,32902,34187.4,1031388.912,2.325319,2320.66810039326
    Amazonas,I Alojamento e alimentação,1892,19710,17656,18808.91,325392.997,1.333431,1330.76454395611
    Amazonas,J Informação e comunicação,829,6579,5673,5947.82,241352.272,3.127661,3121.40572253622
    Amazonas,"K Atividades financeiras, de seguros e serviços relacionados",709,6035,5423,5421.92,372148.504,5.290409,5279.8285478207
    Amazonas,L Atividades imobiliárias,383,1316,646,703.8,17028.521,1.864892,1861.16258989661
    Amazonas,"M Atividades profissionais, científicas e técnicas",2369,13603,10565,10876.53,436662.754,3.094439,3088.24989361355
    Amazonas,N Atividades administrativas e serviços complementares,2689,56057,52955,52838.49,1061567.298,1.548543,1545.44580897518
    Amazonas,"O Administração pública, defesa e seguridade social",316,135531,135530,139433.3,6974215.521,3.855271,3847.56092698086
    Amazonas,P Educação,2037,68614,67144,68029.31,3346367.177,3.791435,3783.85228027788
    Amazonas,Q Saúde humana e serviços sociais,2166,48340,45196,45494.92,1850079.439,3.134394,3128.12514012553
    Amazonas,"R Artes, cultura, esporte e recreação",347,2232,1841,1852.36,53242.383,2.215431,2210.99998006701
    Amazonas,S Outras atividades de serviços,2041,9167,7724,7473.37,199207.346,2.054542,2050.43266959886
    Amazonas,U Organismos internacionais e outras instituições extraterritoriais,4,11,9,10.1,222.585,1.698637,1695.23990860625
    Roraima,Total,7159,108648,101180,99406.15,4191126.893,3.249703,3243.20352799717
