faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,438188.0,4497514.0,3987570.0,4059976.0,184139080.932,3.657049,3488.82473371195
  0          a                4,306820.0,533779.0,213531.0,265709.67,5386817.238,1.634682,1559.48617439941
  5          a                9,71154.0,461956.0,357398.0,357822.78,8028152.042,1.809072,1725.85478508921
 10          a              19,35320.0,466885.0,409371.0,406982.26,10548072.247,2.089806,1993.67454700889
 20          a              29,9336.0,221854.0,209711.0,206834.98,5883967.302,2.293795,2188.28009355388
 30          a              49,6824.0,256482.0,248824.0,242075.56,7411873.939,2.468797,2355.23218103408
 50          a              99,4544.0,312323.0,307524.0,296603.6,9776590.669,2.657782,2535.52362842839
100          a             249 ,2500.0,382144.0,380079.0,371420.72,13523094.943,2.935744,2800.70016701939
250          a            499,878.0,302488.0,301925.0,302013.97,13260879.647,3.54041,3377.55126080375
500          e           mais,812.0,1559603.0,1559207.0,1610512.46,110319632.905,5.523279,5269.20829167439
