mun_capital,atividades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Manaus - AM,"R Artes, cultura, esporte e recreação",286,2091,1761,1754.84,51892.472,2.279255,2274.69661928416
Manaus - AM,S Outras atividades de serviços,1360,8109,7101,6814.05,187892.012,2.125343,2121.0926970462
Manaus - AM,U Organismos internacionais e outras instituições extraterritoriais,4,,,,,,
Boa Vista - RR,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",45,387,281,191.58,4368.488,1.757548,1754.03245882419
Boa Vista - RR,B Indústrias extrativas,8,,,,,,
Boa Vista - RR,C Indústrias de transformação,278,2392,2080,1921.55,34186.896,1.371305,1368.56247860801
Boa Vista - RR,D Eletricidade e gás,12,946,944,1079.52,86450.275,6.17251,6160.16484534437
Boa Vista - RR,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",14,,,,,,
Boa Vista - RR,F Construção,296,3404,3013,3288.61,64675.795,1.515847,1512.81579568455
Boa Vista - RR,G Comércio; reparação de veículos automotores e motocicletas,2699,20688,17915,17654.87,342073.499,1.493417,1490.4298970722
Boa Vista - RR,"H Transporte, armazenagem e correio",175,1628,1461,1490.99,35494.735,1.834912,1831.24248369823
Boa Vista - RR,I Alojamento e alimentação,478,3466,2976,2866.93,49542.458,1.331946,1329.28195236448
Boa Vista - RR,J Informação e comunicação,120,931,835,848.07,24421.43,2.219553,2215.1137741714
Boa Vista - RR,"K Atividades financeiras, de seguros e serviços relacionados",79,771,721,715.2,57722.68,6.220784,6208.34193770435
Boa Vista - RR,L Atividades imobiliárias,81,246,125,115.79,2841.093,1.891213,1887.43082636338
Boa Vista - RR,"M Atividades profissionais, científicas e técnicas",367,1467,1023,997.57,53281.857,4.116822,4108.58825407278
Boa Vista - RR,N Atividades administrativas e serviços complementares,311,6539,6205,6199.31,110717.972,1.376578,1373.82500260885
Boa Vista - RR,"O Administração pública, defesa e seguridade social",46,41903,41902,39657.6,2607978.021,5.068782,5058.64434365864
Boa Vista - RR,P Educação,245,5011,4841,5011.94,318287.821,4.89486,4885.07016014987
Boa Vista - RR,Q Saúde humana e serviços sociais,311,3134,2654,2574.48,66700.14,1.996932,1992.93837978932
Boa Vista - RR,"R Artes, cultura, esporte e recreação",82,429,350,351.37,7487.424,1.642456,1639.17150669577
Boa Vista - RR,S Outras atividades de serviços,350,1494,1230,1273.89,29678.499,1.79571,1792.11820607624
Boa Vista - RR,U Organismos internacionais e outras instituições extraterritoriais,2,,,,,,
