mun_capital,atividades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Recife - PE,"M Atividades profissionais, científicas e técnicas",4507,28333,21660,19630.02,746573.13,2.931418,2925.55495652538
Recife - PE,N Atividades administrativas e serviços complementares,7234,113363,102904,92922.65,1833688.302,1.521003,1517.96086645928
Recife - PE,"O Administração pública, defesa e seguridade social",156,102287,102282,102809.81,9349321.742,7.009252,6995.23319358786
Recife - PE,P Educação,2000,84093,81920,82521.51,4275753.865,3.993665,3985.67771556214
Recife - PE,Q Saúde humana e serviços sociais,3240,82440,76848,76596.15,2761876.246,2.779223,2773.66445863241
Recife - PE,"R Artes, cultura, esporte e recreação",555,4884,4216,4344.28,117312.842,2.081392,2077.22908496477
Recife - PE,S Outras atividades de serviços,2524,16857,14527,14650.48,342329.579,1.801021,1797.41855136907
Recife - PE,U Organismos internacionais e outras instituições extraterritoriais,6,,,,,,
Maceió - AL,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",38,312,251,244.97,5649.13,1.777439,1773.88440028763
Maceió - AL,B Indústrias extrativas,12,98,88,90.67,7277.683,6.186651,6174.27781218451
Maceió - AL,C Indústrias de transformação,920,12331,11242,11490.9,330500.118,2.216888,2212.45385478944
Maceió - AL,D Eletricidade e gás,12,989,980,756.51,88155.476,8.981745,8963.78165726621
Maceió - AL,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",67,3089,3008,2883.5,106230.868,2.839598,2833.91892865241
Maceió - AL,F Construção,975,17920,16255,17009.94,320427.947,1.451957,1449.05294289013
Maceió - AL,G Comércio; reparação de veículos automotores e motocicletas,7588,55154,46945,47951.5,928746.29,1.492867,1489.88086520114
Maceió - AL,"H Transporte, armazenagem e correio",490,9150,8639,8911.24,281234.141,2.432518,2427.65265681751
Maceió - AL,I Alojamento e alimentação,1533,15623,13822,13739.64,233559.689,1.310233,1307.6128576205
Maceió - AL,J Informação e comunicação,506,3615,3032,3262.87,108401.26,2.560712,2555.59015882903
Maceió - AL,"K Atividades financeiras, de seguros e serviços relacionados",576,4144,3473,3536.38,252037.111,5.493279,5482.2926486755
Maceió - AL,L Atividades imobiliárias,419,2625,1945,1898.35,30125.282,1.223153,1220.70713230721
Maceió - AL,"M Atividades profissionais, científicas e técnicas",1579,5913,3622,3667.3,86953.346,1.827536,1823.88103593295
Maceió - AL,N Atividades administrativas e serviços complementares,1876,31903,30104,30461.11,501770.778,1.269655,1267.11574705735
Maceió - AL,"O Administração pública, defesa e seguridade social",85,38274,38273,37858.76,3268058.042,6.65349,6640.18261965913
Maceió - AL,P Educação,848,39616,38555,38622.74,1504082.958,3.001614,2995.61059305795
Maceió - AL,Q Saúde humana e serviços sociais,1406,23988,21387,21015.57,626467.747,2.297649,2293.05351662161
Maceió - AL,"R Artes, cultura, esporte e recreação",266,1423,1124,1200.96,27123.366,1.740769,1737.28747771014
Maceió - AL,S Outras atividades de serviços,1259,6859,5837,6021,121339.211,1.553312,1550.20519208412
Maceió - AL,U Organismos internacionais e outras instituições extraterritoriais,,,,,,,
Aracaju - SE,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",20,,,,,,
Aracaju - SE,B Indústrias extrativas,18,,,,,,
Aracaju - SE,C Indústrias de transformação,711,7417,6476,6843.34,184001.594,2.072429,2068.28372830091
Aracaju - SE,D Eletricidade e gás,9,1027,1020,1026.03,40891.029,3.071808,3065.66452173013
Aracaju - SE,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",21,5854,5830,3154.68,143906.655,3.516023,3508.9906717346
Aracaju - SE,F Construção,960,13394,12158,13495.36,276754.318,1.580651,1577.48987002256
Aracaju - SE,G Comércio; reparação de veículos automotores e motocicletas,5984,40976,33831,34746.93,697826.8,1.547951,1544.85546249365
Aracaju - SE,"H Transporte, armazenagem e correio",461,7767,7270,7186.51,181338.701,1.944906,1941.01599331996
Aracaju - SE,I Alojamento e alimentação,1205,11845,10320,10475.5,171711.553,1.263429,1260.9022003723
Aracaju - SE,J Informação e comunicação,452,3476,2918,2916.61,96584.653,2.552442,2547.33704276804
Aracaju - SE,"K Atividades financeiras, de seguros e serviços relacionados",447,4430,3971,3949.77,274498.075,5.356654,5345.94078603603
Aracaju - SE,L Atividades imobiliárias,457,1502,812,847.74,17353.187,1.577766,1574.61077507436
Aracaju - SE,"M Atividades profissionais, científicas e técnicas",1554,6855,4665,4437.41,179497.33,3.117845,3111.60945756126
Aracaju - SE,N Atividades administrativas e serviços complementares,1872,34271,32318,31193.4,552925.693,1.36625,1363.51746252042
Aracaju - SE,"O Administração pública, defesa e seguridade social",81,33879,33878,33522.38,2937519.894,6.754171,6740.66306656123
Aracaju - SE,P Educação,682,28392,27500,28159.76,1221636.812,3.343792,3337.1045229625
Aracaju - SE,Q Saúde humana e serviços sociais,1593,25900,22897,22802.87,856164.602,2.893969,2888.18098504537
Aracaju - SE,"R Artes, cultura, esporte e recreação",291,1578,1226,1199.35,24449.315,1.571256,1568.11317668866
Aracaju - SE,S Outras atividades de serviços,1020,4859,4068,4119.1,91661.2,1.715178,1711.74808537339
Aracaju - SE,U Organismos internacionais e outras instituições extraterritoriais,,,,,,,
Salvador - BA,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",70,,,,,,
Salvador - BA,B Indústrias extrativas,41,1595,1560,1739.76,366609.277,16.242027,16209.5424744704
Salvador - BA,C Indústrias de transformação,2179,24125,21298,22614.65,669299.353,2.281165,2276.60236242368
Salvador - BA,D Eletricidade e gás,86,2405,2296,2255.45,215286.911,7.357166,7342.45122498154
Salvador - BA,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",78,14572,14463,14163.11,595338.846,3.239901,3233.42089739851
Salvador - BA,F Construção,3013,45316,40650,42333.52,1181838.033,2.151789,2147.4854423416
Salvador - BA,G Comércio; reparação de veículos automotores e motocicletas,19940,141204,118909,124579.94,2709568.859,1.676402,1673.04923865938
Salvador - BA,"H Transporte, armazenagem e correio",1624,41393,39709,41610.79,1293769.726,2.396498,2391.70532820564
Salvador - BA,I Alojamento e alimentação,4073,38514,33734,34747.05,612970.219,1.359714,1356.99448752318
Salvador - BA,J Informação e comunicação,1570,14711,12523,13015.26,584290.446,3.460207,3453.28629032973
Salvador - BA,"K Atividades financeiras, de seguros e serviços relacionados",1786,14624,12448,12864.23,970475.962,5.814697,5803.06765946528
Salvador - BA,L Atividades imobiliárias,1888,6368,2863,2854.4,62594.419,1.690234,1686.8537372801
Salvador - BA,"M Atividades profissionais, científicas e técnicas",6240,30645,21052,21676.87,660417.412,2.34827,2343.57355949523
Salvador - BA,N Atividades administrativas e serviços complementares,8381,104578,94731,92295.89,1845117.37,1.540876,1537.79442816593
Salvador - BA,"O Administração pública, defesa e seguridade social",145,96712,96703,96014.97,10383339.225,8.335357,8318.68615824258
Salvador - BA,P Educação,2422,102068,99158,103716.12,6201148.884,4.608419,4599.20263711547
Salvador - BA,Q Saúde humana e serviços sociais,7025,119604,104619,103871.13,4251699.44,3.15496,3148.64970735298
Salvador - BA,"R Artes, cultura, esporte e recreação",983,6932,5644,5574.74,218702.033,3.023809,3017.76106288227
Salvador - BA,S Outras atividades de serviços,3308,18914,16228,15782.06,417390.594,2.038474,2034.39657238857
Salvador - BA,U Organismos internacionais e outras instituições extraterritoriais,5,,,,,,
Belo Horizonte - MG,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",162,,,,,,
Belo Horizonte - MG,B Indústrias extrativas,175,2029,1782,1818.76,246221.132,10.434606,10413.7363241566
Belo Horizonte - MG,C Indústrias de transformação,5061,53240,45792,46559.15,1918055.876,3.175282,3168.93155678975
Belo Horizonte - MG,D Eletricidade e gás,256,6428,6262,6545.15,826395.714,9.731831,9712.36733717685
Belo Horizonte - MG,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",147,15940,15731,15931.01,831314.838,4.022058,4014.01387801334
Belo Horizonte - MG,F Construção,7535,128358,116886,114297.42,3431433.663,2.31401,2309.38227315529
Belo Horizonte - MG,G Comércio; reparação de veículos automotores e motocicletas,30971,208415,167327,172767.27,3938031.554,1.756887,1753.37321793559
Belo Horizonte - MG,"H Transporte, armazenagem e correio",3162,50205,46178,48212.64,1659690.892,2.653337,2648.03027077227
Belo Horizonte - MG,I Alojamento e alimentação,6684,56592,47585,48126.06,859291.69,1.376215,1373.46295892975
Belo Horizonte - MG,J Informação e comunicação,4954,39508,32053,31769.74,2034602.059,4.936191,4926.31827305819
Belo Horizonte - MG,"K Atividades financeiras, de seguros e serviços relacionados",6115,37889,29130,29087.84,2241183.937,5.93871,5926.83280658225
Belo Horizonte - MG,L Atividades imobiliárias,4350,12637,5095,5262.41,128493.275,1.88201,1878.24553330567
Belo Horizonte - MG,"M Atividades profissionais, científicas e técnicas",15684,71424,46359,42428.4,1917064.183,3.48262,3475.65488246987
Belo Horizonte - MG,N Atividades administrativas e serviços complementares,19847,217532,195675,197174.74,4828255.698,1.887405,1883.63014685116
Belo Horizonte - MG,"O Administração pública, defesa e seguridade social",99,176283,176277,175900.51,19077034.314,8.359299,8342.5805758039
Belo Horizonte - MG,P Educação,4456,259788,254437,270770.64,10142498.757,2.887151,2881.37669607356
Belo Horizonte - MG,Q Saúde humana e serviços sociais,6575,92728,80945,80865.16,3194124.385,3.044504,3038.41451336065
Belo Horizonte - MG,"R Artes, cultura, esporte e recreação",1665,12328,9976,10074.03,524829.488,4.015514,4007.48251463645
Belo Horizonte - MG,S Outras atividades de serviços,5465,33777,28466,28259.35,868727.076,2.369449,2364.70972235057
Belo Horizonte - MG,U Organismos internacionais e outras instituições extraterritoriais,3,,,,,,
Vitória - ES,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",26,86,52,54.55,724.299,1.023409,1021.36219417613
Vitória - ES,B Indústrias extrativas,49,4662,4614,4785.1,666301.765,10.732627,10711.1621330958
Vitória - ES,C Indústrias de transformação,601,4274,3426,4091.78,142184.073,2.678334,2672.97762455835
Vitória - ES,D Eletricidade e gás,19,412,399,428.73,37127.345,6.674767,6661.41771134424
Vitória - ES,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",23,2378,2357,2373.75,101412.912,3.292944,3286.35839105602
Vitória - ES,F Construção,995,8150,6554,6886.11,169269.077,1.894653,1890.86410626162
Vitória - ES,G Comércio; reparação de veículos automotores e motocicletas,4905,30246,23880,23960.03,577027.566,1.856245,1852.53256553326
Vitória - ES,"H Transporte, armazenagem e correio",553,14303,13709,14373.27,735340.64,3.943293,3935.4068082896
Vitória - ES,I Alojamento e alimentação,1247,9953,8313,8231.5,154431.16,1.446046,1443.15373868675
Vitória - ES,J Informação e comunicação,851,7687,6431,6591.46,320671.638,3.749774,3742.27395401369
Vitória - ES,"K Atividades financeiras, de seguros e serviços relacionados",1157,10050,8250,8218.96,526586.331,4.938315,4928.43873752322
Vitória - ES,L Atividades imobiliárias,740,2802,1523,1457.66,31687.597,1.675557,1672.20576920438
Vitória - ES,"M Atividades profissionais, científicas e técnicas",2882,12760,8149,7546.42,325122.455,3.320719,3314.07735262344
Vitória - ES,N Atividades administrativas e serviços complementares,3516,24994,21185,21251.23,589657.869,2.138662,2134.38457987536
Vitória - ES,"O Administração pública, defesa e seguridade social",94,68118,68118,70414.61,5023212.785,5.498509,5487.51151872514
Vitória - ES,P Educação,755,13332,12337,12563.88,883333.138,5.419096,5408.25787281293
Vitória - ES,Q Saúde humana e serviços sociais,2113,20523,15955,16039.54,507182.13,2.437239,2432.36464387383
Vitória - ES,"R Artes, cultura, esporte e recreação",272,1428,1088,1088.99,20035.767,1.418104,1415.26813483489
Vitória - ES,S Outras atividades de serviços,1465,8328,6999,6404.32,179616.616,2.161721,2157.39731450502
Vitória - ES,U Organismos internacionais e outras instituições extraterritoriais,,,,,,,
Rio de Janeiro - RJ,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",182,,,,,,
Rio de Janeiro - RJ,B Indústrias extrativas,346,9393,9079,9111.95,2178474.533,18.427536,18390.680817709
Rio de Janeiro - RJ,C Indústrias de transformação,6971,123668,113584,121654.85,9311094.414,5.899258,5887.4597424283
Rio de Janeiro - RJ,D Eletricidade e gás,547,10909,10478,10406.29,1382809.07,10.24218,10221.6955765733
Rio de Janeiro - RJ,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",302,29199,28764,29807.22,1639779.082,4.240235,4231.755006389
Rio de Janeiro - RJ,F Construção,8683,99497,86011,91713.05,3110971.863,2.614514,2609.28546071772
Rio de Janeiro - RJ,G Comércio; reparação de veículos automotores e motocicletas,53165,442625,369980,386002.14,10610859.402,2.118785,2114.54774318091
Rio de Janeiro - RJ,"H Transporte, armazenagem e correio",6220,128815,121442,127088.11,6746483.859,4.091652,4083.46852310695
Rio de Janeiro - RJ,I Alojamento e alimentação,13358,153886,133609,136675.42,2871558.585,1.619397,1616.15835475813
Rio de Janeiro - RJ,J Informação e comunicação,11027,96398,79337,83393.87,7546477.478,6.974872,6960.92251790763
Rio de Janeiro - RJ,"K Atividades financeiras, de seguros e serviços relacionados",10099,84455,72727,73728.39,7042754.167,7.362645,7347.92012328577
Rio de Janeiro - RJ,L Atividades imobiliárias,6049,21970,11325,11415.82,497811.755,3.361121,3354.39871363397
Rio de Janeiro - RJ,"M Atividades profissionais, científicas e técnicas",24618,126250,85235,85848.81,6080344.64,5.459087,5448.16892000644
Rio de Janeiro - RJ,N Atividades administrativas e serviços complementares,37652,340928,307301,312205.52,8949069.801,2.209344,2204.92573190989
Rio de Janeiro - RJ,"O Administração pública, defesa e seguridade social",298,280282,280276,286744.78,31864559.318,8.56522,8548.08916674424
Rio de Janeiro - RJ,P Educação,8969,220636,208221,211394.76,10977630.879,4.002585,3994.57935730508
Rio de Janeiro - RJ,Q Saúde humana e serviços sociais,15631,215899,188426,189994.86,8463886.144,3.433635,3426.76725529879
Rio de Janeiro - RJ,"R Artes, cultura, esporte e recreação",5231,36383,28667,33570.83,1391902.795,3.195751,3189.35950553593
Rio de Janeiro - RJ,S Outras atividades de serviços,14549,69418,53984,54492.56,1838547.708,2.600542,2595.34047894301
Rio de Janeiro - RJ,U Organismos internacionais e outras instituições extraterritoriais,26,,,,,,
São Paulo - SP,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",828,2986,1683,1725.61,126937.983,5.669895,5658.55565902448
São Paulo - SP,B Indústrias extrativas,117,,,,,,
São Paulo - SP,C Indústrias de transformação,30473,373235,332251,346622.2,21317329.798,4.740264,4730.7835442916
São Paulo - SP,D Eletricidade e gás,526,6233,5502,5580.01,691699.799,9.554518,9535.40886954572
São Paulo - SP,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",807,30737,29950,30846.38,1640104.83,4.098203,4090.00699595868
São Paulo - SP,F Construção,30743,258870,218089,217842.65,8914584.522,3.154164,3147.85589930657
São Paulo - SP,G Comércio; reparação de veículos automotores e motocicletas,161329,1035467,844341,871683.49,35786956.818,3.164405,3158.07614086375
São Paulo - SP,"H Transporte, armazenagem e correio",21862,280856,257238,271510.95,12297611.359,3.491078,3484.09559370796
São Paulo - SP,I Alojamento e alimentação,31652,281193,242203,247071.95,5779063.014,1.802852,1799.24636839281
São Paulo - SP,J Informação e comunicação,46235,267258,204276,203986.2,20632392.4,7.796055,7780.46312786016
São Paulo - SP,"K Atividades financeiras, de seguros e serviços relacionados",38395,298685,260237,265689.32,28276774.134,8.203173,8186.76667863862
São Paulo - SP,L Atividades imobiliárias,22626,59788,26183,26221.66,1415457.608,4.160665,4152.34407209683
São Paulo - SP,"M Atividades profissionais, científicas e técnicas",66173,297685,204295,197778.94,13418112.718,5.229227,5218.76857449651
São Paulo - SP,N Atividades administrativas e serviços complementares,87437,1003390,911341,888688.33,29110006.854,2.524753,2519.70372612133
São Paulo - SP,"O Administração pública, defesa e seguridade social",503,571701,571686,573357.38,42995260.914,5.779913,5768.35299933766
São Paulo - SP,P Educação,22111,355477,332619,338153.24,20954453.705,4.77627,4766.71775858415
São Paulo - SP,Q Saúde humana e serviços sociais,36641,480859,426540,427693.89,20153939.562,3.63206,3624.7958633002
São Paulo - SP,"R Artes, cultura, esporte e recreação",7569,44758,35183,36083.13,1792230.729,3.828387,3820.73013706874
São Paulo - SP,S Outras atividades de serviços,26132,115712,91124,91866.57,4196087.989,3.520572,3513.53053840854
São Paulo - SP,U Organismos internacionais e outras instituições extraterritoriais,67,,,,,,
Curitiba - PR,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",284,1081,607,649.92,40550.704,4.809109,4799.49058819074
Curitiba - PR,B Indústrias extrativas,36,,,,,,
Curitiba - PR,C Indústrias de transformação,5918,73209,65063,66879.63,3530739.987,4.069096,4060.958226225
Curitiba - PR,D Eletricidade e gás,185,7256,7080,7521.48,732648.395,7.507899,7492.88289620578
Curitiba - PR,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",174,12483,12246,12471.77,721485.596,4.458879,4449.96115226628
Curitiba - PR,F Construção,7718,49792,38638,40076.28,1293194.214,2.487153,2482.17843572308
Curitiba - PR,G Comércio; reparação de veículos automotores e motocicletas,36047,193429,147596,152400.05,4346532.92,2.198285,2193.8882969779
Curitiba - PR,"H Transporte, armazenagem e correio",4476,42973,37608,39593.81,1300756.689,2.532182,2527.1174167415
Curitiba - PR,I Alojamento e alimentação,6544,47870,39464,40541.93,852448.114,1.620652,1617.41021816558
Curitiba - PR,J Informação e comunicação,5573,38959,31089,31734.55,1911460.535,4.642577,4633.29165749099
Curitiba - PR,"K Atividades financeiras, de seguros e serviços relacionados",5682,35487,27985,28265.3,2071616.018,5.649133,5637.83431655395
Curitiba - PR,L Atividades imobiliárias,4152,10434,3998,3965.53,121739.028,2.366218,2361.485253014
Curitiba - PR,"M Atividades profissionais, científicas e técnicas",12660,45336,26707,27258.83,1161556.582,3.284424,3277.85551719176
Curitiba - PR,N Atividades administrativas e serviços complementares,15320,144192,126492,127418.31,3371650.455,2.039562,2035.48239894009
Curitiba - PR,"O Administração pública, defesa e seguridade social",133,97693,97693,97738.53,11009130.193,8.681871,8664.50691137167
Curitiba - PR,P Educação,3816,154104,149447,145667.76,8114010.23,4.293369,4284.78225433633
Curitiba - PR,Q Saúde humana e serviços sociais,6641,61957,51191,51232.26,2253729.302,3.390661,3383.8794630871
Curitiba - PR,"R Artes, cultura, esporte e recreação",1524,8810,6910,6901.58,274949.256,3.070649,3064.50736921557
Curitiba - PR,S Outras atividades de serviços,5123,20810,16465,16498.88,621392.59,2.902938,2897.13180531042
Curitiba - PR,U Organismos internacionais e outras instituições extraterritoriais,6,,,,,,
Florianópolis - SC,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",55,214,117,108.21,2321.66,1.653702,1650.39488743398
Florianópolis - SC,B Indústrias extrativas,10,,,,,,
Florianópolis - SC,C Indústrias de transformação,838,5956,4809,4714.53,169198.641,2.766206,2760.67393291019
Florianópolis - SC,D Eletricidade e gás,223,3032,2810,2847.96,420653.226,11.384565,11361.7959737982
Florianópolis - SC,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",43,3061,3014,2932.18,180190.318,4.736602,4727.129198176
Florianópolis - SC,F Construção,1760,8984,6080,6944.09,238202.374,2.643972,2638.68405197247
Florianópolis - SC,G Comércio; reparação de veículos automotores e motocicletas,7625,44585,35702,36086.73,953148.398,2.035819,2031.74705877927
Florianópolis - SC,"H Transporte, armazenagem e correio",568,8944,8325,8903.18,339478.287,2.938955,2933.07721337942
Florianópolis - SC,I Alojamento e alimentação,3046,22399,18398,17416.38,396642.819,1.755367,1751.85578615781
Florianópolis - SC,J Informação e comunicação,1691,15590,12952,12947.48,751471.6,4.473562,4464.61455760563
Florianópolis - SC,"K Atividades financeiras, de seguros e serviços relacionados",1203,8158,6625,6647.83,511739.464,5.933284,5921.4170870564
Florianópolis - SC,L Atividades imobiliárias,1466,3411,1125,1117.23,36485.706,2.517134,2512.09936112597
Florianópolis - SC,"M Atividades profissionais, científicas e técnicas",3616,14688,9087,8669.79,406476.008,3.613703,3606.47550064872
Florianópolis - SC,N Atividades administrativas e serviços complementares,4866,51930,48148,45987.95,1124214.285,1.884218,1880.4495943628
Florianópolis - SC,"O Administração pública, defesa e seguridade social",124,59972,59968,60853.54,6897930.036,8.736934,8719.45991587722
Florianópolis - SC,P Educação,1113,40385,39040,54524.57,3376403.62,4.772965,4763.41868234111
Florianópolis - SC,Q Saúde humana e serviços sociais,1546,27121,24263,24124.52,1617816.145,5.168882,5158.54391172263
Florianópolis - SC,"R Artes, cultura, esporte e recreação",608,2797,2051,1980.09,69020.36,2.686695,2681.32178918052
Florianópolis - SC,S Outras atividades de serviços,1814,8142,6778,6790.67,262816.404,2.983087,2977.12102952116
Florianópolis - SC,U Organismos internacionais e outras instituições extraterritoriais,3,,,,,,
Porto Alegre - RS,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",251,1429,1044,1079.99,53379.585,3.809619,3801.99994729296
Porto Alegre - RS,B Indústrias extrativas,24,,,,,,
Porto Alegre - RS,C Indústrias de transformação,3284,29414,24899,25925.25,1131165.935,3.36302,3356.29412371218
Porto Alegre - RS,D Eletricidade e gás,106,2082,1982,2000.64,221721.848,8.54212,8525.03537329593
Porto Alegre - RS,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",91,5017,4919,4969.25,324547.254,5.034,5023.93185784885
Porto Alegre - RS,F Construção,4405,33511,26303,27021.42,873212.765,2.490795,2485.81357649997
Porto Alegre - RS,G Comércio; reparação de veículos automotores e motocicletas,22654,131599,103346,108672.38,3222604.034,2.285672,2281.10047833681
Porto Alegre - RS,"H Transporte, armazenagem e correio",2827,36015,32827,36031.69,1356595.839,2.901964,2896.15963272672
Porto Alegre - RS,I Alojamento e alimentação,4546,35698,29710,30946.91,672433.68,1.674782,1671.43238831624
Porto Alegre - RS,J Informação e comunicação,4120,30111,24152,24496.51,1431992.322,4.505703,4496.69179562564
Porto Alegre - RS,"K Atividades financeiras, de seguros e serviços relacionados",4181,27841,21951,22629.73,1954880.75,6.658356,6645.03917226111
Porto Alegre - RS,L Atividades imobiliárias,2803,8996,4370,4413.7,160663.757,2.8057,2800.08848323664
Porto Alegre - RS,"M Atividades profissionais, científicas e técnicas",10624,37369,20669,20619.12,927318.789,3.466451,3459.5178910866
Porto Alegre - RS,N Atividades administrativas e serviços complementares,17370,106416,95341,93256.91,2506504.819,2.071637,2067.49358304923
Porto Alegre - RS,"O Administração pública, defesa e seguridade social",116,88055,88054,88943.21,12110480.296,10.494812,10473.8226491333
Porto Alegre - RS,P Educação,2952,108883,105341,107956.17,4703214.723,3.357944,3351.22807638579
Porto Alegre - RS,Q Saúde humana e serviços sociais,4936,76239,67842,67407.47,4119884.568,4.710892,4701.46999343636
Porto Alegre - RS,"R Artes, cultura, esporte e recreação",1432,8080,6247,6265.45,402284.261,4.94888,4938.98174174978
Porto Alegre - RS,S Outras atividades de serviços,4355,18812,14781,14893.47,511607.816,2.647692,2642.3961229059
Porto Alegre - RS,U Organismos internacionais e outras instituições extraterritoriais,6,,,,,,
Campo Grande - MS,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",358,1647,1054,1000.46,33860.609,2.608682,2603.46463703619
Campo Grande - MS,B Indústrias extrativas,22,140,115,111,2978.517,2.068251,2064.11434511435
Campo Grande - MS,C Indústrias de transformação,1282,17797,16296,16515.72,410742.383,1.916894,1913.06027972604
Campo Grande - MS,D Eletricidade e gás,25,859,849,897.77,61171.309,5.251807,5241.30379461589
Campo Grande - MS,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",80,4218,4136,4243.64,172801.405,3.138592,3132.31465657567
Campo Grande - MS,F Construção,1668,14940,12708,13472.24,326540.632,1.868201,1864.464272745
Campo Grande - MS,G Comércio; reparação de veículos automotores e motocicletas,9832,63020,51649,52587.14,1296169.829,1.899803,1896.0029288822
Campo Grande - MS,"H Transporte, armazenagem e correio",1330,14988,13624,14031.69,400790.439,2.201575,2197.17181388919
Campo Grande - MS,I Alojamento e alimentação,1563,11776,9911,9937.1,188245.538,1.460129,1457.20844109448
Campo Grande - MS,J Informação e comunicação,704,6105,5276,5260,175184.923,2.567066,2561.9321877742
Campo Grande - MS,"K Atividades financeiras, de seguros e serviços relacionados",761,5938,5138,5127.19,326651.111,4.910558,4900.7367658428
Campo Grande - MS,L Atividades imobiliárias,655,1945,902,863.35,19260.99,1.719562,1716.12279537223
Campo Grande - MS,"M Atividades profissionais, científicas e técnicas",2521,9765,6368,6336.57,204222.022,2.484131,2479.16243451778
Campo Grande - MS,N Atividades administrativas e serviços complementares,2453,30407,28027,28029.63,579759.104,1.59425,1591.06110761527
Campo Grande - MS,"O Administração pública, defesa e seguridade social",110,48578,48576,50978.48,4839842.751,7.31763,7302.99522917845
Campo Grande - MS,P Educação,941,31064,30138,38805.91,2238270.715,4.445707,4436.81569082172
Campo Grande - MS,Q Saúde humana e serviços sociais,1491,27359,25108,25094.25,1172170.591,3.600333,3593.13263151764
Campo Grande - MS,"R Artes, cultura, esporte e recreação",414,1632,1184,1170.82,32313.64,2.127266,2123.01174850499
Campo Grande - MS,S Outras atividades de serviços,1646,6446,5210,5352.86,143827.422,2.071009,2066.86665561099
Campo Grande - MS,U Organismos internacionais e outras instituições extraterritoriais,,,,,,,
Cuiabá - MT,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",178,2642,2398,2452.39,239638.103,7.53169,7516.62673178786
Cuiabá - MT,B Indústrias extrativas,58,700,632,659.36,28870.121,3.374832,3368.08198626174
Cuiabá - MT,C Indústrias de transformação,1078,11264,9985,10210.33,274541.986,2.072503,2068.35766402186
Cuiabá - MT,D Eletricidade e gás,74,2998,2925,2943.25,134789.865,3.52985,3522.78982548073
Cuiabá - MT,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",70,1459,1381,1448.75,52854.759,2.812009,2806.38529236079
Cuiabá - MT,F Construção,1507,12171,10090,10569.15,283530.159,2.067689,2063.55404462698
Cuiabá - MT,G Comércio; reparação de veículos automotores e motocicletas,8438,53334,44023,45272.02,1236303.643,2.104851,2100.64141672426
Cuiabá - MT,"H Transporte, armazenagem e correio",1032,10766,9772,10224.87,302568.351,2.280824,2276.26253815076
Cuiabá - MT,I Alojamento e alimentação,1451,11697,10044,10034.89,184656.012,1.418329,1415.49220922049
Cuiabá - MT,J Informação e comunicação,633,5841,5076,5286.48,222960.146,3.250774,3244.2722684165
Cuiabá - MT,"K Atividades financeiras, de seguros e serviços relacionados",979,5904,4711,4768.34,299409.224,4.839763,4830.08316714638
Cuiabá - MT,L Atividades imobiliárias,491,1486,742,782.68,20068.968,1.976364,1972.41116322222
Cuiabá - MT,"M Atividades profissionais, científicas e técnicas",2259,8058,5093,5233.11,147129.971,2.167042,2162.70823218375
Cuiabá - MT,N Atividades administrativas e serviços complementares,2425,26936,24387,24365.8,514600.388,1.627854,1624.59862720572
Cuiabá - MT,"O Administração pública, defesa e seguridade social",90,47175,47170,47226.07,5169943.774,8.437817,8420.94170900489
Cuiabá - MT,P Educação,835,41615,40779,60515.56,3268647.174,4.163198,4154.87187097004
Cuiabá - MT,Q Saúde humana e serviços sociais,1610,21013,18566,18425.21,941928.939,3.940323,3932.4421393715
Cuiabá - MT,"R Artes, cultura, esporte e recreação",240,947,672,707.5,15245.603,1.660903,1657.58119054091
Cuiabá - MT,S Outras atividades de serviços,1222,7478,6606,6764.23,201618.753,2.297411,2292.81601100995
Cuiabá - MT,U Organismos internacionais e outras instituições extraterritoriais,,,,,,,
Goiânia - GO,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",395,2075,1401,1403.61,37281.849,2.047279,2043.18474395419
Goiânia - GO,B Indústrias extrativas,51,212,162,146.32,7102.932,3.741623,3734.14013542499
