faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,198404.0,2865174.0,2644228.0,2655896.22,95166029.799,2.88921,2756.30643078829
  0          a                4,128839.0,231161.0,101296.0,127738.9,2392552.496,1.510242,1440.77097651779
  5          a                9,35947.0,234794.0,187084.0,188222.71,3898888.608,1.670233,1593.40234931105
 10          a              19,18791.0,249232.0,221464.0,218324.8,5093603.778,1.88118,1794.64575362382
 20          a              29,5202.0,123681.0,117261.0,115308.28,2959107.313,2.069229,1974.0441836574
 30          a              49,3855.0,144976.0,140695.0,138154.43,3671234.922,2.142672,2044.10880134421
 50          a              99,2750.0,190018.0,187277.0,182701.76,5613802.743,2.477551,2363.58412875042
100          a             249 ,1654.0,254612.0,253129.0,252539.33,8345098.902,2.664469,2541.90380868291
250          a            499,676.0,234705.0,234286.0,234593.46,8800947.478,3.024975,2885.82622825953
500          e           mais,690.0,1201995.0,1201736.0,1198312.55,54390793.559,3.659852,3491.49910584359
