faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,2758699.0,25843312.0,22350745.0,22449860.94,918921455.222,3.300449,3148.62822425606
  0          a                4,1972260.0,3358279.0,1099094.0,1373833.9,31896560.14,1.872052,1785.93754982372
  5          a                9,416063.0,2699850.0,2035427.0,2046255.44,50125299.3,1.975174,1884.31618969631
 10          a              19,211883.0,2806280.0,2418081.0,2416812.2,66755348.129,2.22716,2124.71071569146
 20          a              29,59256.0,1408613.0,1330816.0,1322567.6,40320386.54,2.458188,2345.11127853473
 30          a              49,43453.0,1638138.0,1587570.0,1560734.26,51925004.672,2.6826,2559.20000667851
 50          a              99,29503.0,2023171.0,1991283.0,1940091.76,72873473.435,3.028695,2889.37457406257
100          a             249 ,16199.0,2476120.0,2462253.0,2410605.42,104574794.047,3.497914,3337.01022156181
250          a            499,5563.0,1920560.0,1916496.0,1899982.17,89613051.924,3.803032,3628.0928291351
500          e           mais,4519.0,7512301.0,7509725.0,7478978.19,410837537.035,4.42931,4225.56219063272
