atividades,faixa,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
"R Artes, cultura, esporte e recreação",30 a 49,738,27854,27062,25997.9,644689.003,1.911341,1907.51798296135
"R Artes, cultura, esporte e recreação",50 a 99,410,27811,27497,26578.24,791049.105,2.294052,2289.46428182777
"R Artes, cultura, esporte e recreação",100 a 249,218,32015,31877,30357.2,1325893.423,3.366457,3359.72361644785
"R Artes, cultura, esporte e recreação",250 a 499,57,,,,,,
"R Artes, cultura, esporte e recreação",500 ou mais,24,,,,,,
S Outras atividades de serviços,0 a 4,250156,281614,127801,140456.36,2937990.264,1.61226,1609.03536925578
S Outras atividades de serviços,5 a 9,26672,170727,134895,133767.26,3156400.184,1.81873,1815.09297681545
S Outras atividades de serviços,10 a 19,12363,157231,126874,126448.39,3423191.557,2.086623,2082.44982369122
S Outras atividades de serviços,20 a 29,2635,62579,60090,59715.14,1771173.571,2.28614,2281.56746925744
S Outras atividades de serviços,30 a 49,1832,69013,67715,67366.95,2208142.47,2.526424,2521.37157874778
S Outras atividades de serviços,50 a 99,1232,83755,82888,83151,2806620.157,2.60161,2596.40723780555
S Outras atividades de serviços,100 a 249,495,74654,74410,72441.74,2743759.956,2.919331,2913.4923892475
S Outras atividades de serviços,250 a 499,135,44787,44728,42965.23,1669725.34,2.995394,2989.40354256758
S Outras atividades de serviços,500 ou mais,67,69213,69181,63673.22,1586107.479,1.920003,1916.16298995692
U Organismos internacionais e outras instituições extraterritoriais,0 a 4,95,,,,,,
U Organismos internacionais e outras instituições extraterritoriais,5 a 9,91,602,566,560.72,33068.529,4.545639,4536.54765301755
U Organismos internacionais e outras instituições extraterritoriais,10 a 19,51,703,691,679.51,53032.903,6.015554,6003.52324016288
U Organismos internacionais e outras instituições extraterritoriais,20 a 29,18,,,,,,
U Organismos internacionais e outras instituições extraterritoriais,30 a 49,9,343,341,338.94,28213.546,6.41595,6403.11786519965
U Organismos internacionais e outras instituições extraterritoriais,50 a 99,5,364,363,373.91,35261.484,7.268748,7254.21049491548
U Organismos internacionais e outras instituições extraterritoriais,100 a 249,1,,,,,,
U Organismos internacionais e outras instituições extraterritoriais,250 a 499,-,-,-,-,-,-,-
U Organismos internacionais e outras instituições extraterritoriais,500 ou mais,-,-,-,-,-,-,-
