mun_capital,cnae,atividades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Porto Velho - RO,56,Alimentação,564,3841,3240,3224.16,57105.887,1.365182,1362.45116199616
Porto Velho - RO,J,Informação e comunicação,171,1422,1271,1351.98,42430.964,2.419016,2414.17795210899
Porto Velho - RO,58,Edição e edição integrada à impressão,17,111,99,96.23,2433.46,1.949126,1945.22737991511
Porto Velho - RO,59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",13,69,54,51.63,1875.714,2.80021,2794.60957404014
Porto Velho - RO,60,Atividades de rádio e de televisão,26,477,457,503.51,15150.173,2.319186,2314.54772115136
Porto Velho - RO,61,Telecomunicações,56,498,460,489.1,17935.942,2.826524,2820.87067297863
Porto Velho - RO,62,Atividades dos serviços de tecnologia da informação,39,110,67,75.59,2484.029,2.532902,2527.83640489686
Porto Velho - RO,63,Atividades de prestação de serviços de informação,20,157,134,135.92,2551.646,1.446982,1444.08815140128
Porto Velho - RO,K,"Atividades financeiras, de seguros e serviços relacionados",276,2255,1973,1948.83,119976.029,4.745114,4735.62358322291
Porto Velho - RO,64,Atividades de serviços financeiros,144,1625,1492,1474.56,104213.551,5.447382,5436.48749457465
Porto Velho - RO,65,"Seguros, resseguros, previdência complementar e planos de saúde",32,,,,,,
Porto Velho - RO,66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",100,,,,,,
Porto Velho - RO,L,Atividades imobiliárias,109,316,179,184.99,4072.729,1.696928,1693.5339540183
Porto Velho - RO,68,Atividades imobiliárias,109,316,179,184.99,4072.729,1.696928,1693.5339540183
Porto Velho - RO,M,"Atividades profissionais, científicas e técnicas",753,4180,3215,3252.42,149916.192,3.552778,3545.67207471076
Porto Velho - RO,69,"Atividades jurídicas, de contabilidade e de auditoria",360,1530,1009,1041.38,25226.942,1.86716,1863.42545468513
Porto Velho - RO,70,Atividades de sedes de empresas e de consultoria em gestão empresarial,68,319,243,240.41,11513.167,3.691207,3683.82442814039
Porto Velho - RO,71,Serviços de arquitetura e engenharia; testes e análises técnicas,179,740,538,503.99,10436.634,1.596117,1592.92446278696
Porto Velho - RO,72,Pesquisa e desenvolvimento científico,6,,,,,,
Porto Velho - RO,73,Publicidade e pesquisa de mercado,53,206,149,147.57,3119.472,1.62933,1626.07159053591
Porto Velho - RO,74,"Outras atividades profissionais, científicas e técnicas",69,1151,1067,1097.31,64215.035,4.510591,4501.57027359914
Porto Velho - RO,75,Atividades veterinárias,18,,,,,,
Porto Velho - RO,N,Atividades administrativas e serviços complementares,834,11693,10772,11356.77,256924.04,1.743717,1740.22963327669
Porto Velho - RO,77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,109,664,542,551.62,14781.183,2.065358,2061.22707103273
Porto Velho - RO,78,"Seleção, agenciamento e locação de mão-de-obra",17,849,837,777.84,16253.487,1.61058,1607.3591365438
Porto Velho - RO,79,"Agências de viagens, operadores turísticos e serviços de reservas",63,184,124,158.99,3462.137,1.67842,1675.06277608171
Porto Velho - RO,80,"Atividades de vigilância, segurança e investigação",52,4702,4656,4949.45,125265.733,1.950749,1946.84775386853
Porto Velho - RO,81,Serviços para edifícios e atividades paisagísticas,308,3596,3241,3390.61,66649.791,1.51512,1512.08985993671
Porto Velho - RO,82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",285,1698,1372,1528.26,30511.709,1.538847,1535.76913513508
Porto Velho - RO,O,"Administração pública, defesa e seguridade social",51,72948,72948,73445.13,4277174.372,4.488695,4479.71721516143
Porto Velho - RO,84,"Administração pública, defesa e seguridade social",51,72948,72948,73445.13,4277174.372,4.488695,4479.71721516143
Porto Velho - RO,P,Educação,331,8278,7941,8142.79,480832.502,4.551418,4542.31480100328
Porto Velho - RO,85,Educação,331,8278,7941,8142.79,480832.502,4.551418,4542.31480100328
Porto Velho - RO,Q,Saúde humana e serviços sociais,629,5890,4888,4880.65,120463.17,1.902404,1898.59909895356
Porto Velho - RO,86,Atividades de atenção à saúde humana,606,5718,4723,4707.49,116783.584,1.912135,1908.31050419324
Porto Velho - RO,87,"Atividades de atenção à saúde humana integradas com assistência social, prestadas em residências coletivas e particulares",12,122,116,124.32,2502.701,1.551651,1548.54779229779
Porto Velho - RO,88,Serviços de assistência social sem alojamento,11,50,49,48.84,1176.885,1.85731,1853.59572859573
Porto Velho - RO,R,"Artes, cultura, esporte e recreação",114,539,421,405.48,7419.214,1.41031,1407.48931940113
Porto Velho - RO,90,"Atividades artísticas, criativas e de espetáculos",11,,,,,,
Porto Velho - RO,91,Atividades ligadas ao patrimônio cultural e ambiental,2,,,,,,
Porto Velho - RO,92,Atividades de exploração de jogos de azar e apostas,,,,,,,
Porto Velho - RO,93,Atividades esportivas e de recreação e lazer,101,517,412,387.49,6911.714,1.374837,1372.08781566571
Porto Velho - RO,S,Outras atividades de serviços,693,2752,2310,2305.15,59007.292,1.973025,1969.07900203391
Porto Velho - RO,94,Atividades de organizações associativas,490,1861,1647,1651.75,45799.347,2.13718,2132.90551978671
Porto Velho - RO,95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,79,373,279,280.67,5967.797,1.638869,1635.59093487835
Porto Velho - RO,96,Outras atividades de serviços pessoais,124,518,384,372.73,7240.148,1.497198,1494.20347580946
Porto Velho - RO,U,Organismos internacionais e outras instituições extraterritoriais,,,,,,,
Porto Velho - RO,99,Organismos internacionais e outras instituições extraterritoriais,,,,,,,
Rio Branco - AC,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",45,288,221,241.03,4466.079,1.428175,1425.31858466389
Rio Branco - AC,01,"Agricultura, pecuária e serviços relacionados",36,265,208,218.68,4102.243,1.445901,1443.00875181157
Rio Branco - AC,02,Produção florestal,8,,,,,,
Rio Branco - AC,03,Pesca e aquicultura,1,,,,,,
Rio Branco - AC,B,Indústrias extrativas,12,,,,,,
Rio Branco - AC,05,Extração de carvão mineral,,,,,,,
Rio Branco - AC,06,Extração de petróleo e gás natural,,,,,,,
Rio Branco - AC,07,Extração de minerais metálicos,2,,,,,,
Rio Branco - AC,08,Extração de minerais não-metálicos,9,53,36,37.58,707.7,1.451505,1448.60195685103
Rio Branco - AC,09,Atividades de apoio à extração de minerais,1,,,,,,
Rio Branco - AC,C,Indústrias de transformação,327,3601,3269,3314.1,62638.962,1.456817,1453.90353106656
Rio Branco - AC,10,Fabricação de produtos alimentícios,92,1537,1434,1508.91,30953.268,1.581136,1577.97391188647
Rio Branco - AC,11,Fabricação de bebidas,7,,,,,,
Rio Branco - AC,12,Fabricação de produtos do fumo,,,,,,,
Rio Branco - AC,13,Fabricação de produtos têxteis,2,,,,,,
Rio Branco - AC,14,Confecção de artigos do vestuário e acessórios,19,155,139,133.97,1980.693,1.139556,1137.27700231395
Rio Branco - AC,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",4,131,129,130.53,2980.803,1.760147,1756.62712373813
Rio Branco - AC,16,Fabricação de produtos de madeira,20,515,499,453.74,7530.503,1.279213,1276.6550481299
Rio Branco - AC,17,"Fabricação de celulose, papel e produtos de papel",6,,,,,,
Rio Branco - AC,18,Impressão e reprodução de gravações,30,152,124,129.57,2357.346,1.402313,1399.50843321994
Rio Branco - AC,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",1,,,,,,
Rio Branco - AC,20,Fabricação de produtos químicos,8,52,46,49.44,930.076,1.449994,1447.09360219069
Rio Branco - AC,21,Fabricação de produtos farmoquímicos e farmacêuticos,,,,,,,
Rio Branco - AC,22,Fabricação de produtos de borracha e de material plástico,11,153,146,163.26,3743.83,1.767512,1763.97723310623
Rio Branco - AC,23,Fabricação de produtos de minerais não-metálicos,39,432,387,387.58,6323.7,1.257581,1255.06595164472
Rio Branco - AC,24,Metalurgia,,,,,,,
Rio Branco - AC,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",23,109,83,83.12,1403.343,1.301321,1298.71825719997
Rio Branco - AC,26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",1,,,,,,
Rio Branco - AC,27,"Fabricação de máquinas, aparelhos e materiais elétricos",2,,,,,,
Rio Branco - AC,28,Fabricação de máquinas e equipamentos,1,,,,,,
Rio Branco - AC,29,"Fabricação de veículos automotores, reboques e carrocerias",15,,,,,,
Rio Branco - AC,30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",,,,,,,
Rio Branco - AC,31,Fabricação de móveis,18,119,98,92.65,1526.699,1.270089,1267.54867366848
Rio Branco - AC,32,Fabricação de produtos diversos,12,48,37,37.01,679.689,1.415524,1412.69303514643
Rio Branco - AC,33,"Manutenção, reparação e instalação de máquinas e equipamentos",16,46,31,26.67,552.89,1.597871,1594.67566554181
Rio Branco - AC,D,Eletricidade e gás,6,464,463,520.04,27114.799,4.018794,4010.7564211037
Rio Branco - AC,35,"Eletricidade, gás e outras utilidades",6,464,463,520.04,27114.799,4.018794,4010.7564211037
Rio Branco - AC,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",18,1067,1050,1145.76,44109.706,2.967335,2961.40056180379
Rio Branco - AC,36,"Captação, tratamento e distribuição de água",11,,,,,,
Rio Branco - AC,37,Esgoto e atividades relacionadas,,,,,,,
Rio Branco - AC,38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",7,,,,,,
Rio Branco - AC,39,Descontaminação e outros serviços de gestão de resíduos,,,,,,,
Rio Branco - AC,F,Construção,276,3267,2829,3078.69,67769.217,1.696651,1693.25807155241
Rio Branco - AC,41,Construção de edifícios,179,1749,1437,1412.46,25578.249,1.395792,1393.00059143949
Rio Branco - AC,42,Obras de infraestrutura,25,970,930,1110.74,31793.964,2.206269,2201.85600452089
Rio Branco - AC,43,Serviços especializados para construção,72,548,462,555.49,10397.004,1.44264,1439.75506032789
Rio Branco - AC,G,Comércio; reparação de veículos automotores e motocicletas,2603,20119,17558,18225.29,367646.099,1.554825,1551.71572873991
Rio Branco - AC,45,Comércio e reparação de veículos automotores e motocicletas,338,2534,2168,2234.84,55798.915,1.924445,1920.59576111455
Rio Branco - AC,46,"Comércio por atacado, exceto veículos automotores e motocicletas",354,3549,3208,3234.61,74375.623,1.77229,1768.74546521243
Rio Branco - AC,47,Comércio varejista,1911,14036,12182,12755.84,237471.561,1.434923,1432.05333038406
Rio Branco - AC,H,"Transporte, armazenagem e correio",168,2504,2353,2332.24,67070.218,2.216576,2212.14263474665
Rio Branco - AC,49,Transporte terrestre,112,1832,1718,1628.81,43647.806,2.065466,2061.33529292032
Rio Branco - AC,50,Transporte aquaviário,,,,,,,
Rio Branco - AC,51,Transporte aéreo,7,66,62,67.04,2550.541,2.932408,2926.54328070497
Rio Branco - AC,52,Armazenamento e atividades auxiliares dos transportes,33,355,326,319.7,8100.76,1.953031,1949.12538196867
Rio Branco - AC,53,Correio e outras atividades de entrega,16,251,247,316.69,12771.111,3.108282,3102.06559678599
Rio Branco - AC,I,Alojamento e alimentação,425,2919,2484,2567.98,40139.517,1.204777,1202.36729018378
Rio Branco - AC,55,Alojamento,53,617,566,618.92,9614.596,1.197354,1194.95945791428
Rio Branco - AC,56,Alimentação,372,2302,1918,1949.06,30524.921,1.207134,1204.71963210668
Rio Branco - AC,J,Informação e comunicação,114,836,761,824.98,26229.787,2.450628,2445.72707590114
Rio Branco - AC,58,Edição e edição integrada à impressão,14,,,,,,
Rio Branco - AC,59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",9,,,,,,
Rio Branco - AC,60,Atividades de rádio e de televisão,17,220,216,248.15,8017.732,2.490367,2485.38632030875
Rio Branco - AC,61,Telecomunicações,35,254,241,269.1,9148.852,2.620469,2615.22796787011
Rio Branco - AC,62,Atividades dos serviços de tecnologia da informação,21,100,81,62.01,1814.842,2.255814,2251.3018991974
Rio Branco - AC,63,Atividades de prestação de serviços de informação,18,163,141,142.32,5258.204,2.847722,2842.02663553422
Rio Branco - AC,K,"Atividades financeiras, de seguros e serviços relacionados",107,1109,1013,1006.44,68815.47,5.270166,5259.62570278178
Rio Branco - AC,64,Atividades de serviços financeiros,67,876,821,809.84,61102.717,5.815505,5803.87360466265
Rio Branco - AC,65,"Seguros, resseguros, previdência complementar e planos de saúde",10,,,,,,
Rio Branco - AC,66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",30,,,,,,
Rio Branco - AC,L,Atividades imobiliárias,74,273,183,166.86,2976.574,1.374962,1372.21161913719
Rio Branco - AC,68,Atividades imobiliárias,74,273,183,166.86,2976.574,1.374962,1372.21161913719
Rio Branco - AC,M,"Atividades profissionais, científicas e técnicas",353,2424,1960,1820.72,83971.146,3.554782,3547.67285638479
Rio Branco - AC,69,"Atividades jurídicas, de contabilidade e de auditoria",170,804,547,552.68,11287.062,1.574103,1570.95523351947
Rio Branco - AC,70,Atividades de sedes de empresas e de consultoria em gestão empresarial,39,159,109,112.66,9234.681,6.31798,6305.34419423999
Rio Branco - AC,71,Serviços de arquitetura e engenharia; testes e análises técnicas,45,822,762,625.78,10717.211,1.320037,1317.39724208803
Rio Branco - AC,72,Pesquisa e desenvolvimento científico,4,,,,,,
Rio Branco - AC,73,Publicidade e pesquisa de mercado,44,143,92,95.8,1347.547,1.084188,1082.01943150795
Rio Branco - AC,74,"Outras atividades profissionais, científicas e técnicas",40,326,296,274.67,15844.998,4.446385,4437.49226344341
Rio Branco - AC,75,Atividades veterinárias,11,,,,,,
Rio Branco - AC,N,Atividades administrativas e serviços complementares,364,11059,10731,11281.16,183258.332,1.252092,1249.58734467296
Rio Branco - AC,77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,48,201,159,147.18,2730.412,1.429899,1427.03962703963
Rio Branco - AC,78,"Seleção, agenciamento e locação de mão-de-obra",14,502,490,933.84,11742.918,0.969236,967.297807563806
Rio Branco - AC,79,"Agências de viagens, operadores turísticos e serviços de reservas",30,96,62,65.31,995.008,1.174284,1171.93503174211
Rio Branco - AC,80,"Atividades de vigilância, segurança e investigação",24,1625,1604,1811.98,36018.149,1.532125,1529.06039037619
Rio Branco - AC,81,Serviços para edifícios e atividades paisagísticas,109,6794,6705,5987.66,89938.343,1.157748,1155.43201800421
Rio Branco - AC,82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",139,1841,1711,2335.19,41833.502,1.380792,1378.02992146579
Rio Branco - AC,O,"Administração pública, defesa e seguridade social",72,21932,21930,21281.93,1548563.863,5.608468,5597.25067951291
Rio Branco - AC,84,"Administração pública, defesa e seguridade social",72,21932,21930,21281.93,1548563.863,5.608468,5597.25067951291
Rio Branco - AC,P,Educação,260,21471,21342,20255.52,974950.801,3.709927,3702.50753678693
Rio Branco - AC,85,Educação,260,21471,21342,20255.52,974950.801,3.709927,3702.50753678693
Rio Branco - AC,Q,Saúde humana e serviços sociais,349,9997,9522,9443.13,516785.562,4.218135,4209.69906571884
Rio Branco - AC,86,Atividades de atenção à saúde humana,330,9604,9136,9054.95,503671.682,4.287337,4278.76195213243
Rio Branco - AC,87,"Atividades de atenção à saúde humana integradas com assistência social, prestadas em residências coletivas e particulares",11,72,67,71.82,1379.186,1.480143,1477.18227191911
Rio Branco - AC,88,Serviços de assistência social sem alojamento,8,321,319,316.36,11734.694,2.859014,2853.29614752424
Rio Branco - AC,R,"Artes, cultura, esporte e recreação",74,478,412,436.21,8210.312,1.450742,1447.84040150034
Rio Branco - AC,90,"Atividades artísticas, criativas e de espetáculos",4,,,,,,
Rio Branco - AC,91,Atividades ligadas ao patrimônio cultural e ambiental,2,,,,,,
Rio Branco - AC,92,Atividades de exploração de jogos de azar e apostas,,,,,,,
Rio Branco - AC,93,Atividades esportivas e de recreação e lazer,68,328,267,288.5,4695.744,1.254541,1252.03146247167
Rio Branco - AC,S,Outras atividades de serviços,433,1525,1308,1316.83,30954.85,1.811862,1808.23819907832
Rio Branco - AC,94,Atividades de organizações associativas,293,902,834,839.9,22699.073,2.083083,2078.91717878502
Rio Branco - AC,95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,67,276,210,213.45,3460.619,1.249637,1247.13732273817
Rio Branco - AC,96,Outras atividades de serviços pessoais,73,347,264,263.48,4795.158,1.402754,1399.94803283857
Rio Branco - AC,U,Organismos internacionais e outras instituições extraterritoriais,1,,,,,,
Rio Branco - AC,99,Organismos internacionais e outras instituições extraterritoriais,1,,,,,,
Manaus - AM,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",52,,,,,,
Manaus - AM,01,"Agricultura, pecuária e serviços relacionados",26,113,86,73.96,1545.84,1.610993,1607.77135249823
Manaus - AM,02,Produção florestal,19,65,43,60.41,672.512,0.858059,856.343193307272
Manaus - AM,03,Pesca e aquicultura,7,,,,,,
Manaus - AM,B,Indústrias extrativas,29,581,557,675.15,119067.241,13.593088,13565.9017084523
Manaus - AM,05,Extração de carvão mineral,,,,,,,
Manaus - AM,06,Extração de petróleo e gás natural,5,129,123,120.16,20035.373,12.85179,12826.0863720168
Manaus - AM,07,Extração de minerais metálicos,9,,,,,,
Manaus - AM,08,Extração de minerais não-metálicos,8,60,52,51.48,1448.264,2.16838,2164.04279481203
Manaus - AM,09,Atividades de apoio à extração de minerais,7,,,,,,
