ufs,cidades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal,numero_empresas
Santa Catarina,Paial - SC,49.0,257.0,221.0,214.8,7368.927,2.644211,2638.92243231629,49.0
Santa Catarina,Painel - SC,45.0,222.0,195.0,209.5,5883.515,2.164606,2160.2772168166,44.0
Santa Catarina,Palhoça - SC,7556.0,51846.0,42833.0,43354.92,1308006.323,2.325399,2320.74862553085,7342.0
Santa Catarina,Palma Sola - SC,223.0,1847.0,1587.0,1665.85,42839.018,1.982119,1978.15474197742,218.0
Santa Catarina,Palmeira - SC,76.0,734.0,664.0,685.17,19869.909,2.235237,2230.76687312862,75.0
Santa Catarina,Palmitos - SC,685.0,4949.0,4146.0,4087.97,133142.629,2.510357,2505.33655880735,667.0
Santa Catarina,Papanduva - SC,531.0,4066.0,3485.0,3627.77,95038.343,2.019227,2015.18888166305,507.0
Santa Catarina,Paraíso - SC,92.0,607.0,548.0,638.26,16872.973,2.037605,2033.53022279322,92.0
Santa Catarina,Passo de Torres - SC,299.0,1364.0,999.0,1074.47,28052.039,2.012316,2008.29167296077,295.0
Santa Catarina,Passos Maia - SC,188.0,993.0,791.0,852.11,21173.528,1.915242,1911.4115819283,186.0
Santa Catarina,Paulo Lopes - SC,251.0,1870.0,1560.0,1579.9,43984.114,2.145815,2141.52375758933,250.0
Santa Catarina,Pedras Grandes - SC,147.0,1231.0,1045.0,1096.29,25674.788,1.805126,1801.51574155351,146.0
Santa Catarina,Penha - SC,1104.0,8063.0,6782.0,6716.52,189089.99,2.169953,2165.61312199678,1080.0
Santa Catarina,Peritiba - SC,180.0,750.0,556.0,570.18,16423.291,2.220109,2215.66887109874,180.0
Santa Catarina,Pescaria Brava - SC,130.0,702.0,581.0,667.16,17358.996,2.005491,2001.47998173659,130.0
Santa Catarina,Petrolândia - SC,190.0,1096.0,889.0,901.0,24203.056,2.070482,2066.34133014599,186.0
Santa Catarina,Balneário Piçarras - SC,994.0,6035.0,4868.0,4892.1,162240.561,2.556173,2551.06051672005,968.0
Santa Catarina,Pinhalzinho - SC,1247.0,8752.0,7229.0,7357.48,225452.625,2.36185,2357.12630076937,1210.0
Santa Catarina,Pinheiro Preto - SC,150.0,1506.0,1323.0,1419.81,40219.779,2.183411,2179.04448753436,147.0
Santa Catarina,Piratuba - SC,399.0,2055.0,1671.0,1702.92,46645.89,2.111277,2107.05457955476,389.0
Santa Catarina,Planalto Alegre - SC,107.0,690.0,538.0,539.52,14882.726,2.126185,2121.93260105849,104.0
Santa Catarina,Pomerode - SC,1746.0,16037.0,13774.0,14507.68,533238.389,2.833019,2827.35334770167,1703.0
Santa Catarina,Ponte Alta - SC,110.0,825.0,711.0,719.67,17366.418,1.859957,1856.23731389707,109.0
