uf,atividades,faixa,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Brasil,F Construção,5 a 9,32933,213287,145202,152588.93,3286931.276,1.660327,1657.00662154598
Brasil,F Construção,10 a 19,18890,252397,206996,212976.59,5084991.082,1.840282,1836.60166666133
Brasil,F Construção,20 a 29,6716,160179,145251,147989.9,3718798.21,1.936853,1932.97921526557
Brasil,F Construção,30 a 49,4813,182210,174584,175410.26,4597136.948,2.020033,2015.99335795365
Brasil,F Construção,50 a 99,3488,240697,236049,236657.79,6667399.13,2.17151,2167.16659170123
Brasil,F Construção,100 a 249,1930,293005,290434,291107.17,9058746.686,2.398509,2393.71180089397
Brasil,F Construção,250 a 499,641,220226,219458,220804.19,7346856.386,2.564604,2559.47497610021
Brasil,F Construção,500 ou mais,386,421346,420889,400529.36,14768946.347,2.842112,2836.42826064755
Brasil,G Comércio; reparação de veículos automotores e motocicletas,Total,2022816,11487839,9073743,9249049.1,236804154.12,1.973415,1969.46777621463
Brasil,G Comércio; reparação de veículos automotores e motocicletas,0 a 4,1421007,2688805,1068905,1222826.17,23470770.647,1.479411,1476.45179684295
Brasil,G Comércio; reparação de veículos automotores e motocicletas,5 a 9,359644,2325681,1811772,1792945.11,37827244.68,1.626162,1622.90972326961
Brasil,G Comércio; reparação de veículos automotores e motocicletas,10 a 19,160985,2116899,1900733,1908535.96,44780450.875,1.808482,1804.86516340394
Brasil,G Comércio; reparação de veículos automotores e motocicletas,20 a 29,36435,859777,826517,829468.44,21190702.029,1.969117,1965.17905157521
Brasil,G Comércio; reparação de veículos automotores e motocicletas,30 a 49,22414,838828,820868,820627.76,22841290.308,2.145362,2141.07103979107
Brasil,G Comércio; reparação de veículos automotores e motocicletas,50 a 99,13719,941845,932808,942868.96,27093858.742,2.214857,2210.4269719027
Brasil,G Comércio; reparação de veículos automotores e motocicletas,100 a 249,7071,1060238,1056978,1063194.42,31644415.723,2.29409,2289.50206947677
Brasil,G Comércio; reparação de veículos automotores e motocicletas,250 a 499,1253,405885,405423,415361.52,13889361.547,2.577402,2572.24700711878
Brasil,G Comércio; reparação de veículos automotores e motocicletas,500 ou mais,288,249881,249739,253220.76,14066059.569,4.281533,4272.96949203837
Brasil,"H Transporte, armazenagem e correio",Total,268347,2667414,2362026,2459496.72,88088421.899,2.76057,2755.04837988531
Brasil,"H Transporte, armazenagem e correio",0 a 4,196992,329464,117934,152127.1,3700939.369,1.87513,1871.38020621724
Brasil,"H Transporte, armazenagem e correio",5 a 9,33705,218533,169727,177040.65,4459727.354,1.941607,1937.72419106963
Brasil,"H Transporte, armazenagem e correio",10 a 19,18115,242499,215291,224072.92,6194511.39,2.130805,2126.54378830716
Brasil,"H Transporte, armazenagem e correio",20 a 29,6162,147328,141156,146061.07,4393622.511,2.318539,2313.90172880847
Brasil,"H Transporte, armazenagem e correio",30 a 49,5563,210529,205671,217198.63,6985229.606,2.478847,2473.88924279906
Brasil,"H Transporte, armazenagem e correio",50 a 99,4107,281984,278453,283391.98,9877504.923,2.686494,2681.12058428753
Brasil,"H Transporte, armazenagem e correio",100 a 249,2331,356301,354267,357991.36,13123790.359,2.825614,2819.96284856621
Brasil,"H Transporte, armazenagem e correio",250 a 499,812,283496,282867,286747.86,10818193.268,2.907908,2902.09214786495
Brasil,"H Transporte, armazenagem e correio",500 ou mais,560,597280,596660,614865.15,28534903.119,3.57703,3569.8763340472
Brasil,I Alojamento e alimentação,Total,314887,2313271,1924387,1939248.11,38608184.396,1.534518,1531.4493915654
Brasil,I Alojamento e alimentação,0 a 4,180175,358906,157189,202606.53,3454819.106,1.314311,1311.68188826961
Brasil,I Alojamento e alimentação,5 a 9,72615,479334,377212,367116.98,6486228.804,1.361802,1359.07818055915
Brasil,I Alojamento e alimentação,10 a 19,41162,546018,484478,474516.58,9045630.253,1.46931,1466.37175832556
Brasil,I Alojamento e alimentação,20 a 29,10587,250940,237821,234885.15,4730136.211,1.552188,1549.08316517832
Brasil,I Alojamento e alimentação,30 a 49,6655,247488,240208,235486.46,5004340.388,1.637974,1634.69806550824
Brasil,I Alojamento e alimentação,50 a 99,2767,181692,179316,178026.66,3926250.849,1.699883,1696.48352711287
Brasil,I Alojamento e alimentação,100 a 249,691,99802,99245,96310.6,2272719.585,1.818854,1815.21642956786
Brasil,I Alojamento e alimentação,250 a 499,147,51960,51843,53258.06,1445389.557,2.091827,2087.64292347343
Brasil,I Alojamento e alimentação,500 ou mais,88,97131,97075,97041.09,2242669.643,1.781295,1777.73198406508
Brasil,J Informação e comunicação,Total,169473,1148928,919576,923316.39,57232180.096,4.777667,4768.11138595731
Brasil,J Informação e comunicação,0 a 4,138257,209277,32647,42106.45,1300345.181,2.380324,2375.56365793401
