faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
  0          a                4,124181.0,218859,85978,45859,40119,6968,79010,105712.15,57423.57,48288.58,8630.27,97081.88,1804035.278,1004360.196,799675.082,212568.65,1591466.628,1.315365,1.34811,1.276425,1.898458,1.26353,1312.7341035211,1345.41402799207,1273.87195577409,1894.66084089891,1261.00266956258
  5          a                9,30917.0,201329,154699,87361,67338,11475,143224,152917.15,87001.75,65915.4,11347.95,141569.2,2762536.87,1611218.628,1151318.242,300284.588,2462252.282,1.392445,1.427423,1.346278,2.039585,1.340571,1389.65993123627,1424.56783296357,1343.5849845758,2035.50548438603,1337.89003322974
 10          a              19,15800.0,208732,178222,103450,74772,14624,163598,177314.25,103595.18,73719.07,14631.29,162682.96,3419518.882,2038147.353,1381371.529,420042.188,2999476.694,1.48644,1.516429,1.444298,2.212771,1.421116,1483.46742577091,1513.39633383894,1441.40923623447,2208.34509728544,1418.2737790211
 20          a              29,4484.0,106166,98537,59584,38953,9702,88835,98366.8,59376.9,38989.9,9772.84,88593.96,2000232.112,1235294.612,764937.5,300726.159,1699505.953,1.567321,1.603538,1.512168,2.371792,1.47858,1564.18637808066,1600.33047298762,1509.14329490063,2367.04800871993,1475.62234664582
 30          a              49,3178.0,119732,114152,70995,43157,13495,100657,114446.33,71176.43,43269.9,13616.42,100829.91,2521725.639,1602062.437,919663.202,493819.647,2027905.992,1.69833,1.73488,1.638208,2.79532,1.550189,1694.93329587495,1731.40985122355,1634.93151661477,2789.72936295353,1547.08824609071
 50          a              99,2227.0,153133,149264,95626,53638,21289,127975,150675.25,96234.51,54440.74,21664.88,129010.37,3643343.195,2371075.984,1272267.211,916572.966,2726770.229,1.863735,1.899069,1.801277,3.260895,1.629109,1860.00798967418,1895.27083691383,1797.67410469552,3254.37356538466,1625.85035665678
100          a             249 ,1365.0,208039,205897,127758,78139,37406,168491,206766.31,127204.77,79561.54,37690.95,169075.36,6116025.235,3815895.749,2300129.486,2317957.91,3798067.325,2.279899,2.312167,2.228308,4.740177,1.731444,2275.33914792688,2307.54272996814,2223.85134054237,4730.69674856656,1727.9810907988
250          a            499,567.0,200474,199760,119520,80240,41874,157886,202837.85,119769.35,83068.5,43116.6,159721.25,6971796.551,4306129.971,2665666.58,3046295.611,3925500.94,2.649243,2.771198,2.473407,5.445699,1.894342,2643.94462071362,2765.65554542961,2468.46007072013,5434.80774493779,1890.55376644768
500          e           mais,663.0,1202303,1201765,597082,604683,425229,776536,1213363.76,596973.59,616390.17,431117.52,782246.24,56455513.012,29633184.799,26822328.213,33744452.663,22711060.349,3.586257,3.826038,3.354029,6.032993,2.237794,3579.08478340728,3818.38626021836,3347.32141556478,6020.92702686515,2233.31804347282
