faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
  0          a                4,3555111.0,6272432.0,2061120.0,1092942.0,968178.0,172838.0,1888282.0,2483777.82,1357807.34,1125970.48,208818.5,2274959.32,50171988.794,29202462.031,20969526.763,7696652.421,42475336.373,1.628759,1.734162,1.501654,2.971948,1.505468,1553.83614520908,1654.39025624493,1432.57798395458,2835.23819120801,1436.21626040937
  5          a                9,755997.0,4894268.0,3589563.0,2011968.0,1577595.0,302631.0,3286932.0,3587425.59,2025301.79,1562123.8,300334.83,3287090.76,75701802.153,45384299.434,30317502.719,10459579.725,65242222.428,1.701499,1.806859,1.564899,2.808127,1.600388,1623.22964034796,1723.74308544977,1492.91342579201,2678.95353918568,1526.77028439018
 10          a              19,373096.0,4923286.0,4090371.0,2337759.0,1752612.0,407457.0,3682914.0,4085873.72,2341391.99,1744481.73,406536.99,3679336.73,92990413.535,56576259.864,36414153.671,15823866.303,77166547.232,1.835108,1.948356,1.683108,3.13849,1.691094,1750.69256263298,1858.73190312676,1605.68534238709,2994.11988278398,1613.30388714256
 20          a              29,97755.0,2317466.0,2144703.0,1250652.0,894051.0,267759.0,1876944.0,2133041.03,1243828.49,889212.54,265830.6,1867210.43,52325227.374,32523121.418,19802105.956,11361120.445,40964106.929,1.977972,2.108337,1.795619,3.446073,1.768962,1886.98549802752,2011.35332622537,1713.02006120191,3287.55358458762,1687.58973158939
 30          a              49,68118.0,2560838.0,2453420.0,1455679.0,997741.0,369868.0,2083552.0,2420915.83,1434837.05,986078.78,366521.99,2054393.84,64301282.919,40496383.672,23804899.247,17325949.843,46975333.076,2.141649,2.275736,1.946539,3.811582,1.843718,2043.13279748795,2171.05241066063,1856.99777042467,3636.24941722722,1758.90673411107
 50          a              99,44110.0,3020495.0,2950073.0,1806981.0,1143092.0,508926.0,2441147.0,2885673.69,1761217.79,1124455.9,500887.27,2384786.42,87218768.405,56485375.735,30733392.67,29258239.363,57960529.042,2.437087,2.586016,2.203821,4.709952,1.959707,2324.98083702383,2467.05939910606,2102.44539466736,4493.2940642589,1869.56039191132
100          a             249 ,23993.0,3704982.0,3667332.0,2241586.0,1425746.0,731113.0,2936219.0,3631061.16,2212227.33,1418833.83,728251.05,2902810.11,126648457.192,82519618.904,44128838.288,50797456.505,75851000.687,2.812384,3.007708,2.507837,5.624308,2.106934,2683.01429953585,2869.35384376405,2392.47609577638,5365.59014124424,2010.01517131221
250          a            499,9682.0,3372251.0,3359175.0,1932109.0,1427066.0,779072.0,2580103.0,3361065.14,1919844.95,1441220.19,785658.6,2575406.54,125877750.527,79208640.724,46669109.803,56634202.953,69243547.574,3.019815,3.326708,2.611003,5.812369,2.167913,2880.9033694278,3173.67939707038,2490.89733006564,5545.00027140385,2068.18871263002
500          e           mais,9999.0,21151569.0,21140520.0,11059043.0,10081477.0,7130740.0,14009780.0,21118581.63,10958093.01,10160488.62,7226029.41,13892552.22,1079351221.925,624597493.062,454753728.863,637871571.512,441479650.413,4.121035,4.595931,3.608859,7.117735,2.562341,3931.46748800638,4384.51845233692,3442.85175395282,6790.31888447041,2444.47330993673
