faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
  0          a                4,822008.0,1444029.0,451388.0,231324.0,220064.0,38281.0,413107.0,532022.43,280286.46,251735.97,44036.06,487986.37,10854833.47,6159656.324,4695177.146,1306120.413,9548713.057,1.645135,1.771996,1.503886,2.39157,1.577776,1569.45862226147,1690.483790158,1434.70745467654,2281.55745541268,1505.19857552579
  5          a                9,159212.0,1027780.0,732687.0,402996.0,329691.0,65688.0,666999.0,729459.2,403106.18,326353.02,64830.11,664629.09,16236984.55,9589092.053,6647892.497,2081832.082,14155152.468,1.794786,1.918078,1.642497,2.589269,1.717289,1712.22573042942,1829.84658189905,1566.94228208177,2470.16285156103,1638.29404781823
 10          a              19,76777.0,1011369.0,829388.0,469458.0,359930.0,81138.0,748250.0,825335.97,467648.13,357687.84,80698.0,744637.97,19997117.431,12162771.735,7834345.696,2895540.627,17101576.804,1.953642,2.097112,1.766066,2.893178,1.851822,1863.77409721355,2000.64485614265,1684.82657004886,2760.09187817065,1766.63823361035
 20          a              29,19395.0,459778.0,424180.0,244541.0,179639.0,47741.0,376439.0,419371.8,241491.18,177880.62,46774.61,372597.19,10874354.487,6780785.709,4093568.778,1877248.44,8997106.047,2.0908,2.264055,1.855589,3.236084,1.947025,1994.62340265203,2159.90870015339,1770.23166436006,3087.22458944812,1857.46188944276
 30          a              49,13018.0,489744.0,469992.0,275249.0,194743.0,61458.0,408534.0,460753.29,269416.88,191336.41,60136.01,400617.28,12683102.65,8030429.957,4652672.693,2649248.993,10033853.657,2.219552,2.403379,1.960709,3.552192,2.019512,2117.45266272376,2292.82360224679,1870.51643470021,3388.79124299938,1926.61409086575
 50          a              99,8183.0,563052.0,550670.0,333610.0,217060.0,80559.0,470111.0,536666.35,324234.97,212431.38,78383.66,458282.69,16125680.757,10563292.641,5562388.116,4061761.391,12063919.366,2.422825,2.626925,2.111305,4.178276,2.122576,2311.37462094967,2506.08678139997,2014.18457538183,3986.07546423677,2024.93748429515
100          a             249 ,4737.0,739461.0,732502.0,433817.0,298685.0,139030.0,593472.0,728998.07,429914.56,299083.51,139893.39,589104.68,24480166.446,15757755.493,8722410.953,8239428.789,16240737.657,2.707673,2.955429,2.35154,4.749066,2.222908,2583.12031829575,2819.47891674819,2243.36904663285,4530.60873382553,2120.65453643472
250          a            499,1773.0,614627.0,612093.0,345062.0,267031.0,137675.0,474418.0,615633.83,345025.58,270608.25,140322.57,475311.26,22884144.805,14232869.264,8651275.541,9274301.357,13609843.448,2.997233,3.326208,2.577789,5.329199,2.308784,2859.3601348286,3173.20268610452,2459.21081091606,5084.05594832184,2202.57991460488
500          e           mais,1605.0,2896031.0,2893929.0,1412463.0,1481466.0,979746.0,1914183.0,2912404.05,1406741.85,1505662.2,1002998.29,1909405.76,140094107.605,75142427.858,64951679.747,82090592.041,58003515.564,3.878614,4.307042,3.478333,6.599355,2.449426,3700.19737329003,4108.91789300766,3318.32934204069,6295.78433900497,2336.75260806716
