faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
  0          a                4,1819820.0,3177752.0,976980.0,517093.0,459887.0,84361.0,892619.0,1194241.34,653233.43,541007.91,106974.57,1087266.77,26407066.658,15591708.366,10815358.292,4846528.892,21560537.766,1.782938,1.924569,1.611928,3.653075,1.598938,1700.92321527419,1836.03919658551,1537.77906472043,3485.03307626505,1525.38728381897
  5          a                9,377656.0,2446380.0,1785490.0,993457.0,792033.0,155813.0,1629677.0,1789606.06,1003633.7,785972.36,155606.1,1633999.96,40476977.149,24449896.653,16027080.496,6180606.542,34296370.607,1.823723,1.96431,1.644203,3.202674,1.692405,1739.83185262915,1873.9519019738,1568.5695942872,3055.35112351983,1614.55472396989
 10          a              19,188851.0,2496626.0,2077024.0,1176415.0,900609.0,219661.0,1857363.0,2082669.07,1183031.11,899637.96,220099.27,1862569.8,50496010.04,30698083.519,19797926.521,9777971.639,40718038.401,1.954992,2.092297,1.774435,3.582106,1.762717,1865.06273155311,1996.0515154357,1692.81143349299,3417.32921030797,1681.6319045208
 20          a              29,50361.0,1194599.0,1105962.0,638051.0,467911.0,149226.0,956736.0,1103913.45,636488.15,467425.3,148612.04,955301.41,29124456.275,18056473.401,11067982.874,7222200.233,21902256.042,2.127311,2.287446,1.909258,3.918536,1.848659,2029.45510844588,2182.22364765882,1821.43178385937,3738.28300908138,1763.62026546961
 30          a              49,35324.0,1327706.0,1271494.0,742786.0,528708.0,209749.0,1061745.0,1256931.58,733595.43,523336.15,207640.65,1049290.93,36390065.068,22848400.316,13541664.752,11187171.416,25202893.652,2.334423,2.511351,2.08641,4.344264,1.936702,2227.03909982239,2395.82906763326,1990.43486559187,4144.42763199121,1847.61353753141
 50          a              99,23057.0,1573751.0,1536564.0,925124.0,611440.0,292837.0,1243727.0,1504819.87,902847.99,601971.88,288000.1,1216819.77,50465374.312,32588791.831,17876582.481,19328871.246,31136503.066,2.704066,2.910462,2.39451,5.411556,2.06325,2579.6787692296,2776.58051921471,2284.36206905162,5162.62407440938,1968.34048846982
100          a             249 ,12074.0,1856433.0,1837004.0,1127271.0,709733.0,389215.0,1447789.0,1807196.81,1107846.57,699350.24,384458.82,1422737.99,71301967.895,47396158.281,23905809.614,31478830.035,39823137.86,3.181298,3.449624,2.75624,6.602023,2.256934,3034.95819094205,3290.94156901862,2629.45277869091,6298.32985553763,2153.11485210504
250          a            499,4696.0,1627974.0,1621145.0,957613.0,663532.0,369300.0,1251845.0,1613329.69,948047.22,665282.47,369065.4,1244264.29,66698489.885,43859591.2,22838898.685,30935327.548,35763162.337,3.333505,3.730292,2.768072,6.758645,2.317563,3180.1640420297,3558.69901468864,2640.74049686687,6447.74769083036,2210.95510782644
500          e           mais,4708.0,10966001.0,10960178.0,5805764.0,5154414.0,3489801.0,7470377.0,10883746.99,5739216.67,5144530.32,3512179.42,7371567.57,554677060.174,331440849.287,223236210.887,315546758.929,239130301.245,4.109321,4.656522,3.498865,7.244281,2.61567,3920.291991943,4442.32225600116,3337.91719631209,6911.04431388163,2495.3496502112
