faixas,total_empresas,total_empresas_ate_1966,total_empresas_ate_1970,total_empresas_ate_1980,total_empresas_ate_1990,total_empresas_ate_1995,total_empresas_ate_2000,total_empresas_ate_2005,total_empresas_ate_2010,total_empresas_2011,total_empresas_2012,total_empresas_2013,total_empresas_2014,total_empresas_2015,total_empresas_2016,total_empresas_2017,total_empresas_2018,total_empresas_2019
  5          a                9,762949.0,3510.0,3887.0,17649.0,60818.0,56817.0,78111.0,96472.0,137493.0,34857.0,33421.0,35055.0,33277.0,34256.0,35958.0,37964.0,37718.0,25686.0
 10          a              19,377056.0,2714.0,3125.0,12049.0,32705.0,31200.0,43308.0,51179.0,67383.0,16107.0,15095.0,15405.0,14775.0,15175.0,16224.0,16168.0,15170.0,9274.0
 20          a              29,99036.0,1038.0,1248.0,4211.0,9474.0,8480.0,12061.0,13774.0,17069.0,3863.0,3570.0,3768.0,3434.0,3604.0,3899.0,3691.0,3541.0,2311.0
 30          a              49,68895.0,937.0,1147.0,3429.0,7216.0,6204.0,8534.0,9603.0,11457.0,2603.0,2371.0,2323.0,2279.0,2366.0,2435.0,2417.0,2146.0,1428.0
 50          a              99,44987.0,899.0,1257.0,3005.0,5107.0,4233.0,5678.0,6194.0,6809.0,1559.0,1402.0,1340.0,1279.0,1341.0,1364.0,1413.0,1325.0,782.0
100          a             249 ,24442.0,844.0,1071.0,2749.0,3197.0,2734.0,3286.0,3084.0,3209.0,639.0,527.0,528.0,500.0,479.0,436.0,534.0,393.0,232.0
250          a            499,9895.0,571.0,523.0,2160.0,1341.0,1025.0,1427.0,975.0,928.0,178.0,136.0,123.0,109.0,81.0,84.0,99.0,86.0,49.0
500          e           mais,10167.0,868.0,720.0,3110.0,1285.0,841.0,1110.0,814.0,734.0,127.0,106.0,111.0,87.0,71.0,55.0,44.0,56.0,28.0
