codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
08,Extração de minerais não-metálicos,1923,14864,11755,10581,1174,511,11244,12078.41,10888.3,1190.11,542.67,11535.74,374038.597,338842.038,35196.559,27996.796,346041.801,2.386892,2.39863,2.279498,3.976478,2.312114,2382.11815704474,2393.83302754757,2274.93896814968,3968.525424858,2307.48959988029
08.1,"Extração de pedra, areia e argila",1798,13847,10947,9855,1092,472,10475,11240.03,10135.09,1104.94,502.08,10737.95,346911.995,314088.28,32823.715,25507.604,321404.391,2.37891,2.388637,2.289682,3.915821,2.307047,2374.15185519283,2383.86012586735,2285.10249773395,3907.98953277443,2302.43339671983
08.9,Extração de outros minerais não-metálicos,125,1017,808,726,82,39,769,838.38,753.21,85.17,40.59,797.79,27126.602,24753.758,2372.844,2489.192,24637.41,2.493909,2.533093,2.147379,4.726781,2.380305,2488.92112443962,2528.02701871886,2143.08396781098,4717.32711732712,2375.54417154312
09,Atividades de apoio à extração de minerais,43,240,189,151,38,36,153,191.85,153.76,38.09,34.51,157.34,17818.031,14848.534,2969.497,4539.704,13278.327,7.158533,7.443314,6.008942,10.139317,6.504746,7144.21563320703,7428.42691907468,5996.92428862815,10119.0379600116,6491.73617154423
09.1,Atividades de apoio à extração de petróleo e gás natural,3,,,,,,,,,,,,,,,,,,,,,,,,,,
09.9,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",40,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Indústrias de transformação,121062,2074691,1897742,1235764,661978,182120,1715622,1964606.15,1276209.01,688397.14,187372.84,1777233.31,65750930.219,47712096.03,18038834.189,16111371.475,49639558.744,2.579601,2.881594,2.01974,6.627534,2.152829,2574.44163197799,2875.83084300347,2015.70074786057,6614.27914156445,2148.52353610923
10,Fabricação de produtos alimentícios,14340,480649,459242,282666,176576,41734,417508,468036.3,289806.67,178229.63,42750.88,425285.42,14679780.832,10032208.225,4647572.607,3479630.09,11200150.742,2.417498,2.668175,2.00989,6.273561,2.029876,2412.66309932338,2662.83838463759,2005.87065772311,6261.01388034406,2025.81611445067
10.1,Abate e fabricação de produtos de carne,1640,257129,254767,152405,102362,20960,233807,253981.11,151716.76,102264.35,20977.52,233003.59,7641643.51,5059459.611,2582183.899,1570711.016,6070932.494,2.319057,2.570376,1.946207,5.771228,2.008255,2314.41909809143,2565.23538234111,1942.31450835318,5759.6858116542,2004.23867817131
10.2,Preservação do pescado e fabricação de produtos do pescado,233,7275,7007,3607,3400,463,6544,7654.11,3987.17,3666.94,506.21,7147.9,211828.382,127915.479,83912.903,42663.509,169164.873,2.133121,2.472774,1.763807,6.496089,1.824139,2128.85507564915,2467.82861798449,1760.27933162465,6483.09670811597,1820.49028924041
