codigo_cnae,atividade,tipo_empresa,total_empresas,pessoal_ocupado_total,numero_empresas_percent_total,pessoal_ocupado_percent_total,numero_empresas_mais_de_um_local_pct,pessoal_ocupado_mais_de_um_local_pct
36,"Captação, tratamento e distribuição de água",Mais de uma unidade local - não diversificada,31,29782,2.74,27.36,59.62,50.14
36,"Captação, tratamento e distribuição de água",Mais de uma unidade local - diversificada,21,29618,1.86,27.21,40.38,49.86
36,"Captação, tratamento e distribuição de água",Mais de uma unidade local - diversificada - espacial,4,1165,0.35,1.07,7.69,1.96
36,"Captação, tratamento e distribuição de água",Mais de uma unidade local - diversificada - atividade,13,27689,1.15,25.44,25,46.61
36,"Captação, tratamento e distribuição de água",Mais de uma unidade local - diversificada - mista,4,764,0.35,0.7,7.69,1.29
37,Esgoto e atividades relacionadas,Unidade local única,1313,10898,97.04,72.09,,
37,Esgoto e atividades relacionadas,Mais de uma unidade local,40,4220,2.96,27.91,100,100
37,Esgoto e atividades relacionadas,Mais de uma unidade local - não diversificada,16,1990,1.18,13.16,40,47.16
37,Esgoto e atividades relacionadas,Mais de uma unidade local - diversificada,24,2230,1.77,14.75,60,52.84
37,Esgoto e atividades relacionadas,Mais de uma unidade local - diversificada - espacial,7,647,0.52,4.28,17.5,15.33
37,Esgoto e atividades relacionadas,Mais de uma unidade local - diversificada - atividade,13,1213,0.96,8.02,32.5,28.74
37,Esgoto e atividades relacionadas,Mais de uma unidade local - diversificada - mista,4,370,0.3,2.45,10,8.77
38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",Unidade local única,8250,140906,94.84,57.8,,
38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",Mais de uma unidade local,449,102857,5.16,42.2,100,100
38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",Mais de uma unidade local - não diversificada,173,12113,1.99,4.97,38.53,11.78
38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",Mais de uma unidade local - diversificada,276,90744,3.17,37.23,61.47,88.22
38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",Mais de uma unidade local - diversificada - espacial,63,23957,0.72,9.83,14.03,23.29
38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",Mais de uma unidade local - diversificada - atividade,138,23497,1.59,9.64,30.73,22.84
38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",Mais de uma unidade local - diversificada - mista,75,43290,0.86,17.76,16.7,42.09
39,Descontaminação e outros serviços de gestão de resíduos,Unidade local única,118,1352,91.47,77.43,,
39,Descontaminação e outros serviços de gestão de resíduos,Mais de uma unidade local,11,394,8.53,22.57,100,100
39,Descontaminação e outros serviços de gestão de resíduos,Mais de uma unidade local - não diversificada,6,148,4.65,8.48,54.55,37.56
39,Descontaminação e outros serviços de gestão de resíduos,Mais de uma unidade local - diversificada,5,246,3.88,14.09,45.45,62.44
39,Descontaminação e outros serviços de gestão de resíduos,Mais de uma unidade local - diversificada - espacial,1,,,,,
39,Descontaminação e outros serviços de gestão de resíduos,Mais de uma unidade local - diversificada - atividade,2,,,,,
39,Descontaminação e outros serviços de gestão de resíduos,Mais de uma unidade local - diversificada - mista,2,,,,,
F,Construção,Unidade local única,265831,1722816,98.01,75.42,,
F,Construção,Mais de uma unidade local,5407,561603,1.99,24.58,100,100
F,Construção,Mais de uma unidade local - não diversificada,2156,57360,0.79,2.51,39.87,10.21
F,Construção,Mais de uma unidade local - diversificada,3251,504243,1.2,22.07,60.13,89.79
F,Construção,Mais de uma unidade local - diversificada - espacial,846,146036,0.31,6.39,15.65,26
F,Construção,Mais de uma unidade local - diversificada - atividade,1723,73060,0.64,3.2,31.87,13.01
F,Construção,Mais de uma unidade local - diversificada - mista,682,285147,0.25,12.48,12.61,50.77
41,Construção de edifícios,Unidade local única,143591,805428,97.58,87.09,,
41,Construção de edifícios,Mais de uma unidade local,3556,119386,2.42,12.91,100,100
41,Construção de edifícios,Mais de uma unidade local - não diversificada,1686,18340,1.15,1.98,47.41,15.36
41,Construção de edifícios,Mais de uma unidade local - diversificada,1870,101046,1.27,10.93,52.59,84.64
41,Construção de edifícios,Mais de uma unidade local - diversificada - espacial,411,33603,0.28,3.63,11.56,28.15
41,Construção de edifícios,Mais de uma unidade local - diversificada - atividade,1208,34879,0.82,3.77,33.97,29.22
41,Construção de edifícios,Mais de uma unidade local - diversificada - mista,251,32564,0.17,3.52,7.06,27.28
42,Obras de infraestrutura,Unidade local única,21124,335101,96.22,53.3,,
42,Obras de infraestrutura,Mais de uma unidade local,829,293576,3.78,46.7,100,100
42,Obras de infraestrutura,Mais de uma unidade local - não diversificada,178,27412,0.81,4.36,21.47,9.34
42,Obras de infraestrutura,Mais de uma unidade local - diversificada,651,266164,2.97,42.34,78.53,90.66
42,Obras de infraestrutura,Mais de uma unidade local - diversificada - espacial,222,57622,1.01,9.17,26.78,19.63
42,Obras de infraestrutura,Mais de uma unidade local - diversificada - atividade,200,27032,0.91,4.3,24.13,9.21
42,Obras de infraestrutura,Mais de uma unidade local - diversificada - mista,229,181510,1.04,28.87,27.62,61.83
43,Serviços especializados para construção,Unidade local única,101116,582287,99,79.66,,
43,Serviços especializados para construção,Mais de uma unidade local,1022,148641,1,20.34,100,100
43,Serviços especializados para construção,Mais de uma unidade local - não diversificada,292,11608,0.29,1.59,28.57,7.81
43,Serviços especializados para construção,Mais de uma unidade local - diversificada,730,137033,0.71,18.75,71.43,92.19
43,Serviços especializados para construção,Mais de uma unidade local - diversificada - espacial,213,54811,0.21,7.5,20.84,36.87
43,Serviços especializados para construção,Mais de uma unidade local - diversificada - atividade,315,11149,0.31,1.53,30.82,7.5
43,Serviços especializados para construção,Mais de uma unidade local - diversificada - mista,202,71073,0.2,9.72,19.77,47.82
G,Comércio; reparação de veículos automotores e motocicletas,Unidade local única,1702472,7150460,94.92,63,,
G,Comércio; reparação de veículos automotores e motocicletas,Mais de uma unidade local,91065,4198818,5.08,37,100,100
G,Comércio; reparação de veículos automotores e motocicletas,Mais de uma unidade local - não diversificada,64383,1448621,3.59,12.76,70.7,34.5
G,Comércio; reparação de veículos automotores e motocicletas,Mais de uma unidade local - diversificada,26682,2750197,1.49,24.23,29.3,65.5
G,Comércio; reparação de veículos automotores e motocicletas,Mais de uma unidade local - diversificada - espacial,8342,441775,0.47,3.89,9.16,10.52
G,Comércio; reparação de veículos automotores e motocicletas,Mais de uma unidade local - diversificada - atividade,14619,779667,0.82,6.87,16.05,18.57
G,Comércio; reparação de veículos automotores e motocicletas,Mais de uma unidade local - diversificada - mista,3721,1528755,0.21,13.47,4.09,36.41
45,Comércio e reparação de veículos automotores e motocicletas,Unidade local única,227818,903695,96.86,72.64,,
45,Comércio e reparação de veículos automotores e motocicletas,Mais de uma unidade local,7376,340435,3.14,27.36,100,100
45,Comércio e reparação de veículos automotores e motocicletas,Mais de uma unidade local - não diversificada,5029,181596,2.14,14.6,68.18,53.34
45,Comércio e reparação de veículos automotores e motocicletas,Mais de uma unidade local - diversificada,2347,158839,1,12.77,31.82,46.66
45,Comércio e reparação de veículos automotores e motocicletas,Mais de uma unidade local - diversificada - espacial,1054,75791,0.45,6.09,14.29,22.26
45,Comércio e reparação de veículos automotores e motocicletas,Mais de uma unidade local - diversificada - atividade,1018,39265,0.43,3.16,13.8,11.53
45,Comércio e reparação de veículos automotores e motocicletas,Mais de uma unidade local - diversificada - mista,275,43783,0.12,3.52,3.73,12.86
46,"Comércio por atacado, exceto veículos automotores e motocicletas",Unidade local única,275955,1094029,94.9,56.8,,
46,"Comércio por atacado, exceto veículos automotores e motocicletas",Mais de uma unidade local,14824,832010,5.1,43.2,100,100
46,"Comércio por atacado, exceto veículos automotores e motocicletas",Mais de uma unidade local - não diversificada,5144,149903,1.77,7.78,34.7,18.02
46,"Comércio por atacado, exceto veículos automotores e motocicletas",Mais de uma unidade local - diversificada,9680,682107,3.33,35.42,65.3,81.98
46,"Comércio por atacado, exceto veículos automotores e motocicletas",Mais de uma unidade local - diversificada - espacial,3914,175132,1.35,9.09,26.4,21.05
46,"Comércio por atacado, exceto veículos automotores e motocicletas",Mais de uma unidade local - diversificada - atividade,3574,159957,1.23,8.3,24.11,19.23
46,"Comércio por atacado, exceto veículos automotores e motocicletas",Mais de uma unidade local - diversificada - mista,2192,347018,0.75,18.02,14.79,41.71
47,Comércio varejista,Unidade local única,1198699,5152736,94.57,63,,
47,Comércio varejista,Mais de uma unidade local,68865,3026373,5.43,37,100,100
47,Comércio varejista,Mais de uma unidade local - não diversificada,54210,1117122,4.28,13.66,78.72,36.91
47,Comércio varejista,Mais de uma unidade local - diversificada,14655,1909251,1.16,23.34,21.28,63.09
47,Comércio varejista,Mais de uma unidade local - diversificada - espacial,3374,190852,0.27,2.33,4.9,6.31
47,Comércio varejista,Mais de uma unidade local - diversificada - atividade,10027,580445,0.79,7.1,14.56,19.18
47,Comércio varejista,Mais de uma unidade local - diversificada - mista,1254,1137954,0.1,13.91,1.82,37.6
H,"Transporte, armazenagem e correio",Unidade local única,213944,1401234,95.12,53.1,,
H,"Transporte, armazenagem e correio",Mais de uma unidade local,10985,1237459,4.88,46.9,100,100
H,"Transporte, armazenagem e correio",Mais de uma unidade local - não diversificada,3873,264097,1.72,10.01,35.26,21.34
H,"Transporte, armazenagem e correio",Mais de uma unidade local - diversificada,7112,973362,3.16,36.89,64.74,78.66
H,"Transporte, armazenagem e correio",Mais de uma unidade local - diversificada - espacial,5101,470872,2.27,17.84,46.44,38.05
H,"Transporte, armazenagem e correio",Mais de uma unidade local - diversificada - atividade,1051,57587,0.47,2.18,9.57,4.65
H,"Transporte, armazenagem e correio",Mais de uma unidade local - diversificada - mista,960,444903,0.43,16.86,8.74,35.95
49,Transporte terrestre,Unidade local única,174136,1068427,95.98,57.07,,
49,Transporte terrestre,Mais de uma unidade local,7291,803590,4.02,42.93,100,100
49,Transporte terrestre,Mais de uma unidade local - não diversificada,1839,211341,1.01,11.29,25.22,26.3
49,Transporte terrestre,Mais de uma unidade local - diversificada,5452,592249,3.01,31.64,74.78,73.7
49,Transporte terrestre,Mais de uma unidade local - diversificada - espacial,4330,394333,2.39,21.06,59.39,49.07
49,Transporte terrestre,Mais de uma unidade local - diversificada - atividade,589,29689,0.32,1.59,8.08,3.69
49,Transporte terrestre,Mais de uma unidade local - diversificada - mista,533,168227,0.29,8.99,7.31,20.93
50,Transporte aquaviário,Unidade local única,1517,13140,89.6,31.64,,
50,Transporte aquaviário,Mais de uma unidade local,176,28387,10.4,68.36,100,100
50,Transporte aquaviário,Mais de uma unidade local - não diversificada,49,5661,2.89,13.63,27.84,19.94
50,Transporte aquaviário,Mais de uma unidade local - diversificada,127,22726,7.5,54.73,72.16,80.06
50,Transporte aquaviário,Mais de uma unidade local - diversificada - espacial,55,7070,3.25,17.03,31.25,24.91
50,Transporte aquaviário,Mais de uma unidade local - diversificada - atividade,37,5295,2.19,12.75,21.02,18.65
50,Transporte aquaviário,Mais de uma unidade local - diversificada - mista,35,10361,2.07,24.95,19.89,36.5
51,Transporte aéreo,Unidade local única,381,2470,81.06,3.96,,
51,Transporte aéreo,Mais de uma unidade local,89,59911,18.94,96.04,100,100
51,Transporte aéreo,Mais de uma unidade local - não diversificada,20,513,4.26,0.82,22.47,0.86
51,Transporte aéreo,Mais de uma unidade local - diversificada,69,59398,14.68,95.22,77.53,99.14
51,Transporte aéreo,Mais de uma unidade local - diversificada - espacial,48,6491,10.21,10.41,53.93,10.83
51,Transporte aéreo,Mais de uma unidade local - diversificada - atividade,4,47,0.85,0.08,4.49,0.08
51,Transporte aéreo,Mais de uma unidade local - diversificada - mista,17,52860,3.62,84.74,19.1,88.23
52,Armazenamento e atividades auxiliares dos transportes,Unidade local única,29997,253481,90.33,51.73,,
52,Armazenamento e atividades auxiliares dos transportes,Mais de uma unidade local,3212,236551,9.67,48.27,100,100
52,Armazenamento e atividades auxiliares dos transportes,Mais de uma unidade local - não diversificada,1849,44054,5.57,8.99,57.57,18.62
52,Armazenamento e atividades auxiliares dos transportes,Mais de uma unidade local - diversificada,1363,192497,4.1,39.28,42.43,81.38
52,Armazenamento e atividades auxiliares dos transportes,Mais de uma unidade local - diversificada - espacial,630,61966,1.9,12.65,19.61,26.2
52,Armazenamento e atividades auxiliares dos transportes,Mais de uma unidade local - diversificada - atividade,386,21967,1.16,4.48,12.02,9.29
52,Armazenamento e atividades auxiliares dos transportes,Mais de uma unidade local - diversificada - mista,347,108564,1.04,22.15,10.8,45.89
53,Correio e outras atividades de entrega,Unidade local única,7913,63716,97.33,36.89,,
53,Correio e outras atividades de entrega,Mais de uma unidade local,217,109020,2.67,63.11,100,100
53,Correio e outras atividades de entrega,Mais de uma unidade local - não diversificada,116,2528,1.43,1.46,53.46,2.32
53,Correio e outras atividades de entrega,Mais de uma unidade local - diversificada,101,106492,1.24,61.65,46.54,97.68
53,Correio e outras atividades de entrega,Mais de uma unidade local - diversificada - espacial,38,1012,0.47,0.59,17.51,0.93
53,Correio e outras atividades de entrega,Mais de uma unidade local - diversificada - atividade,35,589,0.43,0.34,16.13,0.54
53,Correio e outras atividades de entrega,Mais de uma unidade local - diversificada - mista,28,104891,0.34,60.72,12.9,96.21
I,Alojamento e alimentação,Unidade local única,280030,1812764,96.38,78.57,,
I,Alojamento e alimentação,Mais de uma unidade local,10519,494415,3.62,21.43,100,100
I,Alojamento e alimentação,Mais de uma unidade local - não diversificada,8109,168326,2.79,7.3,77.09,34.05
I,Alojamento e alimentação,Mais de uma unidade local - diversificada,2410,326089,0.83,14.13,22.91,65.95
I,Alojamento e alimentação,Mais de uma unidade local - diversificada - espacial,498,101876,0.17,4.42,4.73,20.61
I,Alojamento e alimentação,Mais de uma unidade local - diversificada - atividade,1726,50030,0.59,2.17,16.41,10.12
I,Alojamento e alimentação,Mais de uma unidade local - diversificada - mista,186,174183,0.06,7.55,1.77,35.23
55,Alojamento,Unidade local única,33875,313411,96.12,80.81,,
55,Alojamento,Mais de uma unidade local,1366,74421,3.88,19.19,100,100
55,Alojamento,Mais de uma unidade local - não diversificada,927,29664,2.63,7.65,67.86,39.86
55,Alojamento,Mais de uma unidade local - diversificada,439,44757,1.25,11.54,32.14,60.14
55,Alojamento,Mais de uma unidade local - diversificada - espacial,106,15293,0.3,3.94,7.76,20.55
55,Alojamento,Mais de uma unidade local - diversificada - atividade,296,10417,0.84,2.69,21.67,14
55,Alojamento,Mais de uma unidade local - diversificada - mista,37,19047,0.1,4.91,2.71,25.59
56,Alimentação,Unidade local única,246155,1499353,96.41,78.12,,
56,Alimentação,Mais de uma unidade local,9153,419994,3.59,21.88,100,100
56,Alimentação,Mais de uma unidade local - não diversificada,7182,138662,2.81,7.22,78.47,33.02
56,Alimentação,Mais de uma unidade local - diversificada,1971,281332,0.77,14.66,21.53,66.98
56,Alimentação,Mais de uma unidade local - diversificada - espacial,392,86583,0.15,4.51,4.28,20.62
56,Alimentação,Mais de uma unidade local - diversificada - atividade,1430,39613,0.56,2.06,15.62,9.43
56,Alimentação,Mais de uma unidade local - diversificada - mista,149,155136,0.06,8.08,1.63,36.94
J,Informação e comunicação,Unidade local única,153249,644403,97.63,55.07,,
J,Informação e comunicação,Mais de uma unidade local,3715,525703,2.37,44.93,100,100
J,Informação e comunicação,Mais de uma unidade local - não diversificada,1481,58714,0.94,5.02,39.87,11.17
J,Informação e comunicação,Mais de uma unidade local - diversificada,2234,466989,1.42,39.91,60.13,88.83
J,Informação e comunicação,Mais de uma unidade local - diversificada - espacial,1092,174942,0.7,14.95,29.39,33.28
J,Informação e comunicação,Mais de uma unidade local - diversificada - atividade,632,33186,0.4,2.84,17.01,6.31
J,Informação e comunicação,Mais de uma unidade local - diversificada - mista,510,258861,0.32,22.12,13.73,49.24
58,Edição e edição integrada à impressão,Unidade local única,12434,49180,97.74,59.67,,
58,Edição e edição integrada à impressão,Mais de uma unidade local,287,33245,2.26,40.33,100,100
58,Edição e edição integrada à impressão,Mais de uma unidade local - não diversificada,116,5416,0.91,6.57,40.42,16.29
58,Edição e edição integrada à impressão,Mais de uma unidade local - diversificada,171,27829,1.34,33.76,59.58,83.71
58,Edição e edição integrada à impressão,Mais de uma unidade local - diversificada - espacial,37,3708,0.29,4.5,12.89,11.15
58,Edição e edição integrada à impressão,Mais de uma unidade local - diversificada - atividade,82,4062,0.64,4.93,28.57,12.22
58,Edição e edição integrada à impressão,Mais de uma unidade local - diversificada - mista,52,20059,0.41,24.34,18.12,60.34
59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",Unidade local única,17055,36269,98.44,68.26,,
59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",Mais de uma unidade local,270,16862,1.56,31.74,100,100
59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",Mais de uma unidade local - não diversificada,104,2258,0.6,4.25,38.52,13.39
59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",Mais de uma unidade local - diversificada,166,14604,0.96,27.49,61.48,86.61
59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",Mais de uma unidade local - diversificada - espacial,101,9762,0.58,18.37,37.41,57.89
59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",Mais de uma unidade local - diversificada - atividade,31,806,0.18,1.52,11.48,4.78
59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",Mais de uma unidade local - diversificada - mista,34,4036,0.2,7.6,12.59,23.94
60,Atividades de rádio e de televisão,Unidade local única,4227,43657,92.39,51.84,,
60,Atividades de rádio e de televisão,Mais de uma unidade local,348,40552,7.61,48.16,100,100
60,Atividades de rádio e de televisão,Mais de uma unidade local - não diversificada,254,8815,5.55,10.47,72.99,21.74
60,Atividades de rádio e de televisão,Mais de uma unidade local - diversificada,94,31737,2.05,37.69,27.01,78.26
60,Atividades de rádio e de televisão,Mais de uma unidade local - diversificada - espacial,58,9230,1.27,10.96,16.67,22.76
60,Atividades de rádio e de televisão,Mais de uma unidade local - diversificada - atividade,20,1329,0.44,1.58,5.75,3.28
60,Atividades de rádio e de televisão,Mais de uma unidade local - diversificada - mista,16,21178,0.35,25.15,4.6,52.22
61,Telecomunicações,Unidade local única,14617,107287,93.11,42.76,,
61,Telecomunicações,Mais de uma unidade local,1081,143609,6.89,57.24,100,100
61,Telecomunicações,Mais de uma unidade local - não diversificada,495,13341,3.15,5.32,45.79,9.29
61,Telecomunicações,Mais de uma unidade local - diversificada,586,130268,3.73,51.92,54.21,90.71
61,Telecomunicações,Mais de uma unidade local - diversificada - espacial,182,17572,1.16,7,16.84,12.24
61,Telecomunicações,Mais de uma unidade local - diversificada - atividade,287,8679,1.83,3.46,26.55,6.04
61,Telecomunicações,Mais de uma unidade local - diversificada - mista,117,104017,0.75,41.46,10.82,72.43
62,Atividades dos serviços de tecnologia da informação,Unidade local única,77476,310142,98.34,57.18,,
62,Atividades dos serviços de tecnologia da informação,Mais de uma unidade local,1307,232225,1.66,42.82,100,100
62,Atividades dos serviços de tecnologia da informação,Mais de uma unidade local - não diversificada,379,20654,0.48,3.81,29,8.89
62,Atividades dos serviços de tecnologia da informação,Mais de uma unidade local - diversificada,928,211571,1.18,39.01,71,91.11
62,Atividades dos serviços de tecnologia da informação,Mais de uma unidade local - diversificada - espacial,591,123715,0.75,22.81,45.22,53.27
62,Atividades dos serviços de tecnologia da informação,Mais de uma unidade local - diversificada - atividade,132,8977,0.17,1.66,10.1,3.87
62,Atividades dos serviços de tecnologia da informação,Mais de uma unidade local - diversificada - mista,205,78879,0.26,14.54,15.68,33.97
63,Atividades de prestação de serviços de informação,Unidade local única,27440,97868,98.49,62.31,,
63,Atividades de prestação de serviços de informação,Mais de uma unidade local,422,59210,1.51,37.69,100,100
63,Atividades de prestação de serviços de informação,Mais de uma unidade local - não diversificada,133,8230,0.48,5.24,31.52,13.9
63,Atividades de prestação de serviços de informação,Mais de uma unidade local - diversificada,289,50980,1.04,32.46,68.48,86.1
63,Atividades de prestação de serviços de informação,Mais de uma unidade local - diversificada - espacial,123,10955,0.44,6.97,29.15,18.5
63,Atividades de prestação de serviços de informação,Mais de uma unidade local - diversificada - atividade,80,9333,0.29,5.94,18.96,15.76
63,Atividades de prestação de serviços de informação,Mais de uma unidade local - diversificada - mista,86,30692,0.31,19.54,20.38,51.84
K,"Atividades financeiras, de seguros e serviços relacionados",Unidade local única,129546,351431,97.73,27.56,,
K,"Atividades financeiras, de seguros e serviços relacionados",Mais de uma unidade local,3010,923726,2.27,72.44,100,100
K,"Atividades financeiras, de seguros e serviços relacionados",Mais de uma unidade local - não diversificada,1318,78809,0.99,6.18,43.79,8.53
K,"Atividades financeiras, de seguros e serviços relacionados",Mais de uma unidade local - diversificada,1692,844917,1.28,66.26,56.21,91.47
K,"Atividades financeiras, de seguros e serviços relacionados",Mais de uma unidade local - diversificada - espacial,895,364335,0.68,28.57,29.73,39.44
K,"Atividades financeiras, de seguros e serviços relacionados",Mais de uma unidade local - diversificada - atividade,542,121812,0.41,9.55,18.01,13.19
K,"Atividades financeiras, de seguros e serviços relacionados",Mais de uma unidade local - diversificada - mista,255,358770,0.19,28.14,8.47,38.84
64,Atividades de serviços financeiros,Unidade local única,81935,177201,98.47,21.48,,
64,Atividades de serviços financeiros,Mais de uma unidade local,1273,647799,1.53,78.52,100,100
64,Atividades de serviços financeiros,Mais de uma unidade local - não diversificada,551,50848,0.66,6.16,43.28,7.85
64,Atividades de serviços financeiros,Mais de uma unidade local - diversificada,722,596951,0.87,72.36,56.72,92.15
64,Atividades de serviços financeiros,Mais de uma unidade local - diversificada - espacial,415,310397,0.5,37.62,32.6,47.92
64,Atividades de serviços financeiros,Mais de uma unidade local - diversificada - atividade,160,2826,0.19,0.34,12.57,0.44
64,Atividades de serviços financeiros,Mais de uma unidade local - diversificada - mista,147,283728,0.18,34.39,11.55,43.8
65,"Seguros, resseguros, previdência complementar e planos de saúde",Unidade local única,1170,22111,70.87,9.35,,
65,"Seguros, resseguros, previdência complementar e planos de saúde",Mais de uma unidade local,481,214462,29.13,90.65,100,100
65,"Seguros, resseguros, previdência complementar e planos de saúde",Mais de uma unidade local - não diversificada,100,18376,6.06,7.77,20.79,8.57
65,"Seguros, resseguros, previdência complementar e planos de saúde",Mais de uma unidade local - diversificada,381,196086,23.08,82.89,79.21,91.43
65,"Seguros, resseguros, previdência complementar e planos de saúde",Mais de uma unidade local - diversificada - espacial,90,30745,5.45,13,18.71,14.34
65,"Seguros, resseguros, previdência complementar e planos de saúde",Mais de uma unidade local - diversificada - atividade,261,113279,15.81,47.88,54.26,52.82
65,"Seguros, resseguros, previdência complementar e planos de saúde",Mais de uma unidade local - diversificada - mista,30,52062,1.82,22.01,6.24,24.28
66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",Unidade local única,46441,152119,97.37,71.22,,
66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",Mais de uma unidade local,1256,61465,2.63,28.78,100,100
66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",Mais de uma unidade local - não diversificada,667,9585,1.4,4.49,53.11,15.59
66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",Mais de uma unidade local - diversificada,589,51880,1.23,24.29,46.89,84.41
66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",Mais de uma unidade local - diversificada - espacial,390,23193,0.82,10.86,31.05,37.73
66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",Mais de uma unidade local - diversificada - atividade,121,5707,0.25,2.67,9.63,9.28
66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",Mais de uma unidade local - diversificada - mista,78,22980,0.16,10.76,6.21,37.39
L,Atividades imobiliárias,Unidade local única,129214,335758,98.54,90.24,,
L,Atividades imobiliárias,Mais de uma unidade local,1912,36312,1.46,9.76,100,100
L,Atividades imobiliárias,Mais de uma unidade local - não diversificada,892,14319,0.68,3.85,46.65,39.43
L,Atividades imobiliárias,Mais de uma unidade local - diversificada,1020,21993,0.78,5.91,53.35,60.57
L,Atividades imobiliárias,Mais de uma unidade local - diversificada - espacial,256,6618,0.2,1.78,13.39,18.23
L,Atividades imobiliárias,Mais de uma unidade local - diversificada - atividade,554,9407,0.42,2.53,28.97,25.91
L,Atividades imobiliárias,Mais de uma unidade local - diversificada - mista,210,5968,0.16,1.6,10.98,16.44
68,Atividades imobiliárias,Unidade local única,129214,335758,98.54,90.24,,
68,Atividades imobiliárias,Mais de uma unidade local,1912,36312,1.46,9.76,100,100
68,Atividades imobiliárias,Mais de uma unidade local - não diversificada,892,14319,0.68,3.85,46.65,39.43
68,Atividades imobiliárias,Mais de uma unidade local - diversificada,1020,21993,0.78,5.91,53.35,60.57
68,Atividades imobiliárias,Mais de uma unidade local - diversificada - espacial,256,6618,0.2,1.78,13.39,18.23
68,Atividades imobiliárias,Mais de uma unidade local - diversificada - atividade,554,9407,0.42,2.53,28.97,25.91
68,Atividades imobiliárias,Mais de uma unidade local - diversificada - mista,210,5968,0.16,1.6,10.98,16.44
M,"Atividades profissionais, científicas e técnicas",Unidade local única,372766,1261424,98.72,81.55,,
M,"Atividades profissionais, científicas e técnicas",Mais de uma unidade local,4830,285394,1.28,18.45,100,100
M,"Atividades profissionais, científicas e técnicas",Mais de uma unidade local - não diversificada,2466,58424,0.65,3.78,51.06,20.47
M,"Atividades profissionais, científicas e técnicas",Mais de uma unidade local - diversificada,2364,226970,0.63,14.67,48.94,79.53
M,"Atividades profissionais, científicas e técnicas",Mais de uma unidade local - diversificada - espacial,1341,131121,0.36,8.48,27.76,45.94
M,"Atividades profissionais, científicas e técnicas",Mais de uma unidade local - diversificada - atividade,601,24799,0.16,1.6,12.44,8.69
M,"Atividades profissionais, científicas e técnicas",Mais de uma unidade local - diversificada - mista,422,71050,0.11,4.59,8.74,24.9
69,"Atividades jurídicas, de contabilidade e de auditoria",Unidade local única,128585,521899,98.74,89.59,,
69,"Atividades jurídicas, de contabilidade e de auditoria",Mais de uma unidade local,1639,60659,1.26,10.41,100,100
69,"Atividades jurídicas, de contabilidade e de auditoria",Mais de uma unidade local - não diversificada,1126,21322,0.86,3.66,68.7,35.15
69,"Atividades jurídicas, de contabilidade e de auditoria",Mais de uma unidade local - diversificada,513,39337,0.39,6.75,31.3,64.85
69,"Atividades jurídicas, de contabilidade e de auditoria",Mais de uma unidade local - diversificada - espacial,407,31725,0.31,5.45,24.83,52.3
69,"Atividades jurídicas, de contabilidade e de auditoria",Mais de uma unidade local - diversificada - atividade,78,880,0.06,0.15,4.76,1.45
69,"Atividades jurídicas, de contabilidade e de auditoria",Mais de uma unidade local - diversificada - mista,28,6732,0.02,1.16,1.71,11.1
70,Atividades de sedes de empresas e de consultoria em gestão empresarial,Unidade local única,55573,138004,98.84,78.92,,
70,Atividades de sedes de empresas e de consultoria em gestão empresarial,Mais de uma unidade local,654,36853,1.16,21.08,100,100
70,Atividades de sedes de empresas e de consultoria em gestão empresarial,Mais de uma unidade local - não diversificada,234,3670,0.42,2.1,35.78,9.96
70,Atividades de sedes de empresas e de consultoria em gestão empresarial,Mais de uma unidade local - diversificada,420,33183,0.75,18.98,64.22,90.04
70,Atividades de sedes de empresas e de consultoria em gestão empresarial,Mais de uma unidade local - diversificada - espacial,199,14605,0.35,8.35,30.43,39.63
70,Atividades de sedes de empresas e de consultoria em gestão empresarial,Mais de uma unidade local - diversificada - atividade,103,4591,0.18,2.63,15.75,12.46
70,Atividades de sedes de empresas e de consultoria em gestão empresarial,Mais de uma unidade local - diversificada - mista,118,13987,0.21,8,18.04,37.95
