faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",1785.0,27596,24749,21827,2922,965,23784,24483.98,21709.03,2774.95,939.67,23544.31,522999.525,465007.049,57992.476,68098.038,454901.487,1.722374,1.727139,1.685096,5.843425,1.5579,1643.14513785372,1647.69098389011,1607.58200771462,5574.62791765685,1486.23689022626
B Indústrias extrativas,473.0,7415,6755,5943,812,699,6056,6962.73,6128.54,834.19,714.85,6247.88,379193.212,343576.732,35616.48,113293.545,265899.667,4.391261,4.52038,3.442661,12.779048,3.431574,4189.26320787746,4312.44299370085,3284.29881773844,12191.2122500148,3273.72173256553
C Indústrias de transformação,10993.0,243302,228858,169250,59608,23308,205550,230416.51,169933.11,60483.4,23197.3,207219.21,7763584.388,6003195.826,1760388.562,2585454.919,5178129.469,2.716796,2.848477,2.346825,8.986856,2.014889,2591.82295173607,2717.44743745167,2238.87057885686,8573.46103276608,1922.20427566314
D Eletricidade e gás,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",523.0,17981,17342,14730,2612,1842,15500,17082.36,14502.11,2580.25,1887.64,15194.72,620216.86,518265.025,101951.835,159997.431,460219.429,2.927548,2.881569,3.185969,6.834427,2.442196,2792.88044689195,2749.01654894463,3039.41433820515,6520.04338343524,2329.85501137642
F Construção,7858.0,99213,87684,77919,9765,4112,83572,87770.39,77961.07,9809.32,3995.93,83774.46,2082166.757,1859481.701,222685.056,221117.286,1861049.471,1.912827,1.923191,1.830461,4.461831,1.791243,1824.83721008172,1834.72409913149,1746.2596482027,4256.58657684194,1708.8460088598
G Comércio; reparação de veículos automotores e motocicletas,80737.0,548464,444824,261364,183460,25806,419018,445668.91,263171.21,182497.7,25522.49,420146.42,9267140.453,5636405.736,3630734.717,1045078.343,8222062.11,1.676647,1.72692,1.604152,3.301673,1.577932,1599.52139789845,1647.48139433641,1530.36057946526,3149.79619031022,1505.34738854575
"H Transporte, armazenagem e correio",6143.0,92817,83771,70228,13543,4406,79365,83938.88,70019.46,13919.42,4370.56,79568.32,2249449.352,1935308.272,314141.08,245903.356,2003545.996,2.160834,2.228639,1.819751,4.536654,2.030334,2061.43524357796,2126.12132508481,1736.04205215005,4327.96775910427,1936.9382534309
I Alojamento e alimentação,8971.0,75288,64115,27838,36277,2385,61730,64822.73,27955.06,36867.67,2456.88,62365.85,1109135.327,508779.016,600356.311,70338.381,1038796.946,1.379639,1.467496,1.313021,2.30843,1.34305,1316.17570066739,1399.99153586561,1252.62200438237,2202.24214951796,1281.26943486885
J Informação e comunicação,2523.0,22041,18652,12610,6042,4195,14457,18265.25,12287.32,5977.93,4115.83,14149.42,567277.16,389819.927,177457.233,231852.727,335424.433,2.504252,2.558086,2.393598,4.542167,1.911456,2389.05597324891,2440.4140390882,2283.4921761572,4333.22687133486,1823.52912427071
"K Atividades financeiras, de seguros e serviços relacionados",1405.0,19647,16951,7558,9393,7342,9609,16655.81,7387.98,9267.83,7310.96,9344.85,934410.636,492349.106,442061.53,596240.839,338169.797,4.523559,5.373481,3.846032,6.575906,2.917902,4315.47557463547,5126.30085000855,3669.11489279832,6273.41415123006,2783.67885067094
L Atividades imobiliárias,1707.0,7806,5084,3073,2011,693,4391,4866.31,2976.56,1889.75,579.51,4286.8,133093.341,83055.945,50037.396,29450.437,103642.904,2.205286,2.249906,2.135004,4.09769,1.949461,2103.84239961949,2146.41023401304,2036.79347084983,3909.19609802977,1859.78610546867
"M Atividades profissionais, científicas e técnicas",9392.0,46727,33846,17724,16122,10071,23775,32483.12,16402.92,16080.2,9855.36,22627.76,1014948.531,571382.277,443566.254,529677.237,485271.294,2.519385,2.808755,2.224208,4.333583,1.729224,2403.49338127239,2679.55235081033,2121.89407326545,4134.23790162448,1649.67990985069
N Atividades administrativas e serviços complementares,10224.0,170440,158135,100040,58095,7203,150932,151446.62,95304.48,56142.14,6628.62,144818,2899005.998,1977056.123,921949.875,203928.21,2695077.788,1.543469,1.672684,1.324118,2.480633,1.500573,1472.46905467164,1595.74072730652,1263.20836993115,2366.52355763573,1431.54632711403
"O Administração pública, defesa e seguridade social",1763.0,758581,758569,351467,407102,287789,470780,780739.27,358646.14,422093.13,294209.84,486529.43,34416086.792,17697628.641,16718458.151,20369853.262,14046233.53,3.554379,3.978847,3.193715,5.582632,2.327872,3390.87758669076,3795.81960454863,3046.80448692594,5325.83067032909,2220.78960836489
P Educação,8009.0,251262,243656,87079,156577,156220,87436,246170.15,87392.27,158777.88,158167.73,88002.42,11786342.039,4602038.625,7184303.414,9743952.704,2042389.335,3.860574,4.246054,3.648404,4.967359,1.871338,3682.98794678271,4050.73550731485,3480.57754741307,4738.86059681463,1785.25626821486
Q Saúde humana e serviços sociais,8531.0,163496,149460,44693,104767,41440,108020,149052.06,44237.27,104814.79,41380.61,107671.45,5484688.616,1829883.888,3654804.728,3070938.638,2413749.978,2.967032,3.335366,2.811576,5.983875,1.80759,2830.54876469129,3181.93909969858,2682.24384393433,5708.61688788355,1724.44111443441
"R Artes, cultura, esporte e recreação",1871.0,11438,9317,5371,3946,2561,6756,9366.49,5445.89,3920.6,2488.79,6877.7,226124.436,135441.242,90683.194,91499.103,134625.333,1.94661,2.005351,1.865016,2.9644,1.578308,1857.06570813777,1913.10457554653,1779.22519708522,2828.03793749635,1505.70610031753
S Outras atividades de serviços,9482.0,38719,30463,15090,15373,4886,25577,30680.82,15138.21,15542.61,4883.53,25797.29,661021.139,332631.222,328389.917,195049.642,465971.497,1.737227,1.771727,1.703626,3.220472,1.456443,1657.31489324852,1690.22738335134,1625.25874651386,3072.33059188428,1389.4467716451
U Organismos internacionais e outras instituições extraterritoriais,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
