codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_part_rel,pessoal_ocup_part_acc,pessoal_ocup_assalariado,salario_medio_mensal_sal_min
47.53-9,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,17679.0,191143.0,0.359154408887513,60.5423796584329,167502,2.077835
47.29-6,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo,42492.0,189958.0,0.356927814272321,60.89930747270522,134323,1.524411
10.91-1,Fabricação de produtos de panificação,18028.0,187895.0,0.353051472760809,61.25235894546603,163509,1.684742
68.10-2,Atividades imobiliárias de imóveis próprios,78960.0,186802.0,0.350997744562999,61.603356690029024,51221,2.99183
69.11-7,Atividades jurídicas, exceto cartórios,59675.0,186676.0,0.350760992730497,61.954117682759524,91075,3.059621
70.20-4,Atividades de consultoria em gestão empresarial,56379.0,182354.0,0.342640029079138,62.29675771183866,99880,4.9019
43.21-5,Instalações elétricas,21295.0,181466.0,0.340971492354842,62.6377292041935,152914,2.204004
10.11-2,Abate de reses, exceto suínos,1555.0,174880.0,0.328596511649646,62.96632571584314,172619,2.055958
94.91-0,Atividades de organizações religiosas,52140.0,174430.0,0.327750969390713,63.294076685233854,143996,1.896405
43.99-1,Serviços especializados para construção não especificados anteriormente,23633.0,171830.0,0.322865614116873,63.616942299350725,140494,2.054597
85.11-2,Educação infantil - creche,9478.0,170419.0,0.320214369389416,63.937156668740144,158748,1.818592
41.10-7,Incorporação de empreendimentos imobiliários,58993.0,159528.0,0.299750367740421,64.23690703648056,61816,2.091589
47.55-5,Comércio varejista especializado de tecidos e artigos de cama, mesa e banho,33395.0,159033.0,0.298820271255594,64.53572730773615,116042,1.453021
36.00-6,Captação, tratamento e distribuição de água,2203.0,156304.0,0.29369252720086,64.82941983493701,154692,5.207224
78.30-2,Fornecimento e gestão de recursos humanos para terceiros,961.0,153425.0,0.288282935726481,65.1177027706635,152213,1.82216
74.90-1,Atividades profissionais, científicas e técnicas não especificadas anteriormente,34728.0,150441.0,0.282676051058351,65.40037882172184,101600,3.828864
93.13-1,Atividades de condicionamento físico,30342.0,148495.0,0.279019550534162,65.679398372256,106662,1.481451
47.72-5,Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal,26833.0,148119.0,0.278313053002253,65.95771142525825,111804,1.815299
94.30-8,Atividades de associações de defesa de direitos sociais,45087.0,144934.0,0.272328492791799,66.23003991805005,113118,2.120582
82.19-9,Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo,38933.0,140839.0,0.264634058235502,66.49467397628555,89665,1.820635
10.71-6,Fabricação de açúcar em bruto,224.0,140022.0,0.263098929289838,66.7577729055754,139593,2.226939
47.61-0,Comércio varejista de livros, jornais, revistas e papelaria,31214.0,139977.0,0.263014375063944,67.02078728063934,97620,1.592476
42.11-1,Construção de rodovias e ferrovias,2753.0,137091.0,0.257591630709982,67.27837891134932,132802,2.691659
62.09-1,Suporte técnico, manutenção e outros serviços em tecnologia da informação,31562.0,136575.0,0.256622075586405,67.53500098693573,92611,4.556011
82.91-1,Atividades de cobrança e informações cadastrais,17602.0,136423.0,0.256336470201165,67.79133745713689,112263,2.047175
22.29-3,Fabricação de artefatos de material plástico não especificados anteriormente,7768.0,136093.0,0.255716405877947,68.04705386301484,124628,2.386643
33.14-7,Manutenção e reparação de máquinas e equipamentos da indústria mecânica,18479.0,132852.0,0.249626622630826,68.29668048564567,108387,2.925896
23.30-3,Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes,12143.0,130624.0,0.245440248957705,68.54212073460337,112796,2.308194
43.30-4,Obras de acabamento,24730.0,128085.0,0.240669511634521,68.7827902462379,96138,1.704602
62.01-5,Desenvolvimento de programas de computador sob encomenda,18624.0,126806.0,0.238266292636351,69.02105653887425,98269,5.216074
46.39-7,Comércio atacadista de produtos alimentícios em geral,10282.0,125159.0,0.235171607968653,69.2562281468429,111326,1.915785
86.50-0,Atividades de profissionais da área de saúde, exceto médicos e odontólogos,45545.0,124380.0,0.233707880369299,69.4899360272122,53038,1.73324
96.02-5,Cabeleireiros e outras atividades de tratamento de beleza,33874.0,123049.0,0.231206954265653,69.72114298147785,78049,1.53857
29.49-2,Fabricação de peças e acessórios para veículos automotores não especificados anteriormente,1702.0,120375.0,0.226182554264788,69.94732553574264,117966,3.760268
15.31-9,Fabricação de calçados de couro,4943.0,119756.0,0.225019463913055,70.17234499965569,113262,1.545781
22.22-6,Fabricação de embalagens de material plástico,4225.0,117805.0,0.221353568474878,70.39369856813057,112073,2.542882
73.19-0,Atividades de publicidade não especificadas anteriormente,33750.0,116859.0,0.219576050748319,70.61327461887889,75120,1.893449
66.22-3,Corretores e agentes de seguros, de planos de previdência complementar e de saúde,34504.0,116831.0,0.219523439229985,70.83279805810888,61262,3.173913
64.62-0,Holdings de instituições não-financeiras,47625.0,114377.0,0.2149124154446,71.04771047355348,40127,5.442872
62.04-0,Consultoria em tecnologia da informação,14693.0,114255.0,0.214683179543289,71.26239365309677,92424,6.169794
49.22-1,Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e internacional,2395.0,113656.0,0.213557668847508,71.47595132194428,110209,2.164189
47.63-6,Comércio varejista de artigos recreativos e esportivos,25091.0,112431.0,0.211255914920411,71.6872072368647,79793,1.791243
53.10-5,Atividades de correio,989.0,112349.0,0.211101838331005,71.8983090751957,110643,3.397552
47.22-9,Comércio varejista de carnes e pescados - açougues e peixarias,26249.0,110876.0,0.208334096670095,72.1066431718658,78766,1.51846
47.74-1,Comércio varejista de artigos de óptica,23485.0,109999.0,0.206686228756573,72.31332940062237,76425,1.689733
23.42-7,Fabricação de produtos cerâmicos não-refratários para uso estrutural na construção,5647.0,109238.0,0.205256322847576,72.51858572346994,100591,1.979676
78.10-8,Seleção e agenciamento de mão-de-obra,2422.0,104389.0,0.196145135261865,72.7147308587318,101112,1.721164
62.02-3,Desenvolvimento e licenciamento de programas de computador customizáveis,8049.0,104249.0,0.195882077670197,72.91061293640199,91485,6.387504
47.51-2,Comércio varejista especializado de equipamentos e suprimentos de informática,26677.0,102781.0,0.193123730923275,73.10373666732526,65571,1.875654
10.52-0,Fabricação de laticínios,2667.0,102303.0,0.192225577146007,73.29596224447127,98182,3.198234
68.21-8,Intermediação na compra, venda e aluguel de imóveis,34487.0,101995.0,0.191646850444337,73.48760909491561,51537,2.103681
49.29-9,Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente,16031.0,100208.0,0.188289108184971,73.67589820310059,78338,2.132771
15.33-5,Fabricação de calçados de material sintético,762.0,99275.0,0.186536017234782,73.86243422033537,98214,1.70073
47.59-8,Comércio varejista de artigos de uso doméstico não especificados anteriormente,21191.0,99228.0,0.186447705043293,74.04888192537867,71419,1.615626
21.21-1,Fabricação de medicamentos para uso humano,339.0,98536.0,0.185147448947333,74.234029374326,98074,6.851458
94.20-1,Atividades de organizações sindicais,15253.0,96935.0,0.182139197488326,74.41616857181432,88600,1.955084
63.11-9,Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet,12934.0,95603.0,0.179636392401882,74.5958049642162,76926,5.529465
93.12-3,Clubes sociais, esportivos e similares,10335.0,95544.0,0.179525532416822,74.77533049663302,88960,3.689276
46.49-4,Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,13438.0,94200.0,0.177000179536806,74.95233067616982,76065,2.489351
85.50-3,Atividades de apoio à educação,68083.0,94004.0,0.176631898908471,75.12896257507829,67735,2.25375
