codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
29.4,Fabricação de peças e acessórios para veículos automotores,1878,189612,186985,145158,41827,28143,158842,199702.38,155185.44,44516.94,29915.44,169786.94,10472162.195,8754311.59,1717850.605,3692568.853,6779593.342,4.041841,4.348076,2.97431,9.513916,3.077694,4033.75732465944,4339.37993052798,2968.36112793847,9494.88818894447,3071.53883657863
29.5,Recondicionamento e recuperação de motores para veículos automotores,849,6135,4867,4315,552,168,4699,4885.71,4330.98,554.73,161.66,4724.05,137820.402,124362.863,13457.539,5596.105,132224.297,2.174262,2.213251,1.869864,2.668145,2.157361,2169.91376578131,2208.82434851306,1866.12461502408,2662.80845839797,2153.04659544898
30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",737,45151,44125,37672,6453,12365,31760,48260.24,41317.08,6943.16,13698.77,34561.47,3535261.574,3065161.622,470099.952,1903125.528,1632136.046,5.646225,5.718075,5.218662,10.708089,3.639907,5634.9325656068,5706.63907591653,5208.22431993945,10686.6727001487,3632.62692864003
30.1,Construção de embarcações,199,9340,9054,8165,889,1126,7928,11179.35,10036.69,1142.66,1497.43,9681.92,607282.503,536143.729,71138.774,235311.315,371971.188,4.186975,4.117341,4.79861,12.112182,2.961242,4178.60060668176,4109.10622004788,4789.01281624926,12087.9576238057,2955.31963780865
30.3,Fabricação de veículos ferroviários,62,5653,5589,5053,536,1391,4198,6088.79,5501.64,587.15,1522.03,4566.76,545841.631,485010.756,60830.875,280204.47,265637.161,6.909741,6.794935,7.985481,14.189855,4.483392,6895.9214834525,6781.34514295877,7969.5104776004,14161.4751351813,4474.42558164449
30.4,Fabricação de aeronaves,69,19720,19626,16557,3069,8484,11142,21048.51,17772.65,3275.86,9280.82,11767.69,1923157.635,1657911.635,265246,1226167.276,696990.359,7.042383,7.190106,6.240934,10.183322,4.565219,7028.29809294376,7175.72586140892,6228.45251675544,10162.9553953538,4556.08900302438
30.5,Fabricação de veículos militares de combate,3,1910,1903,1612,291,770,1133,1927.61,1643.69,283.92,770.24,1157.37,200019.758,173808.621,26211.137,117475.847,82543.911,7.997971,8.150373,7.115673,11.755703,5.497167,7981.97520803961,8134.07267981001,7101.44163036175,11732.192064012,5486.17262879167
30.9,Fabricação de equipamentos de transporte não especificados anteriormente,404,8528,7953,6285,1668,594,7359,8015.98,6362.41,1653.57,628.25,7387.73,258960.047,212286.881,46673.166,43966.62,214993.427,2.490017,2.571743,2.175559,5.394071,2.243057,2485.03659133189,2566.59977538748,2171.20747138708,5383.28323487098,2238.5707007534
31,Fabricação de móveis,8424,109252,97084,76909,20175,5664,91420,100779.29,79836.18,20943.11,5906.07,94873.22,2610269.582,2114996.021,495273.561,288816.059,2321453.523,1.996366,2.041907,1.822762,3.769197,1.886003,1992.37331247475,2037.8229721836,1819.11694255386,3761.65875498884,1882.23133907626
31.0,Fabricação de móveis,8424,109252,97084,76909,20175,5664,91420,100779.29,79836.18,20943.11,5906.07,94873.22,2610269.582,2114996.021,495273.561,288816.059,2321453.523,1.996366,2.041907,1.822762,3.769197,1.886003,1992.37331247475,2037.8229721836,1819.11694255386,3761.65875498884,1882.23133907626
32,Fabricação de produtos diversos,7801,107369,95993,52681,43312,10754,85239,98893.82,54105.02,44788.8,10948.27,87945.55,3265976.815,1977824.422,1288152.393,931182.596,2334794.219,2.545482,2.81758,2.216787,6.555645,2.04626,2540.39115658826,2811.94499426941,2212.35321364682,6542.53415941865,2042.16762880774
32.1,"Fabricação de artigos de joalheria, bijuteria e semelhantes",1228,12929,11039,4595,6444,1084,9955,11642.48,4849.28,6793.2,1132.89,10509.59,331492.12,155988.95,175503.17,65198.635,266293.485,2.194592,2.479378,1.9913,4.43585,1.952994,2190.20293323706,2474.41888280322,1987.31729467024,4426.97844926217,1949.08785507039
32.2,Fabricação de instrumentos musicais,119,1221,1051,660,391,60,991,1089.21,694.96,394.25,58.54,1030.67,25420.108,16492.148,8927.96,2636.801,22783.307,1.798837,1.829126,1.745447,3.471768,1.703818,1795.23959849517,1825.46732075338,1741.95600214624,3464.82484034585,1700.41048727825
32.3,Fabricação de artefatos para pesca e esporte,282,2762,2375,1556,819,126,2249,2432.2,1572,860.2,133.36,2298.84,59729.155,40875.109,18854.046,5198.413,54530.742,1.892837,2.00416,1.689395,3.004494,1.828348,1889.0512230143,2000.15213348992,1686.01631105467,2998.4847261317,1824.69091434744
32.4,Fabricação de brinquedos e jogos recreativos,418,10657,10059,5559,4500,653,9406,10702.48,5888.04,4814.44,679.88,10022.6,268348.061,164596.103,103751.958,33637.966,234710.095,1.932592,2.154641,1.661027,3.813498,1.805001,1928.72666320905,2150.33163706559,1657.70470629063,3805.87139812003,1801.39112528762
32.5,Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos,2874,43454,39315,20710,18605,6003,33312,40418.33,21275.86,19142.47,6112.2,34306.13,1590103.669,947537.978,642565.691,600207.773,989895.896,3.032307,3.432698,2.587293,7.568855,2.224047,3026.24247083325,3425.83269344839,2582.1187170163,7553.71694190434,2219.59860100356
32.9,Fabricação de produtos diversos,2880,36346,32154,19601,12553,2828,29326,32609.12,19824.88,12784.24,2831.4,29777.72,990883.702,652334.134,338549.568,224303.008,766580.694,2.342123,2.536213,2.041143,6.106045,1.984232,2337.43882787298,2531.14010118754,2037.06082344656,6093.83256991649,1980.26395883592
33,"Manutenção, reparação e instalação de máquinas e equipamentos",20915,160088,131801,116091,15710,12459,119342,134560.24,118618.37,15941.87,12805.35,121754.89,5501159.53,4935510.186,565649.344,1220010.895,4281148.635,3.15111,3.207054,2.734854,7.34342,2.710192,3144.80798854333,3200.63940932848,2729.38419394964,7328.73306259313,2704.77124794931
33.1,Manutenção e reparação de máquinas e equipamentos,16305,134284,112004,99053,12951,10758,101246,115652.02,102433.14,13218.88,11151.88,104500.14,4880481.184,4394180.089,486301.095,1096728.174,3783753.01,3.252636,3.306462,2.835546,7.580136,2.790821,3246.13119198836,3299.84859392185,2829.87488640956,7564.97610199426,2785.2395589724
33.2,Instalação de máquinas e equipamentos,4610,25804,19797,17038,2759,1701,18096,18908.22,16185.23,2722.99,1653.47,17254.75,620678.346,541330.097,79348.249,123282.721,497395.625,2.530125,2.57792,2.24604,5.746878,2.221874,2525.06519142712,2572.76397631098,2241.54751267484,5735.38451303576,2217.43009450018
D,Eletricidade e gás,2040,58182,55671,45502,10169,19979,35692,56346.27,45979.36,10366.91,20415.52,35930.75,5187750.335,4324193.128,863557.207,2902379.65,2285370.685,7.096431,7.248836,6.420486,10.957712,4.902487,7082.23841750169,7234.33820338919,6407.64484899922,10935.7965448307,4892.68231250391
35,"Eletricidade, gás e outras utilidades",2040,58182,55671,45502,10169,19979,35692,56346.27,45979.36,10366.91,20415.52,35930.75,5187750.335,4324193.128,863557.207,2902379.65,2285370.685,7.096431,7.248836,6.420486,10.957712,4.902487,7082.23841750169,7234.33820338919,6407.64484899922,10935.7965448307,4892.68231250391
35.1,"Geração, transmissão e distribuição de energia elétrica",2000,55153,52714,43322,9392,18415,34299,53468.59,43867.14,9601.45,18869.55,34599.04,4915700.45,4122256.169,793444.281,2707629.59,2208070.86,7.08619,7.243055,6.369505,11.059967,4.91898,7072.01749375014,7228.56854549021,6356.76647397408,11037.846648742,4909.14212115089
35.2,Produção e distribuição de combustíveis gasosos por redes urbanas,24,2396,2374,1662,712,1447,927,2311.76,1613.67,698.09,1432.51,879.25,243226.91,176454.877,66772.033,184952.579,58274.331,8.109517,8.428398,7.372407,9.951507,5.108472,8093.29788026971,8411.54144089131,7357.66195013427,9931.60359197385,5098.25515627392
35.3,"Produção e distribuição de vapor, água quente e ar condicionado",16,633,583,518,65,117,466,565.92,498.55,67.37,113.46,452.46,28822.975,25482.082,3340.893,9797.481,19025.494,3.925635,3.939602,3.822277,6.655762,3.241021,3917.78329636154,3931.72230236918,3814.63216907777,6642.45006711955,3234.53904977576
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",5352,230092,223094,177763,45331,28300,194794,225184.21,179445.91,45738.3,28552.71,196631.5,9717031.27,7727492.906,1989538.364,2797349.77,6919681.5,3.325996,3.319183,3.352729,7.551366,2.712434,3319.34438851709,3312.54432731718,3346.02319315289,7536.26368700069,2707.00875652015
36,"Captação, tratamento e distribuição de água",740,76816,76147,60351,15796,20362,55785,76272.79,60514.22,15758.57,20477.09,55795.7,5185638.135,4052593.121,1133045.014,2129474.308,3056163.827,5.240331,5.161806,5.541872,8.015494,4.221842,5229.84987377342,5151.48228605798,5530.78793121652,7999.46261895611,4213.39861591209
36.0,"Captação, tratamento e distribuição de água",740,76816,76147,60351,15796,20362,55785,76272.79,60514.22,15758.57,20477.09,55795.7,5185638.135,4052593.121,1133045.014,2129474.308,3056163.827,5.240331,5.161806,5.541872,8.015494,4.221842,5229.84987377342,5151.48228605798,5530.78793121652,7999.46261895611,4213.39861591209
37,Esgoto e atividades relacionadas,525,7780,7095,5792,1303,847,6248,7112.36,5814.31,1298.05,852.5,6259.86,226049.44,183154.699,42894.741,57809.291,168240.149,2.449716,2.427985,2.547057,5.226722,2.07153,2444.81697517258,2423.12896973158,2541.96329997956,5216.26808030679,2067.38647878338
37.0,Esgoto e atividades relacionadas,525,7780,7095,5792,1303,847,6248,7112.36,5814.31,1298.05,852.5,6259.86,226049.44,183154.699,42894.741,57809.291,168240.149,2.449716,2.427985,2.547057,5.226722,2.07153,2444.81697517258,2423.12896973158,2541.96329997956,5216.26808030679,2067.38647878338
38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",4020,145052,139478,111315,28163,7036,132442,141348.71,112745.2,28603.51,7159.98,134188.73,4287260.571,3476504.564,810756.007,606479.62,3680780.951,2.337837,2.376681,2.184726,6.528757,2.114219,2333.1608381308,2371.92739025697,2180.35642102342,6515.69954965495,2109.99087800271
38.1,Coleta de resíduos,2303,123764,120630,95760,24870,5390,115240,122309.24,97026.76,25282.48,5487.28,116821.96,3661365.171,2952114.696,709250.475,483722.215,3177642.956,2.307331,2.345135,2.162251,6.794618,2.096557,2302.71625179183,2340.44449022263,2157.92631285198,6781.02833349969,2092.36408581453
38.2,Tratamento e disposição de resíduos,222,7647,7407,6156,1251,1012,6395,7606.32,6301.05,1305.27,1051.39,6554.93,288964.619,241307.155,47657.464,77103.88,211860.739,2.928169,2.951776,2.814211,5.652473,2.4912,2922.3129733412,2945.87233019161,2808.58272175931,5641.16806542548,2486.21723238493
