faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",75387.0,262101.0,175187.0,143873.0,31314.0,10341.0,164846.0,193465.58,160694.34,32771.24,10631.74,182833.84,5177449.531,4434621.032,742828.499,891765.127,4285684.404,2.06271,2.127071,1.747116,6.465055,1.806715,2058.58503894316,2122.81711209761,1743.62196148912,6452.12518943639,1803.1018277411
B Indústrias extrativas,5306.0,144507.0,135577.0,117323.0,18254.0,29030.0,106547.0,134997.31,117022.34,17974.97,28738.21,106259.1,9348775.356,7959662.601,1389112.755,4574957.563,4773817.793,5.337719,5.242664,5.956559,12.270251,3.462787,5327.04367106392,5232.17821946187,5944.64565491304,12245.7109381016,3455.86169380027
C Indústrias de transformação,178805.0,4116203.0,3856346.0,2780272.0,1076074.0,546291.0,3310055.0,4042899.12,2921744.55,1121154.57,577242.79,3465656.33,189112128.612,148190059.848,40922068.764,72802090.925,116310037.687,3.605393,3.909335,2.813314,9.721011,2.58677,3598.18199379353,3901.51677460067,2807.68729630618,9701.56914456154,2581.59642041687
D Eletricidade e gás,2040.0,58182.0,55671.0,45502.0,10169.0,19979.0,35692.0,56346.27,45979.36,10366.91,20415.52,35930.75,5187750.335,4324193.128,863557.207,2902379.65,2285370.685,7.096431,7.248836,6.420486,10.957712,4.902487,7082.23841750169,7234.33820338919,6407.64484899922,10935.7965448307,4892.68231250391
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",5352.0,230092.0,223094.0,177763.0,45331.0,28300.0,194794.0,225184.21,179445.91,45738.3,28552.71,196631.5,9717031.27,7727492.906,1989538.364,2797349.77,6919681.5,3.325996,3.319183,3.352729,7.551366,2.712434,3319.34438851709,3312.54432731718,3346.02319315289,7536.26368700069,2707.00875652015
F Construção,133880.0,1212084.0,1016750.0,912065.0,104685.0,75452.0,941298.0,1023604.32,920056.53,103547.79,71683.1,951921.22,33180627.853,29322108.582,3858519.271,6193599.031,26987028.822,2.498496,2.456444,2.872142,6.659665,2.185145,2493.49864866954,2451.53068366354,2866.39796650713,6646.34613587174,2180.77425986995
G Comércio; reparação de veículos automotores e motocicletas,839964.0,5822630.0,4670963.0,2563156.0,2107807.0,414066.0,4256897.0,4782873.33,2631217.34,2151655.99,433166.04,4349707.29,132892064.849,78750329.584,54141735.265,32782872.225,100109192.624,2.14159,2.306863,1.939481,5.833359,1.773945,2137.30655644316,2302.24906480272,1935.6016416632,5821.69230515642,1770.39662936102
"H Transporte, armazenagem e correio",108846.0,1467763.0,1321430.0,1082623.0,238807.0,128020.0,1193410.0,1366583.84,1124161.47,242422.37,131822.18,1234761.66,53482992.85,44531675.228,8951317.622,12986128.859,40496863.991,3.016515,3.053279,2.846036,7.593069,2.527926,3010.48223508696,3047.17211049488,2840.34387585601,7577.88248649693,2522.87019012485
I Alojamento e alimentação,154586.0,1302867.0,1091629.0,483030.0,608599.0,47061.0,1044568.0,1111190.21,491753.92,619436.29,50356.7,1060833.51,23070575.216,11059713.941,12010861.275,2273418.857,20797156.359,1.600281,1.733493,1.494526,3.479752,1.511064,1597.07997427371,1730.02632339112,1491.53741988418,3472.79257011251,1508.04178346951
J Informação e comunicação,103728.0,782532.0,632540.0,395518.0,237022.0,322075.0,310465.0,639736.01,400074.73,239661.28,326746.29,312989.72,45615955.95,31765085.113,13850870.837,34392002.697,11223953.253,5.495941,6.119769,4.454565,8.11284,2.764024,5484.94946917485,6107.52917490036,4445.65598100016,8096.61425382978,2758.49641151645
