codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
15.2,Fabricação de artigos para viagem e de artefatos diversos de couro,375,2625,2164,1251,913,51,2113,2222.41,1296.79,925.62,48.83,2173.58,33527.993,19588.018,13939.975,1116.02,32411.973,1.162812,1.164252,1.160795,1.761616,1.14936,1160.48631198356,1161.92337647932,1158.47299024521,1758.0932276816,1147.06092819574
15.3,Fabricação de calçados,536,86876,86188,46265,39923,2963,83225,88018.55,47275,40743.55,3115.01,84903.54,1718877.772,1022783.881,696093.891,237006.536,1481871.236,1.505209,1.667548,1.316846,5.864446,1.345274,1502.19887826967,1664.21328723101,1314.21252991153,5852.7170057239,1342.58353746997
15.4,"Fabricação de partes para calçados, de qualquer material",81,1899,1801,1262,539,32,1769,1606.93,1127.8,479.13,28.55,1578.38,24329.254,17863.247,6466.007,754.151,23575.103,1.166965,1.220828,1.040181,2.036002,1.151246,1164.63136348383,1218.38617048849,1038.10062790089,2031.93048632628,1148.94351267658
16,Fabricação de produtos de madeira,1054,6720,5368,4659,709,119,5249,5511.54,4781.06,730.48,124.72,5386.82,90408.887,77615.353,12793.534,3694.236,86714.651,1.264341,1.251266,1.349921,2.283046,1.240755,1261.81244610958,1248.7631967034,1347.22100536633,2278.47979474022,1238.27374392142
16.1,Desdobramento de madeira,212,1079,796,705,91,17,779,795.62,708.32,87.3,17.67,777.95,12897.642,11215.048,1682.594,523.827,12373.815,1.249484,1.220387,1.485563,2.284954,1.225965,1246.98512819224,1217.94669076124,1482.59229888096,2280.38396238736,1223.51298036753
16.2,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",842,5641,4572,3954,618,102,4470,4715.92,4072.74,643.18,107.05,4608.87,77511.245,66400.305,11110.94,3170.409,74340.836,1.266848,1.256636,1.33151,2.282731,1.243252,1264.31395391323,1254.12272063298,1328.84681163546,2278.16548701182,1240.7652735169
17,"Fabricação de celulose, papel e produtos de papel",552,26931,26234,21794,4440,4913,21321,25599.14,21264.09,4335.05,4796.52,20802.62,1672051.411,1440122.125,231929.286,683528.054,988523.357,5.034431,5.220098,4.123705,10.98389,3.662647,5024.36172885856,5209.65745536254,4115.45756281757,10961.9226182572,3655.32121582614
17.1,Fabricação de celulose e outras pastas para a fabricação de papel,5,15844,15843,13454,2389,4350,11493,15202.29,12963.95,2238.34,4207.85,10994.44,1422133.824,1234625.741,187508.083,650069.367,772064.457,7.21037,7.340474,6.45684,11.907636,5.412608,7195.94939568062,7325.79274419863,6443.92661182291,11883.8209354128,5401.78250237253
17.2,"Fabricação de papel, cartolina e papel-cartão",29,876,832,757,75,55,777,804.24,728.51,75.73,51.98,752.26,28848.971,26793.047,2055.924,4010.341,24838.63,2.764845,2.834736,2.092499,5.946633,2.544988,2759.31514894138,2829.06702088457,2088.31374620362,5934.73969278125,2539.89823485742
17.3,"Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado",223,4684,4403,3669,734,259,4144,4656.4,3869.84,786.56,296,4360.4,109107.006,91480.678,17626.328,18588.634,90518.372,1.806045,1.822059,1.727254,4.840407,1.600061,1802.43248333146,1818.41503286162,1723.79905489141,4830.72609147609,1596.86076789003
