faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",101332.0,574926.0,444797.0,369946.0,74851.0,23889.0,420908.0,466944.77,389569.62,77375.15,24187.62,442757.15,11843270.66,10001493.673,1841776.987,1768956.761,10074313.899,1.954935,1.978818,1.834686,5.637028,1.753784,1951.02478607909,1974.86053238403,1831.01619636477,5625.75387739678,1750.27602151654
B Indústrias extrativas,10745.0,208518.0,191333.0,167298.0,24035.0,33562.0,157771.0,192535.89,168772.61,23763.28,33398.12,159137.77,11563500.857,9958976.547,1604524.31,5059417.978,6504082.879,4.629177,4.548193,5.204344,11.676284,3.150206,4619.91821848424,4539.09623723897,5193.9356403273,11652.9313119329,3143.90523139406
C Indústrias de transformação,390555.0,7746720.0,7191635.0,5070508.0,2121127.0,833876.0,6357759.0,7458088.27,5255616.92,2202471.35,872878.85,6585209.42,296211099.206,227882199.557,68328899.649,99211697.421,196999401.785,3.061258,3.342049,2.391224,8.760623,2.305799,3055.13535705207,3335.36485492612,2386.44157789804,8743.10224423998,2301.18727755019
D Eletricidade e gás,4970.0,138346.0,131888.0,106761.0,25127.0,47274.0,84614.0,134823.39,109197.7,25625.69,48610.8,86212.59,12593420.452,10620581.106,1972839.346,7380753.728,5212666.724,7.199537,7.496541,5.933928,11.702915,4.660316,7185.13790636659,7481.54748117053,5922.05996284318,11679.5092195403,4650.99544491837
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",12525.0,421861.0,406197.0,325522.0,80675.0,55420.0,350777.0,405437.32,324594.53,80842.79,55635.43,349801.89,17627314.32,13929801.588,3697512.732,5450653.693,12176660.627,3.351109,3.307728,3.525287,7.551326,2.683071,3344.40661600815,3301.11292718618,3518.23652186784,7536.22382909043,2677.70480621738
F Construção,271425.0,2291212.0,1885276.0,1699757.0,185519.0,118551.0,1766725.0,1921696.04,1735424.56,186271.48,115914.69,1805781.35,55543927.983,49360361.998,6183565.985,8837806.545,46706121.438,2.227809,2.192294,2.558696,5.876681,1.993585,2223.35361884086,2187.90894772348,2553.57890495677,5864.92766958448,1989.59778389219
G Comércio; reparação de veículos automotores e motocicletas,1793803.0,11350122.0,8940597.0,4999336.0,3941261.0,716377.0,8224220.0,9116321.24,5110332.42,4005988.82,744773.37,8371547.87,230245421.376,137768711.567,92476709.809,46640964.462,183604456.914,1.946693,2.077914,1.779298,4.826913,1.690455,1942.79970981939,2073.75808978421,1775.73961932095,4817.25937257521,1687.0738819075
"H Transporte, armazenagem e correio",225363.0,2641478.0,2336904.0,1933558.0,403346.0,213942.0,2122962.0,2432879.5,2015391.29,417488.21,228660.94,2204218.56,86889053.033,72692748.125,14196304.908,19310624.691,67578428.342,2.752774,2.780083,2.620941,6.509242,2.363086,2747.26853928884,2774.52318242838,2615.69890671054,6496.22392236497,2358.35989045129
I Alojamento e alimentação,290608.0,2308530.0,1919705.0,849332.0,1070373.0,77865.0,1841840.0,1934270.24,855209.02,1079061.22,81435.09,1852835.15,38590122.611,18311983.668,20278138.943,3367816.802,35222305.809,1.537748,1.6504,1.448465,3.187594,1.465234,1534.67230622176,1647.09924166573,1445.56843750648,3181.21869728488,1462.30393953496
J Informação e comunicação,158440.0,1185362.0,955922.0,607795.0,348127.0,440800.0,515122.0,956521.45,607631.27,348890.18,445285.82,511235.63,60037482.469,41792644.209,18244838.26,43173995.44,16863487.029,4.837866,5.301342,4.030671,7.47325,2.54245,4828.19060903524,5290.73953897681,4022.60991387914,7458.30301155265,2537.36483492568
"K Atividades financeiras, de seguros e serviços relacionados",133458.0,1309095.0,1108928.0,485083.0,623845.0,677865.0,431063.0,1119886.3,488716.85,631169.45,687909.82,431976.48,86498243.335,48233193.455,38265049.88,69913100.241,16585143.094,5.953323,7.607024,4.672856,7.833451,2.959274,5941.41657574455,7591.81037114766,4663.51052856664,7817.78458660356,2953.35578918556
