faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
  0          a                4,308285.0,526866.0,195453.0,103060.0,92393.0,17205.0,178248.0,232491.86,127082.02,105409.84,20959.47,211532.39,4509253.338,2595628.319,1913625.019,755783.931,3753469.407,1.494937,1.574289,1.399271,2.779351,1.367672,1491.94746596554,1571.14056611749,1396.47232685736,2773.79272765669,1364.93714235951
  5          a                9,66021.0,427392.0,319386.0,176086.0,143300.0,27275.0,292111.0,315526.18,175723.08,139803.1,27007.99,288518.19,6315523.569,3684207.256,2631316.313,817172.914,5498350.655,1.542766,1.616,1.450716,2.332103,1.468877,1539.68049595026,1612.76798786959,1447.81444155277,2327.43921051055,1465.93894265251
 10          a              19,31510.0,416331.0,354017.0,203639.0,150378.0,35030.0,318987.0,351451.01,202978.31,148472.7,35164.94,316286.07,7820855.075,4721353.029,3099502.046,1229492.762,6591362.313,1.715203,1.792846,1.609057,2.694897,1.60628,1711.77267790029,1789.26015410597,1605.83888019611,2689.50739878107,1603.06734416337
 20          a              29,7962.0,188463.0,175393.0,103269.0,72124.0,20657.0,154736.0,173368.09,102524.1,70843.99,20676.91,152691.18,4158181.421,2562438.091,1595743.33,793599.849,3364581.572,1.848674,1.926431,1.736146,2.958299,1.698413,1844.97683113249,1922.578421899,1732.67325743619,2952.38225783104,1695.01582918491
 30          a              49,5657.0,212189.0,203782.0,121878.0,81904.0,29488.0,174294.0,202546.73,120784.62,81762.11,29466.9,173079.83,5141914.803,3186176.333,1955738.47,1222476.894,3919437.909,1.956707,2.03322,1.843677,3.19766,1.745434,1952.79335254179,2029.15310868094,1839.98946173516,3191.2649160192,1741.9431470971
 50          a              99,3659.0,250583.0,245064.0,149488.0,95576.0,41308.0,203756.0,242155.27,147992.88,94162.39,41484.29,200670.98,6970633.465,4374040.778,2596592.687,2193073.559,4777559.906,2.21873,2.278075,2.125458,4.0747,1.835049,2214.29240103166,2273.51934248978,2121.20676843483,4066.55064066236,1831.37894753813
100          a             249 ,1996.0,306612.0,303332.0,181605.0,121727.0,57635.0,245697.0,302140.42,181552.76,120587.66,58033.61,244106.81,9533405.187,5882710.953,3650694.234,3467358.122,6066047.065,2.43201,2.497473,2.333451,4.605165,1.915367,2427.14583020194,2492.47781831489,2328.7841673403,4595.95492230212,1911.53620417226
250          a            499,782.0,272432.0,271404.0,149813.0,121591.0,66753.0,204651.0,275180.81,151552.9,123627.91,68079.92,207100.89,10745110.744,6232890.182,4512220.562,5214823.987,5530286.757,3.00967,3.169942,2.813195,5.904005,2.05822,3003.65051003263,3163.60222023516,2807.56901402455,5892.1970926568,2054.10355124686
500          e           mais,809.0,2294850.0,2294068.0,1259753.0,1034315.0,1043599.0,1250469.0,2386661.26,1303120.22,1083541.04,1095314.45,1291346.81,184426954.892,108134154.38,76292800.512,124044449.092,60382505.8,5.956069,6.395942,5.427056,8.729003,3.604079,5944.15683348636,6383.15003306803,5416.20182883109,8711.54461568969,3596.87119098667
