faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
  0          a                4,3841822.0,6512751.0,2071295.0,1093887.0,977408.0,174811.0,1896484.0,2449029.17,1332554.32,1116474.85,210522.21,2238506.96,49871838.623,28867462.898,21004375.725,7401691.525,42470147.098,1.569595,1.669744,1.450063,2.709937,1.46235,1566.45552682098,1666.4041651052,1447.16310413565,2704.51695589962,1459.42561293347
  5          a                9,762949.0,4936499.0,3614630.0,2019915.0,1594715.0,297662.0,3316968.0,3584479.18,2017632.42,1566846.76,298263.71,3286215.47,76613463.835,45550751.937,31062711.898,10301724.148,66311739.687,1.647423,1.740122,1.528055,2.662169,1.555323,1644.12821946509,1736.64140227973,1524.99876680297,2656.8445724655,1552.21198957053
 10          a              19,377056.0,4972716.0,4140168.0,2366988.0,1773180.0,400595.0,3739573.0,4116253.7,2360402.18,1755851.52,403919.49,3712334.21,95410133.001,57506654.497,37903478.504,15793072.089,79617060.912,1.786564,1.877838,1.663862,3.013685,1.653047,1782.99044105977,1874.08266478619,1660.53459498408,3007.65803391623,1649.74082463418
 20          a              29,99036.0,2350067.0,2180551.0,1272976.0,907575.0,261330.0,1919221.0,2166450.76,1265844.24,900606.52,262776.0,1903674.76,54067543.838,33212610.824,20854933.014,11217333.667,42850210.171,1.923596,2.022315,1.784842,3.290259,1.734947,1919.74907091464,2018.2706027329,1781.272487858,3283.67819183815,1731.47749942004
 30          a              49,68895.0,2594438.0,2488170.0,1479593.0,1008577.0,363718.0,2124452.0,2462606.08,1462531.07,1000075.01,363898.02,2098708.06,66892388.976,41841685.2,25050703.776,17625023.663,49267365.313,2.093668,2.20511,1.930694,3.733156,1.809395,2089.48090584152,2200.69934598433,1926.832681819,3725.68955170462,1805.77632687475
 50          a              99,44987.0,3078140.0,3007548.0,1848408.0,1159140.0,499663.0,2507885.0,2988352.69,1834757.91,1153594.78,501280.74,2487071.95,90865227.846,58706516.358,32158711.488,29436715.829,61428512.017,2.343646,2.46623,2.148679,4.526207,1.903741,2338.95849530089,2461.29794512907,2144.38126838478,4517.15491019448,1899.9330337644
100          a             249 ,24442.0,3767365.0,3729270.0,2283178.0,1446092.0,727722.0,3001548.0,3748548.85,2297406.29,1451142.56,735786.55,3012762.3,131456577.837,85544328.924,45912248.913,51655711.219,79800866.618,2.702995,2.869984,2.438623,5.411188,2.041591,2697.58908143881,2864.24435364188,2433.74534811118,5400.36542882631,2037.50830305617
250          a            499,9895.0,3447492.0,3434035.0,1972297.0,1461738.0,790179.0,2643856.0,3493844.64,2000835.03,1493009.61,807681.72,2686162.92,133421090.5,83215867.666,50205222.834,60452298.465,72968792.035,2.943385,3.205686,2.591865,5.768975,2.093779,2937.49776111748,3199.27454973252,2586.68141995416,5757.43723034861,2089.59179687147
500          e           mais,10167.0,21560817.0,21549179.0,11184810.0,10364369.0,7137894.0,14411285.0,22053778.69,11417940.52,10635838.17,7330546.52,14723232.17,1122030250.798,642691525.921,479338724.877,647882937.812,474147312.986,3.921459,4.338513,3.473737,6.812183,2.482197,3913.61591613731,4329.83598045848,3466.78926630595,6798.55846033995,2477.23256745277
