faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
  0          a                4,535793.0,948847,355151,195672,159479,27400,327751,412729.83,232818.91,179910.92,31418.41,381311.42,6620071.785,3813382.73,2806689.055,767505.178,5852566.607,1.236297,1.262462,1.202439,1.882882,1.183022,1233.8247786787,1259.93688861838,1200.0336504139,1879.11672952749,1180.65551592368
  5          a                9,125381.0,811279,609991,357603,252388,42269,567722,602765.57,355897.89,246867.68,42128.14,560637.43,10086245.935,6084054.232,4002191.703,1062023.917,9024222.018,1.289755,1.317631,1.249568,1.943069,1.240663,1287.17549664138,1314.99563454087,1247.0684709751,1939.18239593627,1238.18155427392
 10          a              19,61743.0,812610,673686,399048,274638,56639,617047,663588.37,394518.99,269069.38,56317.16,607271.21,11878611.305,7173361.341,4705249.964,1519900.768,10358710.537,1.379727,1.401461,1.347859,2.080178,1.314768,1376.96706642681,1398.65770778428,1345.16348505756,2076.01810340414,1312.13842240527
 20          a              29,16043.0,380206,353294,212047,141247,38850,314444,351059.86,211115.97,139943.89,38844.05,312215.81,6623096.442,4049589.868,2573506.574,1085995.949,5537100.493,1.454139,1.478482,1.417416,2.154913,1.366953,1451.23101535141,1475.52510083949,1414.5815451739,2150.60350100149,1364.21921475996
 30          a              49,11253.0,424638,407386,253127,154259,54970,352416,404135.62,250173.23,153962.39,55444.99,348690.63,8111767.842,5090685.778,3021082.064,1716572.176,6395195.666,1.547086,1.568417,1.512425,2.386305,1.413643,1543.99194431886,1565.28024078479,1509.40062699728,2381.53192089063,1410.81545022832
 50          a              99,7280.0,498109,486877,314695,172182,70805,416072,480510.89,309269.52,171241.37,70929.07,409581.82,10628655.975,6891459.897,3737196.078,2688561.824,7940094.151,1.704909,1.717514,1.682144,2.921607,1.494208,1701.49925458265,1714.07870962916,1678.78020004521,2915.76426985438,1491.21968634703
100          a             249 ,3956.0,611510,605528,382808,222720,106937,498591,609891.17,383277.64,226613.53,108423.1,501468.07,15697917.499,9866612.373,5831305.126,5251790.917,10446126.582,1.983882,1.984178,1.98338,3.733462,1.605603,1979.91408091331,1980.2099139894,1979.41373036831,3725.99489123912,1602.39155130133
250          a            499,1897.0,665991,663812,367166,296646,158770,505042,676648.21,373243.9,303404.31,161676.53,514971.68,19933009.366,11192701.572,8740307.794,8629683.374,11303325.992,2.270576,2.311364,2.220399,4.114092,1.6918,2266.03483185041,2306.74109878286,2215.95852995375,4105.86371441792,1688.41637033173
500          e           mais,2262.0,3864474,3862504,1939748,1922756,1250879,2611625,3896404.37,1934056.86,1962347.51,1261609.33,2634795.04,154428949.801,80953314.144,73475635.657,85794068.784,68634881.017,3.054856,3.226202,2.885981,5.241535,2.007817,3048.74670507884,3219.74919138464,2880.20951682273,5231.05179684696,2003.80149192816
