codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,quatro_maiores_empresas_percent,oito_maiores_empresas_percent,doze_maiores_empresas_percent
23.3,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",12141,130607,11.24,13.53,14.94
23.4,Fabricação de produtos cerâmicos,6593,136708,8.62,12.62,15.51
23.9,Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,8841,86245,5.56,8.11,10.14
24,Metalurgia,3543,218280,19.75,28.52,35.08
24.1,Produção de ferro-gusa e de ferroligas,174,24472,32.94,48.19,57.45
24.2,Siderurgia,508,85563,50.39,70.02,79.97
24.3,"Produção de tubos de aço, exceto tubos sem costura",256,17872,34.91,48.57,56.72
24.4,Metalurgia dos metais não-ferrosos,1097,59937,26.79,39.39,48.41
24.5,Fundição,1508,30436,17.04,23.65,28.03
25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",44448,466648,2.69,4.28,5.38
25.1,Fabricação de estruturas metálicas e obras de caldeiraria pesada,14780,135611,7.71,9.83,11.59
25.2,"Fabricação de tanques, reservatórios metálicos e caldeiras",673,12558,15.04,23.22,29.24
25.3,"Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais",11240,95281,3.1,4.7,6.01
25.4,"Fabricação de artigos de cutelaria, de serralheria e ferramentas",7912,73822,9.23,13.12,16.52
25.5,"Fabricação de equipamento bélico pesado, armas de fogo e munições",22,6972,91.61,98.61,99.77
25.9,Fabricação de produtos de metal não especificados anteriormente,9821,142404,3.57,6.31,8.47
26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",3979,126771,16.8,24.77,29.14
26.1,Fabricação de componentes eletrônicos,1039,19423,16.54,25.89,31.85
26.2,Fabricação de equipamentos de informática e periféricos,546,29680,47.36,63.71,73.31
26.3,Fabricação de equipamentos de comunicação,331,27894,57.06,69.21,76.81
26.4,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",389,16130,33.99,47.65,57.67
26.5,"Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios",1271,26208,11.69,19.57,25.64
26.6,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,287,6212,37.94,46.07,52.22
26.7,"Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos",106,1178,30.14,48.05,59.08
26.8,"Fabricação de mídias virgens, magnéticas e ópticas",10,46,69.57,93.48,100
27,"Fabricação de máquinas, aparelhos e materiais elétricos",5246,213694,18.56,24.51,29.35
27.1,"Fabricação de geradores, transformadores e motores elétricos",756,59197,40.32,50.74,58.27
27.2,"Fabricação de pilhas, baterias e acumuladores elétricos",171,11829,45.99,59.09,67.37
27.3,Fabricação de equipamentos para distribuição e controle de energia elétrica,1791,58506,15.61,25.92,32.37
27.4,Fabricação de lâmpadas e outros equipamentos de iluminação,758,10800,12.82,20.99,27.16
27.5,Fabricação de eletrodomésticos,488,56131,50.35,65.38,71.14
27.9,Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente,1282,17231,17.71,23.5,26.94
28,Fabricação de máquinas e equipamentos,16575,366951,6.1,9.9,12.31
28.1,"Fabricação de motores, bombas, compressores e equipamentos de transmissão",1475,64384,16.24,22.06,26.63
28.2,Fabricação de máquinas e equipamentos de uso geral,5933,108840,11.14,14,16.22
28.3,Fabricação de tratores e de máquinas e equipamentos para a agricultura e pecuária,2343,71483,23.63,33,37.91
28.4,Fabricação de máquinas-ferramenta,1444,23170,22.05,28.53,33.25
28.5,Fabricação de máquinas e equipamentos de uso na extração mineral e na construção,447,31125,29.15,42.32,51.49
28.6,Fabricação de máquinas e equipamentos de uso industrial específico,4933,67949,6.34,9.58,12.23
29,"Fabricação de veículos automotores, reboques e carrocerias",6796,444802,13.82,20.87,26.92
29.1,"Fabricação de automóveis, camionetas e utilitários",45,88044,66.76,88.61,97
29.2,Fabricação de caminhões e ônibus,20,23640,80.6,96.22,99.89
29.3,"Fabricação de cabines, carrocerias e reboques para veículos automotores",1944,55422,34.53,44.77,52.49
29.4,Fabricação de peças e acessórios para veículos automotores,2951,265382,11.58,18.81,23.74
29.5,Recondicionamento e recuperação de motores para veículos automotores,1836,12314,3.13,4.68,6.07
30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",1568,75482,34.34,43.2,48.7
30.1,Construção de embarcações,575,17280,36.85,49.77,60.07
30.3,Fabricação de veículos ferroviários,69,5748,58.82,73.97,82.03
30.4,Fabricação de aeronaves,90,19794,80.7,87.17,91.48
30.5,Fabricação de veículos militares de combate,3,1910,100,100,100
30.9,Fabricação de equipamentos de transporte não especificados anteriormente,831,30750,39.34,47.43,52.83
31,Fabricação de móveis,23193,268563,2.58,4.3,5.76
31.0,Fabricação de móveis,23193,268563,2.58,4.3,5.76
32,Fabricação de produtos diversos,16153,179942,4.07,7.16,8.98
32.1,"Fabricação de artigos de joalheria, bijuteria e semelhantes",2138,21568,9.31,11.78,13.74
32.2,Fabricação de instrumentos musicais,179,1498,22.7,31.64,39.25
32.3,Fabricação de artefatos para pesca e esporte,575,5133,11.96,17.92,22.09
32.4,Fabricação de brinquedos e jogos recreativos,772,14913,14.11,23.34,30.83
32.5,Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos,5561,68405,9.29,14.35,17.96
32.9,Fabricação de produtos diversos,6928,68425,8.87,13.09,16.31
33,"Manutenção, reparação e instalação de máquinas e equipamentos",37661,258629,8.17,12.3,14.56
33.1,Manutenção e reparação de máquinas e equipamentos,29131,206249,9.42,13.91,16.44
33.2,Instalação de máquinas e equipamentos,8530,52380,10.33,11.66,12.78
D,Eletricidade e gás,4963,137407,15.39,27.16,37.06
35,"Eletricidade, gás e outras utilidades",4963,137407,15.39,27.16,37.06
35.1,"Geração, transmissão e distribuição de energia elétrica",4868,132362,15.98,28.2,38.48
35.2,Produção e distribuição de combustíveis gasosos por redes urbanas,65,4152,56.21,70.45,81.14
35.3,"Produção e distribuição de vapor, água quente e ar condicionado",30,893,61.7,80.63,89.92
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",11312,369483,14.8,21.47,26.94
36,"Captação, tratamento e distribuição de água",1131,108856,38.33,56.62,66.52
36.0,"Captação, tratamento e distribuição de água",1131,108856,38.33,56.62,66.52
37,Esgoto e atividades relacionadas,1353,15118,19,28.23,35.01
37.0,Esgoto e atividades relacionadas,1353,15118,19,28.23,35.01
38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",8699,243763,14.98,22.29,27.86
38.1,Coleta de resíduos,4755,197949,18.45,27.45,34.3
38.2,Tratamento e disposição de resíduos,462,15527,33.25,42.4,47.87
38.3,Recuperação de materiais,3482,30287,14.79,17.14,18.99
39,Descontaminação e outros serviços de gestão de resíduos,129,1746,56.47,66.67,71.99
39.0,Descontaminação e outros serviços de gestão de resíduos,129,1746,56.47,66.67,71.99
F,Construção,271238,2284419,2.95,4.55,5.52
41,Construção de edifícios,147147,924814,2.71,3.63,4.29
41.1,Incorporação de empreendimentos imobiliários,58966,159323,0.77,1.33,1.78
41.2,Construção de edifícios,88181,765491,3.27,4.38,5.18
42,Obras de infraestrutura,21953,628677,10.16,13.38,15.45
42.1,"Construção de rodovias, ferrovias, obras urbanas e obras-de-arte especiais",6673,204580,6.51,11.2,14.46
42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",5227,268072,23.82,31.14,35.51
42.9,Construção de outras obras de infraestrutura,10053,156025,7.09,13.19,18.29
43,Serviços especializados para construção,102138,730928,4.46,6.41,7.84
43.1,Demolição e preparação do terreno,12043,92863,8.46,11.77,14.11
43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",39858,316434,10.3,14.82,17.95
43.3,Obras de acabamento,24729,128084,1.53,2.82,3.84
43.9,Outros serviços especializados para construção,25508,193547,4.5,7.03,8.93
G,Comércio; reparação de veículos automotores e motocicletas,1793537,11349278,1.71,2.99,3.86
45,Comércio e reparação de veículos automotores e motocicletas,235194,1244130,0.76,1.22,1.61
45.1,Comércio de veículos automotores,32565,274204,2.08,3.37,4.41
45.2,Manutenção e reparação de veículos automotores,73223,296556,0.51,0.85,1.12
45.3,Comércio de peças e acessórios para veículos automotores,109537,570952,1.57,2.48,3.27
45.4,"Comércio, manutenção e reparação de motocicletas, peças e acessórios",19869,102418,2.47,4.3,5.72
46,"Comércio por atacado, exceto veículos automotores e motocicletas",290779,1926039,1.62,2.79,3.68
46.1,"Representantes comerciais e agentes do comércio, exceto de veículos automotores e motocicletas",119120,204375,0.42,0.71,0.97
46.2,Comércio atacadista de matérias-primas agrícolas e animais vivos,9401,119396,23.48,30.07,34.5
46.3,"Comércio atacadista especializado em produtos alimentícios, bebidas e fumo",42466,432247,4.52,6.39,7.56
46.4,Comércio atacadista de produtos de consumo não-alimentar,43933,415081,4.16,6.9,8.96
46.5,Comércio atacadista de equipamentos e produtos de tecnologias de informação e comunicação,4112,39202,10.87,15.87,20.29
46.6,"Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação",18824,167219,5.51,7.2,8.68
46.7,"Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção",15623,133668,3.56,5.25,6.56
46.8,Comércio atacadista especializado em outros produtos,28965,247409,4.99,7.68,9.16
46.9,Comércio atacadista não-especializado,8335,167442,10.83,17.23,21.42
47,Comércio varejista,1267564,8179109,2.38,4.15,5.36
47.1,Comércio varejista não-especializado,172984,2158828,8.72,13.84,17.25
47.2,"Comércio varejista de produtos alimentícios, bebidas e fumo",165996,848180,1.75,2.18,2.46
47.3,Comércio varejista de combustíveis para veículos automotores,42594,433174,2,2.92,3.42
47.4,Comércio varejista de material de construção,170365,924444,2.47,3.55,4.17
47.5,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,175794,958390,6.96,8.75,10.24
47.6,"Comércio varejista de artigos culturais, recreativos e esportivos",57654,255872,6.63,8.48,9.37
47.7,"Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",130130,878731,10.18,13.68,16.15
47.8,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,352047,1721490,4.81,6.45,7.27
47.9,Comércio ambulante e outros tipos de comércio varejista,,,,,
H,"Transporte, armazenagem e correio",224929,2638693,5.69,7.24,8.35
49,Transporte terrestre,181427,1872017,2.19,3.69,4.95
49.1,Transporte ferroviário e metroferroviário,59,58196,47.26,70.39,80.96
49.2,Transporte rodoviário de passageiros,41453,712144,3.94,6.25,8.2
49.3,Transporte rodoviário de carga,139870,1093509,3.21,4.88,6.22
49.4,Transporte dutoviário,12,7563,96.92,99.87,100
49.5,"Trens turísticos, teleféricos e similares",33,605,85.62,92.23,95.54
50,Transporte aquaviário,1693,41527,15.76,24.42,31.76
50.1,Transporte marítimo de cabotagem e longo curso,146,4722,61.8,75.88,83.95
50.2,Transporte por navegação interior,668,13302,32.37,43.91,50.16
50.3,Navegação de apoio,366,17974,26.09,42.11,54.6
50.9,Outros transportes aquaviários,513,5529,27.47,36.88,44.37
51,Transporte aéreo,470,62381,82.86,87.29,89.59
51.1,Transporte aéreo de passageiros,402,60553,85.36,89.93,92.17
51.2,Transporte aéreo de carga,68,1828,52.63,79.49,87.09
51.3,Transporte espacial,,,,,
52,Armazenamento e atividades auxiliares dos transportes,33209,490032,5.37,8.96,12
52.1,"Armazenamento, carga e descarga",6501,132738,8.68,11.55,14.19
52.2,Atividades auxiliares dos transportes terrestres,18981,173856,9.16,12.58,15
52.3,Atividades auxiliares dos transportes aquaviários,1540,46870,12.35,20.13,27.02
52.4,Atividades auxiliares dos transportes aéreos,1310,45061,48.45,62.49,69.86
52.5,Atividades relacionadas à organização do transporte de carga,4877,91507,17.68,30.49,35.69
53,Correio e outras atividades de entrega,8130,172736,59.82,61,61.66
53.1,Atividades de correio,989,112349,88.66,88.84,88.98
53.2,Atividades de malote e de entrega,7141,60387,8.04,10.34,12.17
I,Alojamento e alimentação,290549,2307179,4.36,6.06,6.65
55,Alojamento,35241,387832,2.69,4.48,5.83
55.1,Hotéis e similares,30969,366416,2.85,4.74,6.18
55.9,Outros tipos de alojamento não especificados anteriormente,4272,21416,2.97,4.2,5.25
56,Alimentação,255308,1919347,5.24,7.28,7.97
56.1,Restaurantes e outros serviços de alimentação e bebidas,231694,1601414,4.42,4.91,5.17
56.2,"Serviços de catering, bufê e outros serviços de comida preparada",23614,317933,21.73,25.8,29.04
J,Informação e comunicação,156964,1170106,7.36,10.77,13
58,Edição e edição integrada à impressão,12721,82425,14.26,18.82,21.91
58.1,"Edição de livros, jornais, revistas e outras atividades de edição",7739,30046,6.55,10.8,13.99
