faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
  0          a                4,280741.0,500128.0,190023.0,100982.0,89041.0,16660.0,173363.0,230333.11,126524.45,103808.66,19366.05,210967.06,4365900.262,2521371.916,1844528.346,580844.03,3785056.232,1.52836,1.606833,1.432716,2.418392,1.446658,1458.05560343586,1532.91862439358,1366.81078289763,2307.1462688571,1380.11200275677
  5          a                9,64101.0,415265.0,311277.0,172219.0,139058.0,27087.0,284190.0,310448.92,173264.53,137184.39,26687.17,283761.75,6195879.289,3629929.888,2565949.401,825772.897,5370106.392,1.609241,1.689261,1.508175,2.494976,1.525939,1535.21583890144,1611.55532525901,1438.79870846709,2380.20712113435,1455.74626276065
 10          a              19,30898.0,407001.0,345014.0,197627.0,147387.0,34883.0,310131.0,344666.74,197871.35,146795.39,34757.66,309909.08,7557869.493,4599623.449,2958246.044,1200728.685,6357140.808,1.768106,1.874337,1.624913,2.785497,1.654001,1686.77307356264,1788.11732160626,1550.16712718294,2657.36372931895,1577.91708259924
 20          a              29,7860.0,186360.0,172818.0,101921.0,70897.0,21732.0,151086.0,171868.1,101609.0,70259.1,21583.3,150284.8,4087007.44,2547280.094,1539727.346,854538.151,3232469.289,1.917425,2.021402,1.767053,3.192434,1.734314,1829.22361795067,1928.4179808421,1685.76832149747,3045.58171934213,1654.53514772772
 30          a              49,5431.0,203724.0,195155.0,117232.0,77923.0,28719.0,166436.0,192023.16,114840.56,77182.6,29578.65,162444.51,4983395.293,3115107.155,1868288.138,1343561.127,3639834.166,2.09257,2.187187,1.951788,3.662582,1.806695,1996.31179625176,2086.576618119,1862.0061018137,3494.10321035872,1723.58698695611
 50          a              99,3554.0,243928.0,238231.0,146189.0,92042.0,41390.0,196841.0,231533.24,142070.35,89462.89,40702.0,190831.24,6702231.028,4266319.899,2435911.129,2134438.287,4567792.741,2.334072,2.421354,2.195466,4.228401,1.930035,2226.70504210573,2309.97145969747,2094.47491751995,4033.89417076462,1841.25341524069
100          a             249 ,1938.0,298911.0,295763.0,176238.0,119525.0,57987.0,237776.0,290090.42,173334.72,116755.7,57422.41,232668.01,9216011.147,5694631.297,3521379.85,3486702.164,5729308.983,2.561639,2.649039,2.431885,4.896003,1.985518,2443.80332995697,2527.18302084944,2320.01840661247,4670.78721999357,1894.18423106548
250          a            499,766.0,268076.0,267042.0,148418.0,118624.0,66554.0,200488.0,266287.26,145896.95,120390.31,67180.42,199106.84,10315831.689,6026398.796,4289432.893,5065593.391,5250238.298,3.123648,3.33058,2.872874,6.079892,2.126185,2979.96049280939,3177.37374327459,2740.72204303333,5800.21723705989,2028.3807651286
500          e           mais,788.0,2249143.0,2248441.0,1323034.0,925407.0,965568.0,1282873.0,2300799.35,1333906.65,966892.7,1009042.2,1291757.15,183317888.586,112437947.045,70879941.541,125570104.206,57747784.38,6.424427,6.796663,5.910896,10.034256,3.604647,6128.9030028094,6484.01659112756,5638.99509786509,9572.6806917262,3438.83311193594
