faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
  0          a                4,113724.0,209904,85482,45807,39675,6411,79071,104804.44,58241,46563.44,7429.39,97375.05,1773386.664,1013986.82,759399.844,182315.847,1591070.817,1.36437,1.403821,1.315024,1.978698,1.317498,1301.60858422821,1339.24531092952,1254.53301163713,1887.67798205195,1256.89345316027
  5          a                9,30775.0,200667,154639,87801,66838,11184,143455,155052.82,88992.67,66060.15,11057.65,143995.17,2795846.86,1659181.183,1136665.677,295375.724,2500471.136,1.453925,1.503308,1.387399,2.153874,1.400175,1387.04438317809,1434.15543964723,1323.57890964057,2054.79550704368,1335.76656452061
 10          a              19,15708.0,208049,178446,103599,74847,14807,163639,176957.73,102863.62,74094.11,14734.37,162223.36,3408844.912,2065008.397,1343836.515,425393.793,2983451.119,1.553267,1.618707,1.462416,2.327919,1.482907,1481.81624721687,1544.24664200259,1395.14516896666,2220.83465133144,1414.69292661104
 20          a              29,4335.0,102830,95291,57625,37666,9671,85620,94623.24,57291.97,37331.27,9811.12,84812.12,1935947.135,1217971.825,717975.31,311624.482,1624322.653,1.649696,1.714162,1.550762,2.561069,1.544268,1573.81009553906,1635.31015576206,1479.42649687514,2443.25968900594,1473.23161341345
 30          a              49,3182.0,119545,114061,71207,42854,13555,100506,113122.74,70383.86,42738.88,13628.19,99494.55,2440097.316,1564931.078,875166.238,482265.527,1957831.789,1.739264,1.792794,1.651109,2.853358,1.586662,1659.25784275082,1710.32554469601,1575.15779183156,2722.10383262702,1513.67532500717
 50          a              99,2186.0,150522,146791,94648,52143,21321,125470,144547.83,92235.41,52312.42,21596.34,122951.49,3579459.554,2325312.235,1254147.319,986239.53,2593220.024,1.996706,2.032787,1.93309,3.682227,1.700646,1904.85766970964,1939.27876423032,1844.16761243903,3512.84427040736,1622.41599011623
100          a             249 ,1356.0,208634,206506,128602,77904,37556,168950,207517.28,128009.52,79507.76,38167.49,169349.79,6166652.594,3903021.598,2263630.996,2292637.879,3874014.715,2.396092,2.458482,2.295643,4.843398,1.844526,2285.87176858792,2345.39142569541,2190.04360367805,4620.60145749896,1759.67818987598
250          a            499,561.0,197591,196888,115111,81777,41364,155524,198593.76,114651.85,83941.91,42372.79,156220.97,6770462.922,4164868.34,2605594.582,2914638.93,3855823.992,2.748913,2.929061,2.502858,5.546333,1.990152,2622.4632644744,2794.32462443744,2387.72685136112,5291.20208075476,1898.604556984
500          e           mais,659.0,1213138,1212641,596277,616364,432745,779896,1214269.8,590870.96,623398.84,436673.34,777596.46,54062675.15,28137657.463,25925017.687,32081856.01,21980819.14,3.589968,3.839755,3.353215,5.923946,2.279281,3424.82973654683,3663.12669937534,3198.9666996641,5651.44434439782,2174.43407797723
