faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
  0          a                4,518818.0,940619,357247,197736,159511,27125,330122,422376.5,239522,182854.5,31012.43,391364.07,6770801.74,3915738.605,2855063.135,780843.239,5989958.501,1.292554,1.318186,1.258979,2.030188,1.234102,1233.09630880724,1257.54904319051,1201.06555296067,1936.79968123948,1177.33352103187
  5          a                9,124253.0,804176,605470,355495,249975,42859,562611,602858.59,356304.71,246553.88,42153.8,560704.79,9996114.305,6056199.657,3939914.648,1075992.48,8920121.825,1.336977,1.370525,1.288497,2.058168,1.282758,1275.47634282757,1307.48064508303,1229.22566677296,1963.49207681614,1223.75130290521
 10          a              19,60862.0,800241,660499,390660,269839,56968,603531,656244.21,389977.78,266266.43,56247.69,599996.52,11530571.659,7050772.764,4479798.895,1524231.559,10006340.1,1.416751,1.457824,1.356596,2.185016,1.344729,1351.58076395418,1390.76420121246,1294.19211802254,2084.50482964791,1282.87155603964
 20          a              29,15804.0,373899,346452,208514,137938,39389,307063,343264.44,206948.19,136316.25,39049.53,304214.91,6303462.037,3920610.389,2382851.648,1095509.139,5207952.898,1.480671,1.527567,1.409476,2.262083,1.380368,1412.56022661085,1457.2991169358,1344.63998690827,2158.02683845954,1316.87089690842
 30          a              49,11163.0,420119,402718,249205,153513,56387,346331,398085.06,246600.32,151484.74,55538.49,342546.57,7804622.592,4937515.166,2867107.426,1663702.78,6140919.812,1.580827,1.614444,1.526101,2.415405,1.445513,1508.10880468611,1540.17991105233,1455.90060805414,2304.29629835231,1379.01963834267
 50          a              99,7130.0,489242,477817,307410,170407,72819,404998,468106.4,299829.07,168277.33,72205.17,395901.23,10346022.754,6741659.129,3604363.625,2746928.909,7599093.845,1.782121,1.813015,1.727075,3.06752,1.547687,1700.14318145158,1729.61602345373,1647.62978105616,2926.41404721062,1476.49372138757
100          a             249 ,3888.0,601543,595557,375658,219899,107325,488232,597258.58,373121.96,224136.62,108308.94,488949.64,15483659.11,9768052.235,5715606.875,5299857.638,10183801.472,2.090352,2.110889,2.056164,3.945556,1.6794,1994.19604950544,2013.7882891201,1961.58069711095,3764.06007453522,1602.14729680545
250          a            499,1886.0,663983,662007,365905,296102,164179,497828,667220.6,366223.35,300997.25,166717.42,500503.18,19208821.226,10924913.124,8283908.102,8444341.727,10764479.499,2.321344,2.405361,2.219121,4.084069,1.734181,2214.56236928121,2294.71423003308,2117.04160138953,3896.20201794611,1654.40883819851
500          e           mais,2239.0,3827256,3825331,1921505,1903826,1262880,2562451,3807361.44,1887356.88,1920004.56,1265136.16,2542225.28,147199490.41,77438611.409,69760879.001,82582260.326,64617230.084,3.117385,3.308353,2.929665,5.263296,2.049475,2973.98550210829,3156.16846254894,2794.90037336963,5021.18409415984,1955.19893512651
