faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",6104.0,69149.0,58320.0,50435.0,7885.0,4513.0,53807.0,61307.76,53411.42,7896.34,4420.22,56887.54,1999333.35,1771027.602,228305.748,343319.516,1656013.834,2.629529,2.673619,2.331306,6.262718,2.347227,2508.57106958276,2550.63228915349,2224.0659109644,5974.63328487305,2239.25449296035
B Indústrias extrativas,963.0,11507.0,10146.0,8878.0,1268.0,1088.0,9058.0,10113.93,8846.2,1267.73,1107.49,9006.44,429221.411,382492.071,46729.34,112444.454,316776.957,3.421919,3.486374,2.972153,8.186655,2.836016,3264.51059235971,3326.00065564875,2835.43389789988,7810.06906122438,2705.55938092845
C Indústrias de transformação,27611.0,364067.0,327787.0,237329.0,90458.0,27505.0,300282.0,336881.99,243871.82,93010.17,27892.92,308989.07,9769317.353,7563752.791,2205564.562,2157172.154,7612145.199,2.33827,2.500829,1.912043,6.235899,1.986425,2230.70978128207,2385.79077225581,1824.08883309791,5949.04798559855,1895.04965561503
D Eletricidade e gás,235.0,14730.0,14267.0,11720.0,2547.0,5854.0,8413.0,14172.74,11628.19,2544.55,5868.71,8304.03,1946312.277,1619156.265,327156.012,1230755.067,715557.21,11.073043,11.227548,10.366978,16.909753,6.948063,10563.6827458911,10711.0807376795,9890.0972969378,16131.9040627851,6628.4517647085
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",1135.0,32330.0,30931.0,23621.0,7310.0,4311.0,26620.0,31635.39,24141.95,7493.44,4348.1,27287.29,1623896.588,1275887.99,348008.598,581113.824,1042782.764,4.138981,4.261362,3.7447,10.776307,3.081355,3948.58802606341,4065.33979235314,3572.44365122643,10280.5969008568,2939.61249978399
F Construção,20190.0,164748.0,135911.0,121555.0,14356.0,8318.0,127593.0,140695.36,126269.5,14425.86,8306.63,132388.73,3780928.74,3373571.004,407357.736,538674.905,3242253.835,2.166841,2.154268,2.276893,5.228898,1.974714,2067.16605513993,2055.17137429192,2172.15545288381,4988.36846637519,1883.87743544217
G Comércio; reparação de veículos automotores e motocicletas,156416.0,885112.0,684798.0,400276.0,284522.0,50614.0,634184.0,679355.04,398804.5,280550.54,49170.84,630184.2,15991891.93,10159176.39,5832715.54,2456443.801,13535448.129,1.898066,2.05403,1.676363,4.028167,1.731862,1810.75499649921,1959.54435550019,1599.24991109925,3842.87141447123,1652.19679835734
"H Transporte, armazenagem e correio",18490.0,269341.0,245619.0,196743.0,48876.0,45512.0,200107.0,249177.55,199419.31,49758.24,45888.98,203288.57,10579166.434,8451592.978,2127573.456,3455581.63,7123584.804,3.423346,3.417273,3.447687,6.07185,2.825491,3265.8721999017,3260.07815777334,3289.09335650507,5792.5447795628,2695.5183060521
I Alojamento e alimentação,24012.0,176693.0,146412.0,65574.0,80838.0,5507.0,140905.0,147075.19,65655.98,81419.21,5429.42,141645.77,2763895.227,1339062.978,1424832.249,194803.507,2569091.72,1.515271,1.644504,1.411059,2.893021,1.462461,1445.56893078871,1568.8570098495,1346.15013695549,2759.94215843426,1395.1877278086
J Informação e comunicação,8667.0,87640.0,75732.0,47898.0,27834.0,37346.0,38386.0,73422.98,46371.65,27051.33,36164.45,37258.53,4610773.511,3143940.25,1466833.261,3364785.071,1245988.44,5.063491,5.46676,4.372204,7.502115,2.696476,4830.57055790351,5215.28903311199,4171.0824484131,7157.0180341787,2572.43816692136
