faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
"K Atividades financeiras, de seguros e serviços relacionados",6363.0,247765.0,236663.0,127247.0,109416.0,184279.0,52384.0,237983.05,128277.85,109705.2,185943.04,52040.01,34123485.806,20434842.359,13688643.447,30173058.608,3950427.198,11.561539,12.844816,10.061007,13.084215,6.120895,11029.7078869208,12253.9546047296,9598.20111395042,12482.3414111531,5839.33429741403
L Atividades imobiliárias,6933.0,24225.0,13199.0,6835.0,6364.0,2594.0,10605.0,13252.57,6913.11,6339.46,2555.43,10697.14,468142.029,280360.143,187781.886,215979.049,252162.98,2.8483,3.270025,2.388415,6.814844,1.900737,2717.27863408322,3119.60388973325,2278.54745696612,6501.36102338941,1813.3026498384
"M Atividades profissionais, científicas e técnicas",26364.0,118461.0,82562.0,42020.0,40542.0,29302.0,53260.0,81812.5,41478.09,40334.41,29097.97,52714.53,4730732.268,2783465.952,1947266.316,3221525.115,1509207.153,4.66248,5.410974,3.892763,8.927032,2.308484,4448.00589340072,5162.06907161013,3713.69549264225,8516.38874570182,2202.29333208656
N Atividades administrativas e serviços complementares,31949.0,376386.0,342161.0,195885.0,146276.0,23442.0,318719.0,342840.75,195809.65,147031.1,23444.2,319396.55,7552936.19,4745654.17,2807282.02,913740.417,6639195.773,1.776363,1.954206,1.539519,3.142648,1.676075,1694.65004244233,1864.31220713193,1468.70132080377,2998.08585426738,1598.97584101596
"O Administração pública, defesa e seguridade social",2123.0,1154119.0,1154089.0,706389.0,447700.0,491459.0,662630.0,1188786.2,709620.36,479165.84,518697.14,670089.06,100251131.593,63821357.637,36429773.956,67159179.444,33091952.149,6.799763,7.251841,6.13026,10.439983,3.981971,6486.97428280531,6918.25584435902,5848.26811591513,9959.74399716478,3798.80068582571
P Educação,12976.0,321432.0,307165.0,96014.0,211151.0,208627.0,98538.0,331868.03,101878.61,229989.42,229902.09,101965.94,17424955.142,5996637.319,11428317.823,14538903.836,2886051.306,4.233646,4.746058,4.006662,5.099141,2.282218,4038.89812697303,4527.73937305614,3822.35570227535,4864.58047490497,2177.23630670579
Q Saúde humana e serviços sociais,20930.0,338062.0,304055.0,98009.0,206046.0,107482.0,196573.0,302112.08,98562.63,203549.45,105317.06,196795.02,15745325.381,6131443.352,9613882.029,9018355.689,6726969.692,4.202346,5.016014,3.808352,6.904574,2.756218,4009.03822005905,4785.27702249204,3633.16819006956,6586.96386306848,2629.43242708542
"R Artes, cultura, esporte e recreação",4869.0,25491.0,19789.0,11110.0,8679.0,6622.0,13167.0,19988.54,11284.79,8703.75,6568.68,13419.86,513083.267,312669.526,200413.741,221646.165,291437.102,2.069736,2.234088,1.856647,2.720761,1.751077,1974.52858564881,2131.32029927008,1771.2413172925,2595.60596649555,1670.52701111521
S Outras atividades de serviços,19625.0,89715.0,72645.0,35505.0,37140.0,15585.0,57060.0,74065.41,36268.14,37797.27,15580.12,58485.29,2346006.743,1206360.329,1139646.414,1110143.748,1235862.995,2.554007,2.682008,2.431185,5.745353,1.703852,2436.52275946148,2558.63544104041,2319.35028030413,5481.06644384491,1625.47512769056
U Organismos internacionais e outras instituições extraterritoriais,122.0,1563.0,1513.0,817.0,696.0,620.0,893.0,1503.24,804.81,698.43,616.37,886.87,91478.987,46158.433,45320.554,54656.938,36822.049,4.906833,4.624513,5.232155,7.150099,3.347775,4681.11888577084,4411.78500802387,4991.47582655164,6821.19481180759,3193.77733793263
