municipios_uf,posicao_municipio,val_add_industria,partipacao_percentual,percentual_acumulado
São Paulo (SP),1º,57359867.87916358,4.139103933829283,4.139103933829283
Rio de Janeiro (RJ),2º,35553137.05982168,2.5655242054303256,6.704628139259608
Manaus (AM),3º,29839511.984232277,2.1532274393949122,8.85785557865452
Maricá (RJ),4º,25405741.114080455,1.8332853068745973,10.691140885529117
Niterói (RJ),5º,20370586.56824849,1.4699471619542508,12.161088047483368
Paulínia (SP),6º,17369990.90337361,1.253423348711189,13.414511396194557
Parauapebas (PA),7º,16463401.687815562,1.1880036201234485,14.602515016318005
Curitiba (PR),8º,16305907.547225028,1.176638799370259,15.779153815688264
São José dos Campos (SP),9º,16038579.135199348,1.157348307206455,16.93650212289472
Campos dos Goytacazes (RJ),10º,13606951.677467847,0.9818813971866038,17.918383520081324
Belo Horizonte (MG),11º,13012076.015234003,0.938955004837192,18.857338524918518
Guarulhos (SP),12º,12533703.657970555,0.9044355232031768,19.761774048121694
Betim (MG),13º,11537467.506929861,0.8325468469516509,20.594320895073345
Duque de Caxias (RJ),14º,11142986.245516457,0.8040809700012739,21.398401865074618
São Bernardo do Campo (SP),15º,10887505.233629314,0.7856453895088563,22.184047254583476
Camaçari (BA),16º,10556076.467172775,0.7617293980370075,22.945776652620484
Ilhabela (SP),17º,10364637.91665409,0.7479151392732367,23.69369179189372
São José dos Pinhais (PR),18º,10195165.498991627,0.7356859627329423,24.42937775462666
Campinas (SP),19º,9583517.275927091,0.6915492577541332,25.120927012380793
Brasília (DF),20º,9453608.03050121,0.6821749706669346,25.80310198304773
Jundiaí (SP),21º,9060334.620024443,0.6537962525742774,26.456898235622006
Joinville (SC),22º,8936125.10572573,0.6448332596619527,27.10173149528396
Sorocaba (SP),23º,8877889.676632572,0.6406309749887119,27.742362470272674
Canaã dos Carajás (PA),24º,8476389.01335201,0.611658576057798,28.354021046330473
Uberlândia (MG),25º,8440582.476214021,0.6090747664326281,28.9630958127631
Araucária (PR),26º,8292462.565979829,0.5983863927351795,29.56148220549828
Foz do Iguaçu (PR),27º,8274951.6374894995,0.5971227992912055,30.158605004789486
Fortaleza (CE),28º,7859880.541797483,0.567171154203443,30.72577615899293
Cubatão (SP),29º,7708891.138713028,0.5562757171081211,31.28205187610105
Piracicaba (SP),30º,7507609.3555446705,0.5417511679533806,31.82380304405443
Caxias do Sul (RS),31º,7271689.934576886,0.524727157273098,32.34853020132753
Canoas (RS),32º,7173564.720043876,0.5176464146476611,32.86617661597519
Goiânia (GO),33º,7086172.91274262,0.511340197657289,33.37751681363248
Salvador (BA),34º,6733844.637229104,0.48591609183038165,33.863432905462865
Saquarema (RJ),35º,6589808.858814043,0.4755224302148096,34.338955335677674
Nova Lima (MG),36º,6512182.4850354325,0.46992088960887907,34.808876225286554
Santo André (SP),37º,6461594.737406487,0.4662704637457017,35.275146689032255
Contagem (MG),38º,6425590.044238614,0.4636723551265988,35.73881904415885
Porto Alegre (RS),39º,6234533.571128193,0.44988566717430395,36.18870471133316
Taubaté (SP),40º,6119040.342709336,0.44155164386228746,36.63025635519545
São Luís (MA),41º,6023972.183203183,0.43469149917327277,37.064947854368725
Serra (ES),42º,5674330.594610246,0.4094612654177823,37.47440911978651
Goiana (PE),43º,5476599.277208864,0.3951929188549652,37.869602038641474
Recife (PE),44º,5471173.433457702,0.3948013884689105,38.26440342711039
Três Lagoas (MS),45º,5470218.69914396,0.3947324945767192,38.65913592168711
Marabá (PA),46º,5399309.993273621,0.38961570274538243,39.04875162443249
Mauá (SP),47º,5381992.769038421,0.3883660870540437,39.437117711486536
Indaiatuba (SP),48º,4868376.640800468,0.3513034051568957,39.788421116643434
Barueri (SP),49º,4734076.722753737,0.34161228591876885,40.130033402562205
Cabo Frio (RJ),50º,4707518.618809153,0.33969584579126283,40.46972924835347
Ipatinga (MG),51º,4704938.29411965,0.3395096488478636,40.80923889720133
Ipojuca (PE),52º,4657309.18689171,0.33607271929448235,41.14531161649582
Ponta Grossa (PR),53º,4580515.413865636,0.3305312593891802,41.475842875885
Gravataí (RS),54º,4533091.417785616,0.32710913071297343,41.80295200659798
São Francisco do Conde (BA),55º,4499829.288878064,0.3247089262895808,42.12766093288756
Porto Velho (RO),56º,4311751.773229523,0.311137200731815,42.43879813361937
Jacareí (SP),57º,4238734.219576823,0.30586823386112477,42.7446663674805
Louveira (SP),58º,4156226.727228332,0.29991447038891,43.04458083786941
Uberaba (MG),59º,4137354.2880203994,0.2985526299549141,43.34313346782432
Anápolis (GO),60º,4094969.2744469205,0.2954941156503314,43.63862758347465
Diadema (SP),61º,4092077.302950695,0.2952854301871472,43.9339130136618
Hortolândia (SP),62º,4088063.181443596,0.29499577006875394,44.22890878373055
Tucuruí (PA),63º,4080702.9118237216,0.2944646509768856,44.52337343470744
