regiao,faixas,total_municipios,total_incentivo_empreendimento,total_reducao_ipty,total_isencao_iptu,total_reducao_issqn,total_isencao_issqn,total_isencao_taxas,total_cessao_terrenos,total_doacao_terrenos,total_outros,total_empr_industrial,total_empr_comercial,total_empr_turismo,total_agro,total_outros,total_industrial_2018,total_comercial_2018,total_turismo_2018,total_agro_2018,total_outros_2018,total_nenhum_empreendimento
Sudeste,De 50 001 a 100 000,   106 ,   92 ,   32 ,   49 ,   26 ,   19 ,   42 ,   43 ,   29 ,   21 ,   82 ,   63 ,   22 ,   23 ,   16 ,   66 ,   47 ,   9 ,   11 ,   11 ,   16 
Sudeste,De 100 001 a 500 000,   133 ,   108 ,   45 ,   74 ,   48 ,   36 ,   58 ,   30 ,   26 ,   23 ,   83 ,   79 ,   26 ,   19 ,   30 ,   58 ,   56 ,   15 ,   6 ,   23 ,   18 
Sudeste,Mais de 500 000,   21 ,   20 ,   14 ,   12 ,   14 ,   11 ,   10 ,   4 ,   3 ,   5 ,   15 ,   17 ,   5 ,   2 ,   9 ,   8 ,   14 , - ,   1 ,   4 ,   3 
Sul,Até 5 000,   439 ,   335 ,   52 ,   84 ,   28 ,   29 ,   106 ,   199 ,   101 ,   122 ,   282 ,   183 ,   51 ,   132 ,   36 ,   171 ,   114 ,   26 ,   107 ,   18 ,   85 
Sul,De 5 001 a 10 000,   259 ,   188 ,   29 ,   55 ,   12 ,   21 ,   70 ,   107 ,   59 ,   73 ,   167 ,   107 ,   22 ,   55 ,   23 ,   101 ,   76 ,   9 ,   36 ,   10 ,   45 
Sul,De 10 001 a 20 000,   221 ,   184 ,   30 ,   68 ,   29 ,   22 ,   73 ,   112 ,   67 ,   63 ,   166 ,   105 ,   30 ,   52 ,   28 ,   109 ,   67 ,   10 ,   32 ,   15 ,   51 
Sul,De 20 001 a 50 000,   161 ,   130 ,   33 ,   68 ,   30 ,   30 ,   60 ,   82 ,   52 ,   47 ,   121 ,   99 ,   46 ,   55 ,   27 ,   81 ,   63 ,   18 ,   32 ,   17 ,   31 
Sul,De 50 001 a 100 000,   58 ,   54 ,   27 ,   39 ,   15 ,   10 ,   26 ,   31 ,   20 ,   14 ,   50 ,   41 ,   18 ,   14 ,   10 ,   35 ,   30 ,   8 ,   10 ,   7 ,   12 
Sul,De 100 001 a 500 000,   47 ,   45 ,   24 ,   38 ,   21 ,   13 ,   30 ,   13 ,   8 ,   13 ,   41 ,   40 ,   14 ,   11 ,   8 ,   26 ,   27 ,   9 ,   7 ,   6 ,   9 
Sul,Mais de 500 000,   6 ,   6 ,   3 ,   4 ,   2 ,   2 ,   3 ,   2 ,   1 ,   2 ,   3 ,   3 ,   2 ,   1 ,   4 ,   3 ,   2 ,   2 ,   1 ,   3 , - 
Centro-Oeste,Até 5 000,   135 ,   79 ,   19 ,   18 ,   15 ,   16 ,   25 ,   39 ,   46 ,   11 ,   53 ,   60 ,   11 ,   18 ,   7 ,   21 ,   30 ,   1 ,   7 ,   3 ,   33 
Centro-Oeste,De 5 001 a 10 000,   109 ,   78 ,   28 ,   19 ,   28 ,   17 ,   28 ,   34 ,   41 ,   13 ,   60 ,   53 ,   22 ,   23 ,   14 ,   22 ,   22 ,   6 ,   9 ,   4 ,   40 
Centro-Oeste,De 10 001 a 20 000,   93 ,   66 ,   24 ,   21 ,   16 ,   15 ,   29 ,   31 ,   36 ,   19 ,   44 ,   48 ,   11 ,   18 ,   13 ,   21 ,   31 ,   2 ,   6 ,   6 ,   22 
Centro-Oeste,De 20 001 a 50 000,   86 ,   67 ,   21 ,   29 ,   21 ,   10 ,   33 ,   24 ,   39 ,   14 ,   53 ,   41 ,   9 ,   14 ,   8 ,   30 ,   26 ,   3 ,   7 ,   7 ,   20 
Centro-Oeste,De 50 001 a 100 000,   20 ,   16 ,   6 ,   11 ,   7 ,   7 ,   10 ,   7 ,   8 ,   4 ,   13 ,   12 ,   3 ,   4 ,   2 ,   9 ,   7 ,   1 ,   1 ,   1 ,   4 
Centro-Oeste,De 100 001 a 500 000,   19 ,   17 ,   9 ,   13 ,   10 ,   9 ,   9 ,   7 ,   10 ,   4 ,   15 ,   14 ,   6 ,   4 ,   3 ,   11 ,   10 ,   1 , - ,   1 ,   2 
Centro-Oeste,Mais de 500 000,   5 ,   5 ,   4 ,   4 ,   4 ,   2 ,   2 ,   3 ,   1 ,   2 ,   4 ,   4 ,   2 ,   1 ,   1 ,   2 ,   5 ,   2 ,   1 ,   1 , - 
