;Tabela 5 - Municípios, total e com cadastro imobiliário, com cobrança de IPTU, Planta Genérica de Valores e cadastro de ISSQN, segundo as Grandes Regiões e as classes de tamanho da população dos municípios - 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Grandes Regiões e classes de tamanho da população dos municípios;Municípios;;;;;;;;;;;;;;;;
;;Total; Cadastro imobiliário;;;;;;;;;;Com cobrança de IPTU; Planta Genérica de Valores;;; Cadastro ISSQN;
;;;Total;Informatizado;;Com acesso público;Periodicidade da Atualização;;;Número de imóveis cadastrados;;;;Total;Informatizada;Atualizada nos últimos 10 anos;Total;Informatizado
;;;;Total;Georreferen-ciado;;Anual ou menor que 1 ano;Maior que 1 ano;Sob demanda do proprietário;Total;Residencial;Não residencial;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
regiao;faixas;total_municipios;total_cadastro_imob;total_informatizado;total_georef;total_acesso_pub;total_atualizado_menor_um_ano;total_atualizado_maior_um_ano;total_atualizado_sob_demanda;total_imoveis;total_residencial;total_nao_residencial;total_com_iptu;planta_generica_total;planta_generica_informatizada;planta_generica_atualizada_menos_que_dez_dias;total_cadastro_issqn;total_informatizado
Nordeste;De 100 001 a 500 000;   52 ;   52 ;   46 ;   16 ;   26 ;   16 ;   19 ;   35 ; 3 909 592 ; 2 302 595 ; 1 128 315 ;   52 ;   50 ;   41 ;   32 ;   52 ;   52 
Nordeste;Mais de 500 000;   11 ;   11 ;   11 ;   8 ;   4 ;   4 ;   5 ;   8 ; 4 490 905 ; 3 485 133 ; 1 005 772 ;   11 ;   11 ;   11 ;   5 ;   11 ;   11 
Sudeste;Até 5 000;   375 ;   370 ;   321 ;   49 ;   93 ;   63 ;   123 ;   226 ;  517 852 ;  352 281 ;  107 361 ;   374 ;   301 ;   194 ;   155 ;   369 ;   334 
Sudeste;De 5 001 a 10 000;   385 ;   378 ;   329 ;   68 ;   133 ;   85 ;   123 ;   213 ; 1 056 056 ;  614 214 ;  269 966 ;   382 ;   321 ;   208 ;   191 ;   380 ;   355 
Sudeste;De 10 001 a 20 000;   359 ;   358 ;   322 ;   69 ;   119 ;   73 ;   149 ;   195 ; 2 250 437 ; 1 194 913 ;  502 993 ;   358 ;   300 ;   199 ;   158 ;   358 ;   347 
Sudeste;De 20 001 a 50 000;   289 ;   289 ;   267 ;   86 ;   115 ;   74 ;   113 ;   160 ; 4 020 629 ; 2 388 245 ; 1 114 823 ;   288 ;   269 ;   188 ;   153 ;   287 ;   281 
Sudeste;De 50 001 a 100 000;   106 ;   106 ;   96 ;   47 ;   49 ;   27 ;   42 ;   77 ; 3 854 263 ; 2 336 179 ;  992 759 ;   106 ;   100 ;   81 ;   51 ;   106 ;   104 
Sudeste;De 100 001 a 500 000;   133 ;   133 ;   125 ;   73 ;   48 ;   51 ;   32 ;   90 ; 11 470 711 ; 7 545 207 ; 2 813 632 ;   133 ;   132 ;   92 ;   71 ;   133 ;   133 
Sudeste;Mais de 500 000;   21 ;   21 ;   21 ;   19 ;   13 ;   8 ;   6 ;   11 ; 11 090 661 ; 8 763 281 ; 2 327 380 ;   21 ;   21 ;   17 ;   15 ;   21 ;   21 
Sul;Até 5 000;   439 ;   437 ;   391 ;   62 ;   91 ;   114 ;   161 ;   231 ;  471 791 ;  281 268 ;  124 103 ;   439 ;   407 ;   299 ;   234 ;   432 ;   389 
Sul;De 5 001 a 10 000;   259 ;   259 ;   223 ;   47 ;   92 ;   63 ;   117 ;   133 ;  672 906 ;  405 833 ;  189 481 ;   259 ;   242 ;   172 ;   131 ;   256 ;   241 
Sul;De 10 001 a 20 000;   221 ;   221 ;   198 ;   63 ;   86 ;   37 ;   105 ;   133 ; 1 492 092 ;  911 728 ;  476 950 ;   221 ;   212 ;   145 ;   110 ;   221 ;   213 
Sul;De 20 001 a 50 000;   161 ;   161 ;   149 ;   70 ;   78 ;   26 ;   75 ;   102 ; 2 633 700 ; 1 598 088 ;  833 271 ;   161 ;   161 ;   126 ;   96 ;   161 ;   158 
